"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KRT8,0,1.09576458185379,0.773,0.411,0
FXYD3,0,0.819637127090318,0.839,0.485,0
EPCAM,0,1.00353798806937,0.702,0.35,0
KRT7,0,0.839303939940585,0.725,0.382,0
KRT18,0,0.942401233900322,0.71,0.37,0
CRYAB,0,0.880674605928061,0.742,0.403,0
KRT19,0,0.848630815039243,0.729,0.392,0
TSEN34,0,1.11597319349028,0.616,0.308,0
CRABP2,1.11253692925363e-308,0.845349270597058,0.744,0.41,1.11253692967712e-308
MARCKSL1,1.1125370622267e-308,0.714674320964132,0.876,0.546,1.11429057852447e-308
SPINT2,1.11256312883327e-308,0.74130090067635,0.87,0.546,1.45805698588863e-308
CALML5,1.23087039981999e-306,0.981527951316929,0.686,0.375,1.6232718832826e-302
TTYH1,3.34251633368086e-306,1.12248503414844,0.523,0.243,4.40811054085832e-302
CDKN2A,6.17208887944902e-306,0.925998677055112,0.707,0.396,8.13975081421737e-302
RAB25,2.38409859017571e-298,0.856931240527362,0.579,0.274,3.14414922072372e-294
MDK,4.04567157638012e-295,0.951195134484452,0.638,0.339,5.33543167493011e-291
PHGDH,7.99685244647451e-294,0.79270220448939,0.655,0.335,1.05462490064106e-289
LAPTM4B,1.98160289484244e-278,0.751800643622125,0.681,0.353,2.61333789771821e-274
PRDX2,6.65481904856523e-277,0.707956312776693,0.868,0.556,8.77637536124782e-273
GABRP,3.89340514952866e-273,0.746423678501767,0.626,0.319,5.1346227111984e-269
CYC1,6.03987406877948e-267,0.714239290093861,0.771,0.447,7.96538592190638e-263
CCND1,8.97295636054378e-266,0.81193218625905,0.687,0.379,1.18335348482851e-261
S100A13,4.80219746065395e-264,0.748575817832236,0.685,0.376,6.33313801111043e-260
PLPP2,1.81001176424909e-262,0.741112147447026,0.607,0.305,2.3870435146917e-258
COMT,5.09101303195528e-262,0.838493353636407,0.599,0.311,6.71402798654262e-258
CDK4,9.74077765724153e-262,0.79127033733055,0.608,0.314,1.28461375743701e-257
KRT5,1.54815450480026e-258,1.06075598632706,0.588,0.311,2.04170616093058e-254
LAPTM4A,3.8424195195332e-254,0.700489046986352,0.859,0.559,5.06738286236039e-250
ATP5F1C,4.9800375479699e-253,0.761786717209974,0.797,0.493,6.56767351826271e-249
NDRG2,5.94810866083087e-253,0.74661994603759,0.593,0.299,7.84436570190375e-249
RBP1,2.74012085466816e-250,0.788085719199693,0.601,0.311,3.61367138313637e-246
MYC,6.50792934913056e-249,0.693373711889777,0.664,0.356,8.58265722563338e-245
FBL,1.8677952133184e-247,0.714526279550205,0.726,0.419,2.46324832732431e-243
CLDN3,1.06107740376976e-241,0.764583514224023,0.529,0.26,1.39934888009156e-237
ACTL6A,1.20299631608514e-240,0.769571297731588,0.536,0.266,1.58651154165309e-236
BEX3,3.63193653970273e-240,0.732599270091759,0.575,0.293,4.78979790855996e-236
NDUFB5,1.80419582963198e-234,0.712444125639871,0.709,0.415,2.37937346011865e-230
POLR2H,5.24764666369379e-233,0.708789234546297,0.666,0.371,6.92059642007936e-229
ISOC2,2.5241765758179e-232,0.770301519847507,0.523,0.26,3.32888406818865e-228
MAGEF1,3.87590151613574e-227,0.754876782873535,0.502,0.245,5.11153891947981e-223
PFN2,1.16324936368746e-225,0.710711651959369,0.543,0.272,1.53409326083103e-221
SQLE,2.12276682672595e-215,0.694794603491608,0.578,0.306,2.79950489108618e-211
MGP,4.29615083667814e-212,0.778222320248854,0.638,0.379,5.66576372341113e-208
