"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SPN,0,-5.25930211484794,0.038,0.505,0,Neutral,SPN
LINC00842,0,-4.72485911133954,0.034,0.364,0,Neutral,LINC00842
SNORC,0,-1.91576584947171,0.115,0.353,0,Neutral,SNORC
SIX3,0,-2.01234407205719,0.067,0.265,0,Neutral,SIX3
TACSTD2,1.1125369292536e-308,2.51252859822097,0.475,0.101,1.11253692926663e-308,Neutral,TACSTD2
MYEOV,1.11253693679153e-308,-2.11221376338393,0.077,0.276,1.11263633952544e-308,Neutral,MYEOV
S100A11,1.20936527269013e-298,1.28554222345609,0.835,0.708,1.59491092162374e-294,Neutral,S100A11
CSTB,2.90734580499787e-282,1.91462296777362,0.73,0.54,3.83420764763119e-278,Neutral,CSTB
S100A10,1.50926151148834e-266,1.29460705250997,0.745,0.469,1.99041408135082e-262,Neutral,S100A10
ANXA2,2.88793822164827e-260,1.60720917402183,0.726,0.515,3.80861292670973e-256,Neutral,ANXA2
HSPB1,7.41776526021392e-253,1.91208016314754,0.609,0.321,9.78254882517011e-249,Neutral,HSPB1
KRT6B,7.06805241606175e-250,2.57097074397924,0.382,0.066,9.32134752630224e-246,Neutral,KRT6B
OBP2B,1.7156944031877e-246,-1.83981924027882,0.077,0.252,2.26265777892393e-242,Neutral,OBP2B
PCSK1N,2.95492542519669e-242,-1.64535187924113,0.097,0.29,3.89695565074939e-238,Neutral,PCSK1N
SLPI,1.60518402172891e-236,2.32188439603616,0.443,0.149,2.11691668785609e-232,Neutral,SLPI
CDKN2A,6.79099154073188e-227,2.39686015588901,0.433,0.151,8.9559596439172e-223,Neutral,CDKN2A
KRT14,3.29200425368352e-220,2.4412887854747,0.463,0.193,4.34149520975783e-216,Neutral,KRT14
KRT17,6.76118224930049e-213,2.13600716434963,0.468,0.196,8.91664715037749e-209,Neutral,KRT17
MT1H,3.48447332842017e-212,-0.935345284089685,0.086,0.257,4.59532342552052e-208,Neutral,MT1H
MAP3K13,1.05364572651011e-208,1.7247237102794,0.427,0.129,1.38954798412154e-204,Neutral,MAP3K13
KDELR2,1.50686719478387e-208,1.34809453334834,0.567,0.279,1.98725645648096e-204,Neutral,KDELR2
CNN3,3.31005991016497e-207,2.27163185324697,0.399,0.122,4.36530700952556e-203,Neutral,CNN3
IER3,2.75588531374312e-206,1.82305878898051,0.433,0.139,3.63446155176443e-202,Neutral,IER3
TAGLN2,4.10013397837713e-204,1.16200643689742,0.696,0.478,5.40725669068376e-200,Neutral,TAGLN2
LGALS3,3.26347918607924e-202,1.4451239104755,0.599,0.338,4.30387635060131e-198,Neutral,LGALS3
FABP7,2.06839669137557e-201,-1.13021027294944,0.116,0.304,2.7278015565861e-197,Neutral,FABP7
RARRES1,2.85667007550895e-201,2.4782905947006,0.329,0.057,3.7673764955812e-197,Neutral,RARRES1
EMP2,4.9463487002192e-200,1.879077842737,0.453,0.186,6.52324466584909e-196,Neutral,EMP2
NDUFA4L2,1.65583906424154e-191,2.47037465890133,0.313,0.054,2.18372055792174e-187,Neutral,NDUFA4L2
GSTP1,2.52994994618029e-191,1.04733953023464,0.75,0.596,3.33649798902257e-187,Neutral,GSTP1
TPM1,3.49082950403195e-187,1.59757999193648,0.451,0.182,4.60370594991734e-183,Neutral,TPM1
CALR,2.90936023118979e-186,0.997944244103016,0.699,0.461,3.8368642728931e-182,Neutral,CALR
PKM,3.47007102310481e-185,1.13892612777913,0.665,0.441,4.57632966527063e-181,Neutral,PKM
PDZK1IP1,7.92918674986201e-179,2.17789702543213,0.325,0.072,1.0457011485718e-174,Neutral,PDZK1IP1
PHLDA2,1.02996733341618e-178,2.07158914422427,0.328,0.072,1.35832091930926e-174,Neutral,PHLDA2
LAMP2,1.95229832413111e-178,1.48988801517632,0.432,0.162,2.5746910298641e-174,Neutral,LAMP2
MMP7,2.55994280345026e-178,3.03407184921787,0.289,0.047,3.3760525691902e-174,Neutral,MMP7
