"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GRN,0,1.69401241849628,0.612,0.33,0
BASP1,0,1.11118146161593,0.446,0.167,0
PSAP,0,1.68507003408776,0.77,0.507,0
CTSZ,0,1.96897069226387,0.518,0.256,0
HSP90B1,0,0.931358929585916,0.838,0.579,0
LAP3,0,0.988249700705362,0.511,0.263,0
FCGRT,0,1.62555812604431,0.459,0.219,0
FKBP2,0,0.71488201579114,0.605,0.368,0
CD63,0,1.10722717112151,0.883,0.647,0
CYBA,0,0.746072666737888,0.816,0.587,0
MARCKS,0,1.51629095715726,0.579,0.351,0
NPC2,0,0.927162603825056,0.76,0.556,0
XBP1,0,1.55799546156225,0.67,0.476,0
VIM,0,0.75188448784085,0.875,0.688,0
APOE,0,2.76384364685819,0.431,0.245,0
SPCS3,0,0.773979482435987,0.451,0.268,0
SFRP1,0,-1.54092843519622,0.252,0.431,0
IL32,0,-1.40730494556801,0.287,0.46,0
S100P,0,-1.6297815892875,0.292,0.453,0
PMAIP1,0,-1.54469283759421,0.267,0.426,0
MAL2,0,-1.5365198590456,0.308,0.465,0
DDIT4,0,-2.09229553404581,0.478,0.633,0
KRT17,0,-1.38350941542792,0.338,0.493,0
CLDN4,0,-1.40011617874273,0.374,0.524,0
IFITM3,2.06922997869378e-293,1.0748258575425,0.55,0.389,2.72890049590136e-289
GLUL,5.82239204774119e-267,1.44006443683708,0.518,0.364,7.67857063256109e-263
SEC11C,4.20649589129157e-197,0.700103502086542,0.537,0.381,5.54752678143532e-193
