"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-9.53252740151931,0.003,0.727,0,Neutral,NOXO1
2,0,-5.94182456942158,0.011,0.274,0,Neutral,MIR3945HG
3,2.08839828295234e-112,-1.91989061610909,0.096,0.334,2.75417965555755e-108,Neutral,ITGB8
4,2.06032784462021e-95,-2.20503792351764,0.12,0.355,2.71716036148513e-91,Neutral,BCL2A1
5,3.83046746418075e-93,-2.58303038770706,0.097,0.309,5.05162049176158e-89,Neutral,INHBA
6,1.56424952076527e-86,-1.65485432647296,0.413,0.717,2.06293226798524e-82,Neutral,IER3
7,3.75999722158956e-76,-1.29804949466527,0.226,0.498,4.95868433583232e-72,Neutral,VEGFA
8,5.91096678462201e-70,-1.95565009763276,0.168,0.397,7.79538299555951e-66,Neutral,C15orf48
9,9.2835287715671e-68,-1.3554226335087,0.223,0.478,1.22431177439427e-63,Neutral,PLAUR
10,2.97144524481232e-66,-1.26793392656493,0.402,0.691,3.91874198885849e-62,Neutral,SOD2
11,1.60939375569008e-65,-1.46188168697231,0.165,0.382,2.12246848500407e-61,Neutral,MYO6
12,4.02135986045352e-64,-1.00002618966971,0.345,0.618,5.3033693839661e-60,Neutral,ATP1B1
13,3.25148010606671e-63,-1.23192969741276,0.126,0.326,4.28805196388077e-59,Neutral,KIF1B
14,4.42387971619254e-63,-1.06669598509657,0.264,0.521,5.83421256971473e-59,Neutral,GNB1
15,2.26731471886562e-61,-1.83785510983294,0.111,0.294,2.99013465123998e-57,Neutral,KRT81
16,5.12493824539455e-61,-0.830571128191367,0.41,0.703,6.75876855802634e-57,Neutral,CTSD
17,8.19222175847517e-60,-1.82395475100077,0.235,0.454,1.08039020550771e-55,Neutral,DSC2
18,1.88101910722677e-59,-0.773878969748624,0.477,0.759,2.48068799861067e-55,Neutral,TYMP
19,2.66471257806993e-58,-0.892734147102623,0.213,0.454,3.51422294795862e-54,Neutral,CAPN2
20,5.594722487184e-57,-0.809003288498749,0.44,0.732,7.37832001609825e-53,Neutral,HLA-DRA
21,0,9.98589834472477,0.992,0.003,0,Positive,NOXO1
22,5.04134988456991e-174,2.69709590884741,0.255,0.035,6.6485322277708e-170,Positive,PRAME
23,1.89235807457029e-173,2.31889479277552,0.442,0.096,2.49564182874329e-169,Positive,ITGB8
24,3.25098008773951e-128,1.47250913947727,0.92,0.53,4.28739253971086e-124,Positive,CD24
25,4.00725991847791e-121,1.88113464855446,0.514,0.164,5.28477438048867e-117,Positive,MYO6
26,1.95200048613242e-120,1.40059903944183,0.785,0.344,2.57429824111144e-116,Positive,ATP1B1
27,4.99681857120269e-111,2.24136286704882,0.594,0.234,6.58980433170211e-107,Positive,DSC2
28,8.10121887105925e-108,1.87230569535107,0.65,0.274,1.06838874471529e-103,Positive,CLDN3
29,2.94155815028731e-107,1.66484333372177,0.509,0.168,3.87932688859891e-103,Positive,SMIM22
30,2.00297185388965e-105,1.69327579294556,0.58,0.221,2.64151928090967e-101,Positive,MIA
31,3.02250072400318e-104,2.27740146224018,0.391,0.111,3.9860739548154e-100,Positive,KRT81
32,8.69696446842028e-103,1.15538314706175,0.902,0.481,1.14695567409527e-98,Positive,CLDN4
33,1.37576490039731e-100,1.55012244480677,0.528,0.188,1.81435875064398e-96,Positive,NCKAP1
34,3.5619498411804e-99,2.36732718506294,0.293,0.069,4.69749945054871e-95,Positive,IGFBP2
35,9.65617326329747e-99,1.51628659006504,0.548,0.201,1.27345612996367e-94,Positive,TRIM29
36,1.63208124339446e-98,1.80366178665442,0.636,0.271,2.15238874378862e-94,Positive,MMP7
37,1.37384464841872e-97,1.40237211726416,0.523,0.186,1.81182632233461e-93,Positive,FBXO32
38,7.00580928992924e-94,1.85510967822098,0.33,0.086,9.23926129155867e-90,Positive,ITGB4
39,1.99249298961075e-91,1.76290263714942,0.371,0.107,2.62769975469865e-87,Positive,FZD6
40,3.94448832222914e-91,1.07041858087837,0.87,0.476,5.20199119935579e-87,Positive,TM4SF1
41,0,7.84791702144081,1,0.011,0,Negative,MIR3945HG
42,0,5.06180183841686,0.656,0.053,0,Negative,IL1B
43,1.37717449854429e-288,4.22236648512263,0.633,0.057,1.81621772868021e-284,Negative,OLR1
44,3.01313615377958e-258,4.90126131455715,0.279,0.012,3.97372395960451e-254,Negative,MCEMP1
45,2.85076471756601e-241,4.4771564681924,0.377,0.024,3.75958850952605e-237,Negative,CD300E
46,1.3473511873576e-238,4.63349190527496,0.405,0.028,1.7768867458872e-234,Negative,FCN1
47,2.02476561536949e-225,4.35302882840636,0.367,0.024,2.67026089354928e-221,Negative,AQP9
48,7.66765657885563e-208,4.65878063691098,0.409,0.033,1.01121054961948e-203,Negative,EREG
49,1.57930274493032e-204,3.6136460052198,0.549,0.059,2.0827844600141e-200,Negative,SLC11A1
50,7.67321727596071e-201,2.86148630509625,0.87,0.151,1.0119438943537e-196,Negative,FCER1G
51,1.5140445967164e-198,2.82980633423978,0.777,0.116,1.99672201414958e-194,Negative,AIF1
52,8.06359263761551e-193,3.53056950290252,0.819,0.147,1.06342659704873e-188,Negative,LYZ
53,1.80864390450205e-191,4.16356787871662,0.651,0.092,2.38523958125731e-187,Negative,CXCL8
54,3.66533579330304e-191,2.81616384583588,0.86,0.154,4.83384484420804e-187,Negative,TYROBP
55,2.88794994428357e-185,4.47575343939287,0.358,0.028,3.80862838652117e-181,Negative,NLRP3
56,8.04981130096919e-184,4.41783366829146,0.302,0.02,1.06160911437182e-179,Negative,LUCAT1
57,1.75672162826728e-180,3.96114713466667,0.437,0.042,2.31676448335889e-176,Negative,C5AR1
58,1.7248390995313e-174,3.4504286155497,0.595,0.081,2.27471780446188e-170,Negative,SERPINA1
59,1.22217118937563e-153,3.59950142496007,0.679,0.121,1.61179936454858e-149,Negative,BCL2A1
60,1.55277331918302e-152,4.32390855954378,0.512,0.07,2.04779745333857e-148,Negative,CXCL3
