"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.25474370640729e-248,1.05259903604643,0.572,0.308,2.97355600000993e-244,Neutral,PERP
2,4.85258966082667e-236,2.12947057656544,0.435,0.187,6.39959524469821e-232,Neutral,KRT19
3,5.05127699263594e-235,1.12613079765577,0.912,0.811,6.66162409788828e-231,Neutral,RPL23A
4,2.13178964365006e-232,1.1415987025056,0.531,0.253,2.8114041820457e-228,Neutral,FXYD3
5,2.65821531062958e-207,-1.71405899448663,0.122,0.281,3.50565435165829e-203,Neutral,SERPING1
6,2.34150986415824e-205,1.08245874663481,0.585,0.369,3.08798320885189e-201,Neutral,MARCKSL1
7,2.29617281662352e-198,1.265208099112,0.452,0.21,3.02819271056309e-194,Neutral,CRABP2
8,1.44413611315131e-197,0.942512882743621,0.493,0.238,1.90452670602395e-193,Neutral,ELF3
9,4.25629810500084e-196,1.46855898299747,0.455,0.221,5.6132059408751e-192,Neutral,KRT8
10,9.27620577161643e-189,0.84707540228761,0.554,0.297,1.22334601716078e-184,Neutral,CD24
11,4.82380994481817e-186,0.825748018045578,0.588,0.335,6.36164055522621e-182,Neutral,SPINT2
12,1.28763550377922e-182,0.641094119278226,0.789,0.651,1.69813370238404e-178,Neutral,COMMD6
13,2.43315347081763e-177,1.31123963054466,0.638,0.452,3.2088427973143e-173,Neutral,RPS17
14,5.11423298676063e-176,0.929750980064853,0.445,0.211,6.74465046293992e-172,Neutral,SLPI
15,5.51069758106806e-175,0.684588934523356,0.813,0.698,7.26750796991256e-171,Neutral,UQCRH
16,1.32826930265591e-172,0.883205955887322,0.505,0.261,1.75172155634261e-168,Neutral,CLDN4
17,2.26603018618731e-172,1.17769294863043,0.43,0.199,2.98844060954382e-168,Neutral,S100P
18,1.40293804930961e-170,1.08869422796065,0.423,0.201,1.85019469942951e-166,Neutral,KRT7
19,9.72745487246169e-170,0.74502271344354,0.752,0.641,1.28285674858025e-165,Neutral,SLC25A6
20,2.09491398584563e-169,2.10570976658169,0.278,0.085,2.76277256453321e-165,Neutral,TTYH1
21,0,3.42491963238161,0.272,0.063,0,Positive,COL3A1
22,0,3.13702845259051,0.335,0.078,0,Positive,SPARC
23,0,2.87453019079517,0.311,0.083,0,Positive,COL6A2
24,0,2.56578280984677,0.324,0.085,0,Positive,DAB2
25,0,2.49248513507003,0.441,0.172,0,Positive,FN1
26,0,-2.48353409496456,0.124,0.529,0,Positive,FXYD3
27,0,2.34492622692575,0.375,0.122,0,Positive,SERPING1
28,0,1.93807012870373,0.69,0.458,0,Positive,FOSB
29,0,-1.66956171964914,0.548,0.817,0,Positive,UQCRH
30,0,-1.32267479547474,0.83,0.939,0,Positive,RPL7
31,0,-1.30622437251277,0.81,0.929,0,Positive,RPS20
32,0,-1.22095725461751,0.839,0.963,0,Positive,RPS7
33,0,-1.07526677260193,0.866,0.979,0,Positive,RPS3
34,1.11253693969484e-308,-2.33909171390031,0.232,0.6,1.11267462825483e-308,Positive,PSME2
35,1.11253777503704e-308,-1.91314560632483,0.163,0.574,1.12369112129511e-308,Positive,TSTD1
36,1.1125641574744e-308,2.84013805567754,0.307,0.092,1.47162270513996e-308,Positive,COL6A1
37,1.11343924126738e-308,3.43239255917919,0.281,0.08,2.37993816755226e-307,Positive,COL1A2
38,2.41809850835547e-305,1.97235525306478,0.413,0.151,3.1889883128192e-301,Positive,SLC2A3
39,1.40179311728364e-303,1.98070428321135,0.397,0.141,1.84868476307366e-299,Positive,ZEB2
40,1.19980988706706e-298,-2.18173501117206,0.212,0.585,1.58230927906404e-294,Positive,STMN1
41,0,1.47896399669569,0.944,0.571,0,Negative,PSME2
42,2.3865628347155e-267,1.02512767657967,0.905,0.575,3.1473990664228e-263,Negative,PSME1
43,4.18798565789814e-260,1.3590811383571,0.704,0.328,5.52311548563607e-256,Negative,PSMB8
44,6.42674974194316e-211,2.0552446619495,0.342,0.103,8.47559755967464e-207,Negative,RRM2
45,1.26943217051517e-210,1.66623109844774,0.402,0.133,1.6741271464754e-206,Negative,MKI67
46,4.73374133899125e-204,1.44709364159321,0.566,0.249,6.24285807786167e-200,Negative,TYMS
47,2.41499186635286e-193,1.80635784357486,0.264,0.068,3.18489127334615e-189,Negative,CD38
48,2.92032070871891e-192,2.73328177700566,0.284,0.081,3.8513189506585e-188,Negative,MZB1
49,5.16099466148327e-186,0.949412630143638,0.747,0.383,6.80631975956414e-182,Negative,PSMB9
50,4.5114996885682e-180,1.39433452960627,0.442,0.167,5.94976578928374e-176,Negative,BIRC5
51,5.54742335119843e-179,0.864619641047075,0.968,0.828,7.31594191556049e-175,Negative,SUB1
52,1.24167401670527e-170,1.51100715048346,0.39,0.144,1.63751969323091e-166,Negative,MAD2L1
53,1.11166595470565e-165,0.968955357931402,0.893,0.715,1.46606506106581e-161,Negative,H2AFZ
54,1.13520016933043e-158,1.23805386319219,0.673,0.395,1.49710198331297e-154,Negative,SDF2L1
55,1.99523604288036e-158,1.37925107859932,0.37,0.135,2.63131729335062e-154,Negative,MYBL2
56,4.72483592371224e-152,1.5069052888461,0.311,0.105,6.2311136161917e-148,Negative,PHF19
57,2.40259261091619e-151,1.20220269550632,0.572,0.284,3.16853913527627e-147,Negative,PCLAF
58,1.75885456354623e-145,1.12855784150237,0.569,0.283,2.31957739840476e-141,Negative,PTTG1
59,3.54821268847273e-145,1.53145396752913,0.364,0.138,4.67938289355783e-141,Negative,TOP2A
60,2.24028799726639e-141,1.20464565782406,0.397,0.156,2.95449181079491e-137,Negative,CDKN3
