"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-4.73365518185221,0.012,0.26,0,Neutral,COL5A2
2,0,-4.61276890212591,0.013,0.256,0,Neutral,SULF1
3,0,-4.43754405072242,0.016,0.264,0,Neutral,COL5A1
4,0,-4.2958921546301,0.026,0.296,0,Neutral,CTHRC1
5,0,-4.24637655522321,0.019,0.272,0,Neutral,COL6A3
6,0,-4.10100867865332,0.016,0.253,0,Neutral,AEBP1
7,0,-4.06657776371664,0.018,0.26,0,Neutral,ANTXR1
8,0,-4.06212042439815,0.02,0.256,0,Neutral,RCN3
9,0,-4.02592863194563,0.022,0.26,0,Neutral,MMP2
10,0,-4.0197921778731,0.022,0.258,0,Neutral,GPX8
11,0,-3.91256455039806,0.03,0.301,0,Neutral,MXRA8
12,0,-3.897854204461,0.021,0.254,0,Neutral,BMP1
13,0,-3.85089704572611,0.023,0.29,0,Neutral,BGN
14,0,-3.81448787980828,0.021,0.273,0,Neutral,ECM1
15,0,-3.81385356451052,0.024,0.291,0,Neutral,EFEMP2
16,0,-3.76409212529038,0.019,0.276,0,Neutral,PDLIM3
17,0,-3.75078620491035,0.02,0.268,0,Neutral,FSTL1
18,0,-3.71328372734066,0.02,0.277,0,Neutral,CCDC80
19,0,-3.68509280090037,0.033,0.323,0,Neutral,FBLN1
20,0,-3.65564248889748,0.036,0.408,0,Neutral,PLOD2
21,0,6.53717820800613,0.571,0.012,0,Negative,CRTAC1
22,0,6.44192544129186,0.722,0.016,0,Negative,PLA2G1B
23,0,5.91684179168738,0.97,0.065,0,Negative,SFTPA1
24,0,5.84363264787045,0.932,0.041,0,Negative,SFTPD
25,0,5.76262735232154,0.594,0.017,0,Negative,WIF1
26,0,5.69703127577104,0.88,0.04,0,Negative,PEBP4
27,0,5.66762865546898,0.962,0.078,0,Negative,SFTPA2
28,0,5.6674346574506,0.481,0.015,0,Negative,KCNJ15
29,0,5.51292967797241,0.684,0.022,0,Negative,HSD17B6
30,0,5.31558091007845,0.729,0.038,0,Negative,ABCA3
31,0,5.18762572514824,0.82,0.041,0,Negative,C4BPA
32,0,5.08327513408669,0.752,0.047,0,Negative,LAMP3
33,0,5.04038669430875,0.94,0.056,0,Negative,PIGR
34,0,4.90735990251055,0.962,0.075,0,Negative,SLC34A2
35,0,4.80235153934938,0.594,0.019,0,Negative,CLDN18
36,1.11253692925363e-308,4.9052480607311,0.797,0.054,1.11253692963729e-308,Negative,LRRK2
37,1.1125369292563e-308,5.61400116832239,0.406,0.013,1.11253696052146e-308,Negative,RASGRF1
38,4.7545858887633e-299,4.26741054672552,0.925,0.081,5.51104050366555e-295,Negative,CXCL17
39,1.21598351335181e-287,4.33554377119053,0.955,0.094,1.40944649032608e-283,Negative,SFTA2
40,1.49398416333443e-279,4.8515729319261,0.519,0.024,1.73167704372094e-275,Negative,AQP4
41,0,5.24208590273416,0.275,0.009,0,Positive,ISLR
42,0,5.01823599701954,0.287,0.009,0,Positive,THBS2
43,0,5.00946185438372,0.314,0.012,0,Positive,COL5A2
44,0,5.00447448580216,0.269,0.009,0,Positive,LOX
45,0,4.88857557465743,0.309,0.013,0,Positive,SULF1
46,0,4.80978493653181,0.25,0.01,0,Positive,SFRP2
47,0,4.80104997142066,0.298,0.013,0,Positive,THY1
48,0,4.76215783116699,0.28,0.009,0,Positive,MFAP2
49,0,4.72303123538802,0.252,0.009,0,Positive,MXRA5
50,0,4.71335072325393,0.318,0.016,0,Positive,COL5A1
51,0,4.64426246927963,0.257,0.008,0,Positive,PRRX1
52,0,4.57169882716162,0.357,0.026,0,Positive,CTHRC1
53,0,4.55423598044206,0.28,0.015,0,Positive,POSTN
54,0,4.54973586837448,0.274,0.01,0,Positive,EMILIN1
55,0,4.51909395938005,0.326,0.019,0,Positive,COL6A3
56,0,4.50839163649286,0.291,0.018,0,Positive,FAP
57,0,4.44630450531111,0.311,0.025,0,Positive,MMP11
58,0,4.40898130876034,0.26,0.012,0,Positive,COL12A1
59,0,4.37681535118484,0.304,0.016,0,Positive,AEBP1
60,0,4.32907172457294,0.308,0.02,0,Positive,RCN3
