"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SAP25,0,-10.670590340802,0.003,0.873,0,Neutral,SAP25
HCK,6.82549383665237e-10,-0.545193879142941,0.167,0.271,7.91142990606377e-06,Neutral,HCK
CXCL16,2.03719074804839e-09,-0.489017929492142,0.247,0.365,2.36130779606288e-05,Neutral,CXCL16
ALDH2,7.02471944514962e-09,-0.45094337872152,0.281,0.398,8.14235230887293e-05,Neutral,ALDH2
THEMIS2,8.89883978053824e-09,-0.481527902133054,0.211,0.318,0.000103146451896219,Neutral,THEMIS2
CD86,9.26431937856521e-09,-0.566838068196246,0.157,0.251,0.000107382725916949,Neutral,CD86
CLEC7A,1.03029173784716e-08,-0.652405752565336,0.17,0.262,0.000119421115333864,Neutral,CLEC7A
CPM,3.01177157523926e-08,-0.494365427757339,0.201,0.302,0.000349094443285983,Neutral,CPM
IGSF6,3.79977265417878e-08,-0.540978033277599,0.181,0.275,0.000440431648345862,Neutral,IGSF6
PYCARD,6.51627004460189e-08,-0.360780677664914,0.373,0.493,0.000755300860869805,Neutral,PYCARD
IL18,6.66199180095106e-08,-0.618619105361286,0.164,0.251,0.000772191469648237,Neutral,IL18
MS4A7,6.70987281904946e-08,-0.503732347706195,0.198,0.296,0.000777741358456022,Neutral,MS4A7
CNDP2,7.34244203490304e-08,-0.416193495088197,0.264,0.371,0.000851062456265611,Neutral,CNDP2
RNPEP,1.73623353051396e-07,-0.439101137071308,0.209,0.302,0.00201246828521873,Neutral,RNPEP
PGLS,2.01315995618257e-07,-0.304229519297775,0.346,0.467,0.00233345370521122,Neutral,PGLS
CTSH,2.04011829463751e-07,-0.391941731612856,0.362,0.471,0.00236470111531434,Neutral,CTSH
MS4A6A,2.35894113193005e-07,-0.492525748776691,0.206,0.298,0.00273424866602012,Neutral,MS4A6A
MNDA,2.44576028967035e-07,-0.467298931961337,0.186,0.276,0.0028348807517569,Neutral,MNDA
FCGR2A,2.66377046031686e-07,-0.444108013361736,0.216,0.313,0.00308757634055328,Neutral,FCGR2A
MAFB,2.98056796933303e-07,-0.516606929592915,0.19,0.278,0.00345477633325391,Neutral,MAFB
ALCAM,3.62528323246232e-07,-0.479317620395856,0.186,0.271,0.00420206579474708,Neutral,ALCAM
