"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SFTPC,4.1069772864259e-205,-6.22744913593011,0.139,0.991,4.76039737269626e-201
SFTPD,3.15648829648976e-188,-4.30359763485404,0.16,0.978,3.65868558446129e-184
CLDN18,5.02791066973556e-178,-6.49944386524059,0.017,0.665,5.82785125729049e-174
SFTPA1,2.49958351943177e-170,-4.26711407609856,0.249,0.996,2.89726725737337e-166
SFTPA2,7.31140355164088e-159,-3.91260502500579,0.292,0.991,8.47464785670695e-155
FABP5,8.75304219746647e-157,-4.24182920076746,0.171,0.913,1.01456512110834e-152
LRRK2,6.92646968640114e-137,-4.20780271662185,0.113,0.787,8.02847101350757e-133
SFTA2,1.28090498150835e-125,-1.96782420224547,0.586,0.996,1.48469696406633e-121
PLA2G1B,8.58481052406265e-122,-4.1119754373923,0.13,0.761,9.95065387844102e-118
CA2,4.15631367941211e-117,-5.29030551793424,0.044,0.57,4.81758318580658e-113
SLPI,9.0724851294809e-112,-1.69513744793799,0.736,0.991,1.05159175135813e-107
PEBP4,1.13796340998117e-111,-2.90973433967068,0.339,0.891,1.31901338850918e-107
SELENOP,1.15641106679157e-107,-2.87165961829896,0.384,0.909,1.34039606751811e-103
PIGR,6.67007853124378e-105,-2.66372823764788,0.31,0.904,7.73128802556467e-101
HSD17B6,1.92662166020767e-103,-3.7132128555099,0.097,0.661,2.23314716634671e-99
BST2,4.79392678873138e-95,5.14790319525967,0.863,0.043,5.55664054081854e-91
C4BPA,1.89656869612934e-92,-3.06654872413931,0.283,0.813,2.19831277568352e-88
C2,1.04266590805792e-88,-3.42320082329142,0.151,0.683,1.20855405402994e-84
RNASE1,1.28302773413632e-87,-1.7891765940519,0.55,0.952,1.4871574466374e-83
FGGY,2.63716194346907e-87,-3.23970505531043,0.258,0.774,3.056734408675e-83
SLC34A2,1.37571149244276e-81,-1.85648944557143,0.64,0.917,1.5945871908904e-77
WIF1,6.38964733833115e-80,-3.20616827433674,0.159,0.67,7.40624022985963e-76
LAMP3,5.68756904308644e-79,-2.66670744525658,0.374,0.813,6.59246127784149e-75
