"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
LGALS3BP,0,1.9182868108085,0.571,0.145,0,Positive,LGALS3BP
S100A13,0,2.00390535857235,0.531,0.122,0,Positive,S100A13
CD59,0,1.2503803168281,0.655,0.248,0,Positive,CD59
CD9,0,1.45205254921696,0.616,0.209,0,Positive,CD9
ALDH2,0,1.91650837392258,0.585,0.179,0,Positive,ALDH2
CD81,0,1.40159430472832,0.62,0.222,0,Positive,CD81
CYB5A,0,1.45890703423277,0.593,0.198,0,Positive,CYB5A
RAB13,0,1.78932923230887,0.528,0.134,0,Positive,RAB13
PLD3,0,1.67393212307337,0.559,0.169,0,Positive,PLD3
GRN,0,1.46882261853447,0.672,0.284,0,Positive,GRN
CTSH,0,1.23880020005062,0.651,0.264,0,Positive,CTSH
CTSZ,0,1.46686978240357,0.631,0.247,0,Positive,CTSZ
BRI3,0,1.20716212815082,0.669,0.286,0,Positive,BRI3
CST3,0,1.08696577247826,0.754,0.371,0,Positive,CST3
SERPINA1,0,1.55060089129276,0.589,0.211,0,Positive,SERPINA1
FCGRT,0,1.46532271761389,0.61,0.233,0,Positive,FCGRT
COMT,0,1.23016531484167,0.615,0.24,0,Positive,COMT
PTMS,0,1.10464788831128,0.61,0.238,0,Positive,PTMS
ATOX1,0,1.14132586486113,0.608,0.237,0,Positive,ATOX1
NUPR1,0,2.43829343649249,0.466,0.095,0,Positive,NUPR1
CD151,0,1.31393919168708,0.549,0.18,0,Positive,CD151
FKBP2,0,0.959809018379286,0.654,0.292,0,Positive,FKBP2
NENF,0,0.92146889365355,0.632,0.272,0,Positive,NENF
CXCL16,0,1.69805384401156,0.513,0.157,0,Positive,CXCL16
ASAH1,0,1.00498652559917,0.661,0.306,0,Positive,ASAH1
IFI6,0,1.16539771870598,0.618,0.268,0,Positive,IFI6
HNMT,0,2.02990431121913,0.453,0.104,0,Positive,HNMT
NPC2,0,0.9519348843512,0.767,0.418,0,Positive,NPC2
FBP1,0,1.77732970158506,0.512,0.165,0,Positive,FBP1
TXNDC17,0,0.814744158467445,0.624,0.277,0,Positive,TXNDC17
AKR1A1,0,1.01097839779729,0.587,0.244,0,Positive,AKR1A1
CTSL,0,1.64319470656416,0.505,0.163,0,Positive,CTSL
MGST3,0,0.998045041883934,0.697,0.357,0,Positive,MGST3
CREG1,0,1.40601995496859,0.501,0.162,0,Positive,CREG1
SPINT2,0,1.10490734289686,0.546,0.208,0,Positive,SPINT2
LAMTOR2,0,0.791843302361103,0.624,0.288,0,Positive,LAMTOR2
APLP2,0,0.873329967312441,0.654,0.318,0,Positive,APLP2
HSBP1,0,0.711801917658119,0.658,0.322,0,Positive,HSBP1
LAMP2,0,1.2058480726247,0.524,0.188,0,Positive,LAMP2
ATP1B1,0,1.40482140949497,0.496,0.16,0,Positive,ATP1B1
SERPING1,0,2.2735411962349,0.426,0.09,0,Positive,SERPING1
IFI27,0,1.81685207360175,0.471,0.135,0,Positive,IFI27
S100A9,0,1.05570299619552,0.542,0.207,0,Positive,S100A9
APOC1,0,1.92578771106661,0.556,0.221,0,Positive,APOC1
MGST1,0,1.78141741167876,0.44,0.107,0,Positive,MGST1
MYDGF,0,0.828699557356849,0.641,0.308,0,Positive,MYDGF
BLVRB,0,1.13349608563832,0.528,0.195,0,Positive,BLVRB
APOE,0,1.81675229686691,0.539,0.207,0,Positive,APOE
GSN,0,1.41546055620099,0.49,0.159,0,Positive,GSN
PRDX4,0,1.4948955630983,0.486,0.155,0,Positive,PRDX4
GRINA,0,1.22783320402664,0.513,0.183,0,Positive,GRINA
ATP6AP1,0,1.10094483641661,0.52,0.19,0,Positive,ATP6AP1
LTA4H,0,1.29530450664452,0.551,0.222,0,Positive,LTA4H
SYNGR2,0,0.855682891554176,0.576,0.247,0,Positive,SYNGR2
CTSB,0,0.986815267167356,0.683,0.355,0,Positive,CTSB
C1QB,0,1.85211961481549,0.521,0.194,0,Positive,C1QB
TMED10,0,0.687831172447241,0.659,0.332,0,Positive,TMED10
NDUFC1,0,0.740074744532281,0.58,0.253,0,Positive,NDUFC1
PHPT1,0,0.685875701678512,0.633,0.307,0,Positive,PHPT1
TMEM14C,0,0.718703700905249,0.599,0.273,0,Positive,TMEM14C
RAB31,0,1.14413968581306,0.494,0.168,0,Positive,RAB31
PCBD1,0,0.920248054454215,0.53,0.205,0,Positive,PCBD1
RBM47,0,1.8583117369401,0.428,0.103,0,Positive,RBM47
PRDX5,0,0.667379553922634,0.733,0.408,0,Positive,PRDX5
MRPL14,0,0.827793302644867,0.546,0.222,0,Positive,MRPL14
VKORC1,0,0.824469838101327,0.56,0.236,0,Positive,VKORC1
