"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-7.00745281005996,0.015,0.785,0,Neutral,APOC2
2,0,-3.29761216083655,0.044,0.435,0,Neutral,PCOLCE2
3,0,-3.24892639397139,0.033,0.353,0,Neutral,GPD1
4,0,-3.14573305082597,0.045,0.389,0,Neutral,RBP4
5,0,-3.12564208285045,0.038,0.379,0,Neutral,AGRP
6,0,-3.11375825410847,0.029,0.285,0,Neutral,SPOCD1
7,0,-3.03272120904244,0.038,0.355,0,Neutral,MME
8,0,-2.96562120000332,0.051,0.44,0,Neutral,GLDN
9,0,-2.84828840839478,0.051,0.388,0,Neutral,FOLR3
10,0,-2.81920126062181,0.034,0.296,0,Neutral,CCL23
11,0,-2.80127127569938,0.091,0.558,0,Neutral,CYP27A1
12,0,-2.78330050626136,0.102,0.662,0,Neutral,MSR1
13,0,-2.77583682064221,0.087,0.592,0,Neutral,TREM2
14,0,-2.76316907052631,0.085,0.534,0,Neutral,LPL
15,0,-2.72540903173136,0.075,0.529,0,Neutral,PPARG
16,0,-2.72221853339325,0.092,0.581,0,Neutral,MCEMP1
17,0,-2.60808936078214,0.115,0.613,0,Neutral,MARCO
18,0,-2.59796194073948,0.056,0.398,0,Neutral,TNNI2
19,0,-2.5907564128685,0.037,0.274,0,Neutral,DEFB1
20,0,-2.58514573664212,0.038,0.268,0,Neutral,STAC
21,0,7.52055051435291,1,0.016,0,Positive,PRC1
22,1.78207914121796e-52,1.99030097133915,0.258,0.074,2.06560793258573e-48,Positive,NUSAP1
23,1.50366470313379e-36,1.28075144619503,0.462,0.239,1.74289775740238e-32,Positive,SMC4
24,9.02158058868592e-28,0.675081498564123,0.744,0.591,1.04569140603458e-23,Positive,HMGB2
25,6.8563694653176e-24,1.16195840040314,0.367,0.195,7.94721784724964e-20,Positive,PTTG1
26,7.58606734767058e-15,1.43132508828836,0.303,0.193,8.79301066268497e-11,Positive,CKS1B
27,6.72048033105436e-14,1.2517481715121,0.25,0.139,7.7897087517251e-10,Positive,SKA2
28,3.02200557153387e-12,0.732636406252424,0.428,0.305,3.5028066579649e-08,Positive,IDH2
29,1.00947916415222e-11,-1.19021499141781,0.117,0.255,1.17008729916883e-07,Positive,SELENOM
30,1.10479467891716e-11,0.917608247820254,0.269,0.159,1.28056751233288e-07,Positive,TMPO
31,1.46033483700798e-11,-1.12842807286164,0.182,0.316,1.69267410957594e-07,Positive,CD9
32,1.46620725476407e-11,-1.22922760474781,0.123,0.256,1.69948082899703e-07,Positive,LGALS3BP
33,2.79613384252107e-11,0.68307572486049,0.267,0.15,3.24099873686617e-07,Positive,SH2D2A
34,2.03675986005608e-10,-0.725118731257691,0.273,0.418,2.360808353791e-06,Positive,TMED10
35,6.77223729410227e-10,-0.961370747132662,0.142,0.271,7.84970024759394e-06,Positive,PLD3
36,1.00701629101723e-09,0.666379522267164,0.386,0.272,1.16723258291807e-05,Positive,KPNA2
37,1.32745669982236e-09,-0.874567873708196,0.199,0.327,1.53865506076409e-05,Positive,CD81
38,5.10706462335114e-09,-0.657909798373725,0.267,0.399,5.91959860492631e-05,Positive,ASAH1
39,6.89431073607579e-09,0.6101527548251,0.358,0.249,7.99119557418545e-05,Positive,ANP32E
40,1.02841029978196e-08,0.524454270963583,0.422,0.303,0.000119203037847727,Positive,DUSP4
41,0,7.37839120819671,1,0.015,0,Negative,APOC2
42,0,3.64623481915646,0.548,0.044,0,Negative,PCOLCE2
43,0,3.60289869459434,0.448,0.033,0,Negative,GPD1
44,0,3.48307771224788,0.488,0.045,0,Negative,RBP4
45,0,3.46846135213545,0.477,0.038,0,Negative,AGRP
46,0,3.4504384895985,0.358,0.029,0,Negative,SPOCD1
47,0,3.44779650326182,0.258,0.019,0,Negative,DCSTAMP
48,0,3.38223416580402,0.446,0.038,0,Negative,MME
49,0,3.3800913447379,0.307,0.026,0,Negative,FFAR4
50,0,3.29860681248598,0.286,0.025,0,Negative,DNAJC5B
51,0,3.29434436692056,0.549,0.051,0,Negative,GLDN
52,0,3.21349239942368,0.3,0.03,0,Negative,FABP3
53,0,3.17169734143289,0.484,0.051,0,Negative,FOLR3
54,0,3.13853336682834,0.7,0.09,0,Negative,CYP27A1
55,0,3.12852115233446,0.368,0.034,0,Negative,CCL23
56,0,3.11005950911617,0.821,0.102,0,Negative,MSR1
57,0,3.10730689368748,0.67,0.084,0,Negative,LPL
58,0,3.10410941580238,0.296,0.026,0,Negative,AOC3
59,0,3.07159768009503,0.26,0.022,0,Negative,PTCRA
60,0,3.05912814356249,0.728,0.087,0,Negative,TREM2
