"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TMBIM6,0,-0.570735438146448,0.673,0.816,0,Neutral,TMBIM6
ZFAND5,1.11253692925363e-308,-0.762028073682983,0.509,0.69,1.11253692973426e-308,Neutral,ZFAND5
TNFAIP2,1.50265831206444e-288,-1.74211140521124,0.169,0.322,2.28419090016916e-284,Neutral,TNFAIP2
PPA1,4.53632118917462e-244,-0.816981642615638,0.421,0.582,6.89566183966433e-240,Neutral,PPA1
PSMB2,1.98905224227946e-206,-0.698675761240127,0.392,0.552,3.02355831348901e-202,Neutral,PSMB2
NPC2,1.35616546376559e-197,-0.569649290182662,0.556,0.716,2.06150712147007e-193,Neutral,NPC2
TXNRD1,4.84967347161322e-188,-0.691543133341613,0.296,0.454,7.37198864419925e-184,Neutral,TXNRD1
NECTIN2,2.02745934821244e-187,-0.725963727473461,0.288,0.444,3.08194095521772e-183,Neutral,NECTIN2
RAB13,4.57618078901992e-187,-0.57892238314553,0.329,0.491,6.95625241738918e-183,Neutral,RAB13
SOD2,1.47979995849909e-181,-0.833271814642047,0.556,0.692,2.24944391691446e-177,Neutral,SOD2
CXCL16,2.33686549057813e-181,-0.8189335756391,0.209,0.346,3.55226923222782e-177,Neutral,CXCL16
PKM,1.09009569639814e-175,-0.526550390962128,0.566,0.706,1.65705446809481e-171,Neutral,PKM
SPINT2,1.09846830093762e-174,-0.898474921085532,0.27,0.408,1.66978166425527e-170,Neutral,SPINT2
CKB,5.11653683129869e-168,-0.877626749216098,0.203,0.334,7.77764763725714e-164,Neutral,CKB
CSTB,2.71042686442341e-165,-0.489978488073721,0.543,0.69,4.12011987661003e-161,Neutral,CSTB
CREG1,1.24580207211429e-164,-0.630796334748257,0.288,0.436,1.89374372982093e-160,Neutral,CREG1
MGLL,1.22456759655525e-162,-0.857828508846851,0.143,0.259,1.86146520352364e-158,Neutral,MGLL
GPX1,1.27220237799414e-162,-0.422439468514503,0.556,0.711,1.93387483478889e-158,Neutral,GPX1
CD9,6.63798158508448e-160,-0.628626238631379,0.337,0.484,1.00903958074869e-155,Neutral,CD9
PLAUR,1.13048243829064e-158,-0.55169945919116,0.395,0.55,1.7184463544456e-154,Neutral,PLAUR
BCAM,3.23807215494845e-158,-1.03682884194161,0.147,0.256,4.92219348273714e-154,Neutral,BCAM
TXN,3.38621128206007e-158,-0.696408288600995,0.703,0.817,5.14737976985951e-154,Neutral,TXN
IFNGR2,8.04723854460477e-157,-0.583698827128448,0.256,0.396,1.22326073116537e-152,Neutral,IFNGR2
GSTP1,1.25415407566982e-156,-0.519790516330148,0.568,0.71,1.90643961042569e-152,Neutral,GSTP1
TPRA1,1.22585738633787e-155,-0.685657455917606,0.187,0.312,1.8634258129722e-151,Neutral,TPRA1
LAPTM4B,1.61668522157891e-153,-0.759714516150034,0.223,0.35,2.4575232053221e-149,Neutral,LAPTM4B
TRIP6,1.26431741088115e-152,-0.783695797281887,0.183,0.304,1.92188889628043e-148,Neutral,TRIP6
TALDO1,2.15079920091815e-152,-0.608964827889084,0.351,0.501,3.26942986531569e-148,Neutral,TALDO1
CDKN2A,8.69749505483808e-151,-1.03373213962972,0.151,0.261,1.32210622328594e-146,Neutral,CDKN2A
MYO10,5.71115019177629e-150,-0.850507700625036,0.158,0.272,8.68151940651914e-146,Neutral,MYO10
HMGA1,2.86285816105717e-149,-0.551204784835657,0.443,0.581,4.35183069062301e-145,Neutral,HMGA1
CTNNA1,7.17200535171477e-149,-0.585731317543362,0.241,0.375,1.09021653351416e-144,Neutral,CTNNA1
ICAM1,2.05345372288501e-148,-0.56662881922735,0.287,0.428,3.1214550041575e-144,Neutral,ICAM1
EPCAM,9.31340662362492e-147,-0.819069860262172,0.161,0.275,1.41573094085722e-142,Neutral,EPCAM
SDC4,9.34956621715854e-145,-0.697573646789112,0.23,0.358,1.42122756067027e-140,Neutral,SDC4
UBE2H,1.51957655401632e-143,-0.539762964802471,0.25,0.386,2.30990831976021e-139,Neutral,UBE2H
TM4SF1,2.43647267410517e-140,-0.795576758224847,0.328,0.454,3.70368211190726e-136,Neutral,TM4SF1
FOSL1,6.6071491773811e-140,-0.688013363961316,0.209,0.331,1.0043527464537e-135,Neutral,FOSL1
KRT7,8.62406244844956e-139,-0.934968044642444,0.189,0.299,1.31094373278882e-134,Neutral,KRT7
RIPK2,1.73868152329351e-138,-0.467306842464915,0.306,0.45,2.64296978355847e-134,Neutral,RIPK2
MSLN,2.85848807068805e-134,-0.841259430104969,0.155,0.261,4.3451877162529e-130,Neutral,MSLN
ATF5,5.80633527928369e-134,-0.511761673175605,0.187,0.306,8.82621025803914e-130,Neutral,ATF5
CD24,1.93278671945927e-133,-0.730031711098853,0.214,0.327,2.93802909225004e-129,Neutral,CD24
PDXK,2.83905955240725e-132,-0.43532495355675,0.297,0.439,4.31565442561427e-128,Neutral,PDXK
CLDN3,4.04692429709664e-132,-0.545570740209683,0.158,0.269,6.1517296240166e-128,Neutral,CLDN3
PDCD5,2.55225174592445e-130,-0.522742073363853,0.364,0.502,3.87967787897976e-126,Neutral,PDCD5
TACSTD2,4.3871880830789e-129,-0.857723594234604,0.195,0.304,6.66896460508824e-125,Neutral,TACSTD2
CTSB,9.18645016433218e-129,-0.547663080225713,0.407,0.552,1.39643228948013e-124,Neutral,CTSB
ATOX1,2.88748938880484e-128,-0.437643949793388,0.35,0.498,4.38927261992224e-124,Neutral,ATOX1
CXCL8,1.92199543559225e-126,-0.575315273882431,0.406,0.541,2.92162526164378e-122,Neutral,CXCL8
MAP3K13,1.98470641685952e-126,-0.676691900837245,0.189,0.3,3.01695222426816e-122,Neutral,MAP3K13
TNFRSF12A,4.05251218795038e-126,-0.50154264267475,0.367,0.502,6.16022377690337e-122,Neutral,TNFRSF12A
CAPNS1,1.86860275492192e-125,-0.50456412293024,0.241,0.367,2.84046304775681e-121,Neutral,CAPNS1
CXCR4,3.68720469251453e-125,0.640773218427252,0.558,0.451,5.60491985309134e-121,Neutral,CXCR4
C15orf48,9.93043292850857e-125,-0.683863414195368,0.174,0.284,1.50952510946259e-120,Neutral,C15orf48
S100A13,4.12455969882986e-124,-0.481869883120002,0.311,0.44,6.26974319819126e-120,Neutral,S100A13
RHEB,8.77733977954663e-124,-0.408744981139067,0.514,0.655,1.33424341988888e-119,Neutral,RHEB
STOML2,2.02123233420264e-123,-0.470307780053956,0.303,0.434,3.07247527122143e-119,Neutral,STOML2
HDGF,5.8751964049776e-122,-0.548784901512003,0.336,0.466,8.93088605520645e-118,Neutral,HDGF
TMEM147,1.80328137446419e-120,-0.486902968810768,0.382,0.518,2.74116801732301e-116,Neutral,TMEM147
IGF2BP2,4.40534719431816e-120,-0.731794008429039,0.158,0.26,6.69656827008303e-116,Neutral,IGF2BP2
DSP,6.55239031693012e-119,-0.707986791121954,0.161,0.262,9.96028852076548e-115,Neutral,DSP
PPP2CB,1.50443493031797e-118,-0.743649311055299,0.158,0.259,2.28689153757634e-114,Neutral,PPP2CB
C19orf33,1.64334315619311e-118,-0.654109929792466,0.168,0.272,2.49804593172915e-114,Neutral,C19orf33
HINT2,3.66390055633613e-118,-0.670024685588846,0.172,0.276,5.56949523568655e-114,Neutral,HINT2
PCBD1,5.91460576363792e-118,-0.570357496628194,0.237,0.356,8.990792221306e-114,Neutral,PCBD1
PSMB5,6.33322370852023e-118,-0.505711857829885,0.356,0.489,9.6271333593216e-114,Neutral,PSMB5
CST3,6.56356528741853e-118,-0.487370876179751,0.45,0.588,9.97727559340491e-114,Neutral,CST3
GRINA,1.78086780997404e-117,-0.473741100778909,0.295,0.426,2.70709715794155e-113,Neutral,GRINA
HSD17B12,1.2844684168774e-116,-0.589817585591514,0.154,0.254,1.95252044049533e-112,Neutral,HSD17B12
MAL2,1.74195772524917e-116,-0.605971575406844,0.151,0.252,2.64794993815127e-112,Neutral,MAL2
CD59,4.57959622763116e-116,-0.544284819887768,0.43,0.566,6.96144422562212e-112,Neutral,CD59
GAS6,1.73286651859097e-113,-0.624035508997147,0.192,0.299,2.63413039491014e-109,Neutral,GAS6
PGD,3.27809564163712e-113,-0.541912584319512,0.181,0.288,4.98303318485259e-109,Neutral,PGD
ATP13A3,2.14061039774333e-112,-0.516287082911806,0.197,0.308,3.25394186560964e-108,Neutral,ATP13A3
