"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EPCAM,0,-2.84795254582174,0.146,0.961,0,Other,EPCAM
CLDN3,0,-2.79831352394298,0.143,0.953,0,Other,CLDN3
MAL2,0,-2.54576185035735,0.135,0.934,0,Other,MAL2
BCAM,0,-3.06203596713537,0.132,0.927,0,Other,BCAM
C19orf33,0,-2.63036859650782,0.153,0.944,0,Other,C19orf33
CLDN7,0,-2.78656292620689,0.117,0.907,0,Other,CLDN7
CLDN4,0,-2.46873416839788,0.173,0.951,0,Other,CLDN4
ELF3,0,-2.52260191951174,0.137,0.914,0,Other,ELF3
MSLN,0,-2.80022407324522,0.141,0.916,0,Other,MSLN
DSP,0,-2.61021703693451,0.146,0.914,0,Other,DSP
CD24,0,-2.93263567857102,0.201,0.969,0,Other,CD24
ASS1,0,-2.90698910395825,0.14,0.907,0,Other,ASS1
TACSTD2,0,-2.29597186992486,0.182,0.949,0,Other,TACSTD2
KRT7,0,-2.55194035092098,0.176,0.938,0,Other,KRT7
KRT19,0,-2.82036321883015,0.206,0.961,0,Other,KRT19
FOLR1,0,-3.11003522542593,0.104,0.857,0,Other,FOLR1
LAPTM4B,0,-2.8238132637812,0.214,0.965,0,Other,LAPTM4B
SLC39A4,0,-2.6882240696942,0.144,0.888,0,Other,SLC39A4
GIPC1,0,-2.36774048596024,0.187,0.929,0,Other,GIPC1
SMIM22,0,-2.9908277768378,0.096,0.833,0,Other,SMIM22
S100A1,0,-2.78200751731417,0.108,0.842,0,Other,S100A1
PAX8,0,-2.55800233092088,0.095,0.829,0,Other,PAX8
PCBD1,0,-2.27023922361097,0.227,0.961,0,Other,PCBD1
CRIP2,0,-2.53517106650066,0.164,0.898,0,Other,CRIP2
C6orf132,0,-2.41016460472417,0.115,0.845,0,Other,C6orf132
WFDC2,0,-2.65298410916879,0.233,0.952,0,Other,WFDC2
KRT8,0,-2.4973947710281,0.251,0.968,0,Other,KRT8
KRT18,0,-2.59831877576991,0.254,0.97,0,Other,KRT18
LSR,0,-1.82103087091225,0.199,0.914,0,Other,LSR
JUP,0,-2.55476044570254,0.105,0.82,0,Other,JUP
PPP1R16A,0,-2.70992162099139,0.113,0.827,0,Other,PPP1R16A
ARHGAP29,0,-2.35742819374007,0.13,0.842,0,Other,ARHGAP29
SPINT2,0,-2.45400158503565,0.265,0.976,0,Other,SPINT2
S100A14,0,-2.5431252451679,0.097,0.807,0,Other,S100A14
PAFAH1B3,0,-2.25387507113488,0.139,0.846,0,Other,PAFAH1B3
NAXE,0,-1.83891785344723,0.225,0.926,0,Other,NAXE
CITED4,0,-2.14956593420344,0.169,0.867,0,Other,CITED4
MUC16,0,-2.74424025029068,0.09,0.787,0,Other,MUC16
ABHD11,0,-2.34328967591809,0.124,0.82,0,Other,ABHD11
TATDN1,0,-2.28288212487539,0.184,0.879,0,Other,TATDN1
BEX3,0,-2.02477883255427,0.246,0.941,0,Other,BEX3
MUC1,0,-2.65311477934065,0.119,0.813,0,Other,MUC1
DMKN,0,-2.32036828673598,0.145,0.839,0,Other,DMKN
AP1M2,0,-3.0031487548012,0.075,0.768,0,Other,AP1M2
CXADR,0,-2.53457129399438,0.095,0.787,0,Other,CXADR
TSTA3,0,-1.84416605769203,0.197,0.889,0,Other,TSTA3
FAM213A,0,-2.29661918916599,0.111,0.8,0,Other,FAM213A
TSTD1,0,-1.64496557628677,0.254,0.942,0,Other,TSTD1
NUDT14,0,-2.03649185575293,0.15,0.838,0,Other,NUDT14
SPINT1,0,-2.33850385343512,0.113,0.798,0,Other,SPINT1
SLPI,0,-2.4690679752769,0.275,0.959,0,Other,SLPI
UQCC3,0,-1.82218078828036,0.179,0.862,0,Other,UQCC3
CRABP2,0,-2.34425523197354,0.175,0.856,0,Other,CRABP2
PDLIM1,0,-1.89242481782235,0.199,0.88,0,Other,PDLIM1
KLK6,0,-2.65945172029646,0.088,0.769,0,Other,KLK6
DUSP23,0,-1.59041745964953,0.236,0.916,0,Other,DUSP23
SLC25A39,0,-1.68275292264741,0.255,0.935,0,Other,SLC25A39
KLK7,0,-2.42866247352097,0.093,0.772,0,Other,KLK7
LSM4,0,-1.61615893979061,0.27,0.945,0,Other,LSM4
PNKD,0,-1.6517099909287,0.221,0.895,0,Other,PNKD
ECHS1,0,-1.72754603357687,0.224,0.897,0,Other,ECHS1
PTRHD1,0,-1.64921504576452,0.251,0.923,0,Other,PTRHD1
MRPL11,0,-1.47560140522938,0.239,0.909,0,Other,MRPL11
C8orf82,0,-2.14299799865519,0.151,0.821,0,Other,C8orf82
EHF,0,-2.60815352797823,0.095,0.764,0,Other,EHF
NAA38,0,-1.61968557504593,0.26,0.929,0,Other,NAA38
KRTCAP3,0,-2.74477086113447,0.079,0.747,0,Other,KRTCAP3
MRPS16,0,-1.41917800696699,0.238,0.902,0,Other,MRPS16
NDUFV1,0,-1.54394102697693,0.236,0.9,0,Other,NDUFV1
LCN2,0,-2.31314532420027,0.119,0.782,0,Other,LCN2
KCNK15,0,-2.95023631184474,0.086,0.748,0,Other,KCNK15
HMGN3,0,-1.92210351637914,0.284,0.945,0,Other,HMGN3
MRPL3,0,-1.51192685738503,0.217,0.877,0,Other,MRPL3
S100A13,0,-2.4627702228595,0.306,0.966,0,Other,S100A13
SOX17,0,-2.50357138836523,0.086,0.743,0,Other,SOX17
KLF5,0,-1.81631428069994,0.162,0.818,0,Other,KLF5
C1orf186,0,-2.61870443689218,0.094,0.749,0,Other,C1orf186
MRPL12,0,-1.62956019531248,0.247,0.902,0,Other,MRPL12
FAM162A,0,-1.66760640290048,0.272,0.926,0,Other,FAM162A
NR2F6,0,-2.65327771053889,0.096,0.75,0,Other,NR2F6
GPAA1,0,-1.8194213642253,0.194,0.848,0,Other,GPAA1
CKB,0,-1.38158949884372,0.199,0.852,0,Other,CKB
ECI1,0,-2.06339259871526,0.136,0.789,0,Other,ECI1
NME1,0,-1.47946431126451,0.287,0.939,0,Other,NME1
RAB25,0,-2.75232101485532,0.081,0.732,0,Other,RAB25
LYRM4,0,-1.64987018340835,0.228,0.878,0,Other,LYRM4
NME4,0,-1.7844891323988,0.197,0.847,0,Other,NME4
POLR2H,0,-1.38971457739468,0.249,0.898,0,Other,POLR2H
MDK,0,-2.31309351258538,0.284,0.933,0,Other,MDK
MYL6B,0,-1.71653771506093,0.193,0.841,0,Other,MYL6B
PHB,0,-1.663408570634,0.315,0.962,0,Other,PHB
ZNF593,0,-1.31632326965553,0.256,0.902,0,Other,ZNF593
DPY30,0,-1.21242028010442,0.257,0.902,0,Other,DPY30
BOLA3,0,-1.6221842888921,0.179,0.824,0,Other,BOLA3
TPD52,0,-1.75820619032435,0.121,0.766,0,Other,TPD52
CTTN,0,-1.82622608905291,0.177,0.822,0,Other,CTTN
IGF2BP2,0,-2.06668692324423,0.149,0.793,0,Other,IGF2BP2
SPON1,0,-2.38140960437484,0.123,0.767,0,Other,SPON1
S100A16,0,-1.5872605775852,0.278,0.919,0,Other,S100A16
NDUFB5,0,-1.57998559594408,0.256,0.897,0,Other,NDUFB5
TMEM261,0,-1.62385866280386,0.196,0.836,0,Other,TMEM261
EFNA1,0,-2.16453355298494,0.107,0.746,0,Other,EFNA1
ZNF428,0,-1.16462828560411,0.257,0.896,0,Other,ZNF428
NECTIN2,0,-1.60122345743156,0.289,0.928,0,Other,NECTIN2
METTL5,0,-1.07995321082362,0.22,0.858,0,Other,METTL5
AHCY,0,-2.19912048724503,0.141,0.779,0,Other,AHCY
TM4SF1,0,-1.79716500190572,0.323,0.96,0,Other,TM4SF1
MRPL21,0,-1.15749099595008,0.286,0.923,0,Other,MRPL21
EBPL,0,-1.52126513294722,0.195,0.832,0,Other,EBPL
STRA13,0,-1.54786538851149,0.226,0.863,0,Other,STRA13
IGFBP2,0,-2.46816407883989,0.224,0.86,0,Other,IGFBP2
SUCLG1,0,-1.34966054132334,0.201,0.836,0,Other,SUCLG1
DNPH1,0,-1.19863183967308,0.24,0.875,0,Other,DNPH1
ARPC1A,0,-1.36690300770456,0.241,0.876,0,Other,ARPC1A
CD9,0,-2.20896511245607,0.336,0.971,0,Other,CD9
RFXANK,0,-1.59424333417526,0.159,0.794,0,Other,RFXANK
MAP3K13,0,-1.56853398913932,0.182,0.816,0,Other,MAP3K13
BCL2L1,0,-1.68122871487898,0.153,0.786,0,Other,BCL2L1
C16orf13,0,-1.13418298029864,0.3,0.932,0,Other,C16orf13
FIBP,0,-1.25449787968546,0.223,0.855,0,Other,FIBP
AK2,0,-1.39689053700154,0.207,0.837,0,Other,AK2
DNAJC19,0,-1.07913951126231,0.212,0.842,0,Other,DNAJC19
CAPNS1,0,-1.45470177005853,0.237,0.867,0,Other,CAPNS1
PTOV1,0,-1.34280456314531,0.215,0.845,0,Other,PTOV1
FKBP4,0,-1.28146521195504,0.193,0.823,0,Other,FKBP4
COX20,0,-1.21460665195498,0.265,0.894,0,Other,COX20
CD47,0,-2.03485840515469,0.333,0.962,0,Other,CD47
GGCT,0,-1.63802377013716,0.165,0.794,0,Other,GGCT
BCL7C,0,-1.32860526314654,0.231,0.86,0,Other,BCL7C
CKS1B,0,-1.96454604185661,0.176,0.804,0,Other,CKS1B
TMEM141,0,-1.9641888317085,0.178,0.806,0,Other,TMEM141
RBP1,0,-2.36947910248304,0.145,0.772,0,Other,RBP1
AGPAT2,0,-1.7491089344237,0.203,0.83,0,Other,AGPAT2
BAIAP2,0,-1.84367332080834,0.159,0.786,0,Other,BAIAP2
PMVK,0,-1.75490174859766,0.176,0.802,0,Other,PMVK
SHARPIN,0,-1.54626414153105,0.188,0.814,0,Other,SHARPIN
ROMO1,0,-1.26903137324623,0.333,0.959,0,Other,ROMO1
EBNA1BP2,0,-1.25154316929603,0.237,0.862,0,Other,EBNA1BP2
FDPS,0,-1.20354850210075,0.241,0.866,0,Other,FDPS
EPHA2,0,-2.58808260966267,0.095,0.719,0,Other,EPHA2
S100A2,0,-2.15110323474401,0.143,0.767,0,Other,S100A2
ARL2,0,-1.41467558026459,0.214,0.838,0,Other,ARL2
PRSS8,0,-2.34504691931633,0.086,0.71,0,Other,PRSS8
TIMM50,0,-1.35127231625823,0.198,0.822,0,Other,TIMM50
TM7SF2,0,-2.84365263623751,0.073,0.696,0,Other,TM7SF2
FAM60A,0,-1.3379742067669,0.198,0.821,0,Other,FAM60A
MRPS26,0,-1.20140392785072,0.198,0.821,0,Other,MRPS26
SYNGR2,0,-1.15560385377201,0.309,0.931,0,Other,SYNGR2
MRPL24,0,-1.67820477863941,0.163,0.785,0,Other,MRPL24
ATP5G1,0,-1.4709093828269,0.333,0.955,0,Other,ATP5G1
MRPS25,0,-1.70409741104201,0.141,0.762,0,Other,MRPS25
ITGB8,0,-1.51693303487131,0.141,0.762,0,Other,ITGB8
CYHR1,0,-2.19712316258565,0.138,0.759,0,Other,CYHR1
LGALS3BP,0,-1.24296585592991,0.301,0.921,0,Other,LGALS3BP
MFGE8,0,-1.86423925137871,0.218,0.838,0,Other,MFGE8
LLGL2,0,-2.58274076331701,0.081,0.701,0,Other,LLGL2
POLR2I,0,-1.1465787757767,0.336,0.956,0,Other,POLR2I
MGST2,0,-1.97096975734006,0.14,0.759,0,Other,MGST2
SDHC,0,-1.06532263126853,0.288,0.906,0,Other,SDHC
PDCD6,0,-1.0525103643,0.316,0.934,0,Other,PDCD6
NDUFS4,0,-1.19473299672804,0.301,0.919,0,Other,NDUFS4
ZCRB1,0,-0.93537836548263,0.303,0.921,0,Other,ZCRB1
TECR,0,-1.01968985253008,0.283,0.901,0,Other,TECR
COA4,0,-1.59452427442369,0.236,0.854,0,Other,COA4
SFN,0,-2.46827639954059,0.092,0.709,0,Other,SFN
LAMTOR2,0,-1.25363449157339,0.311,0.928,0,Other,LAMTOR2
TMEM14C,0,-1.4205232730234,0.331,0.948,0,Other,TMEM14C
DDAH2,0,-1.3829250944774,0.305,0.922,0,Other,DDAH2
HSF1,0,-1.26340039068352,0.266,0.883,0,Other,HSF1
CD151,0,-1.32019300072979,0.274,0.891,0,Other,CD151
FXYD3,0,-2.32113335820349,0.092,0.709,0,Other,FXYD3
LSM2,0,-1.08916989845215,0.254,0.87,0,Other,LSM2
QPRT,0,-2.63941810714457,0.117,0.733,0,Other,QPRT
