"",scissor_markers,scAB_markers,scPAS_markers,scPP_markers
1,CTSB,EPCAM,S100A16,S100A16
2,PLAUR,CLDN3,S100A13,CYR61
3,NPC2,MAL2,RND3,S100A13
4,IFITM3,BCAM,MDK,TM4SF1
5,CST3,C19orf33,LAPTM5,CTGF
6,GRN,CLDN7,TM4SF1,PLK2
7,RAB13,CLDN4,SRGN,KRT8
8,GPX1,ELF3,TNFRSF12A,KRT19
9,IER3,MSLN,EMP1,SRGN
10,TPM4,DSP,CNN3,MDK
11,CREG1,CD24,PLK2,SOX4
12,PSAP,ASS1,SOX4,RND3
13,BRI3,TACSTD2,LGALS3BP,KRT18
14,CSTB,KRT7,CALD1,DSP
15,ATOX1,KRT19,MFGE8,PDLIM1
16,SOD2,FOLR1,PHLDA2,TNFRSF12A
17,IFI6,LAPTM4B,BEX3,C19orf33
18,ICAM1,SLC39A4,TSC22D1,CRIP2
19,ETS2,GIPC1,IGFBP2,CLDN3
20,IFI27,SMIM22,CXCR4,ID4
