"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A16,0,-4.12046254054896,0.094,0.902,0
CYR61,0,-5.20304785826281,0.058,0.849,0
S100A13,0,-4.57169094649006,0.148,0.928,0
TM4SF1,0,-3.60235916287559,0.16,0.938,0
CTGF,0,-7.11572011222744,0.033,0.809,0
PLK2,0,-4.12485910583087,0.066,0.828,0
KRT8,0,-3.84687270706462,0.14,0.901,0
KRT19,0,-4.04905336741596,0.108,0.867,0
SRGN,0,4.64596601421316,0.895,0.141,0
MDK,0,-2.86380704904405,0.14,0.886,0
SOX4,0,-3.82917964491688,0.136,0.881,0
RND3,0,-3.94422264592816,0.068,0.812,0
KRT18,0,-3.97234426911766,0.148,0.892,0
DSP,0,-4.74036417838563,0.056,0.795,0
PDLIM1,0,-3.8791501194371,0.076,0.813,0
TNFRSF12A,0,-3.16378517114081,0.183,0.919,0
C19orf33,0,-4.21727965120261,0.081,0.811,0
CRIP2,0,-4.31037108461165,0.056,0.783,0
CLDN3,0,-4.28670396604559,0.075,0.8,0
ID4,0,-5.68631901220184,0.029,0.752,0
MFGE8,0,-4.79544020785049,0.072,0.793,0
PERP,0,-3.87261875135718,0.143,0.864,0
EPCAM,0,-3.73378487831997,0.086,0.806,0
PHLDA2,0,-3.46474385521627,0.113,0.833,0
EMP1,0,-3.35018141772777,0.167,0.879,0
CLDN4,0,-4.72713734739787,0.105,0.815,0
ELF3,0,-3.59444818327778,0.076,0.783,0
TACSTD2,0,-4.0282842632873,0.113,0.816,0
LAPTM5,0,4.71424728400091,0.79,0.094,0
CD24,0,-4.21457729215286,0.138,0.822,0
GADD45A,0,-2.76029815832036,0.274,0.94,0
SLPI,0,-4.42718209841383,0.195,0.86,0
ARHGDIB,0,4.4937142219597,0.812,0.261,0
MAFF,1.11253692925361e-308,-2.69675711339142,0.168,0.892,1.11253692944887e-308
CRYAB,1.11253692925482e-308,-6.18863214400347,0.044,0.736,1.112536947789e-308
ARHGAP29,1.11253693279755e-308,-4.27604775502663,0.044,0.747,1.11259080075001e-308
PTPRC,1.11300295615398e-308,5.84984458044394,0.611,0.018,1.41681498252125e-307
IGFBP2,1.1131520197075e-308,-3.71884424637618,0.117,0.799,1.86999799795464e-307
KRT7,1.11411067722298e-308,-3.60032986999123,0.108,0.801,4.78450857649381e-307
S100A1,1.11512516383903e-308,-5.38712316154685,0.061,0.731,7.86875078662061e-307
CLU,1.14796017553429e-308,-4.32763225228348,0.101,0.799,1.07693753342545e-305
MAL2,1.20103005040023e-308,-3.97407030087331,0.073,0.763,2.69036786909993e-305
MSLN,1.04378179927155e-305,-3.74681238449718,0.065,0.754,1.58665271307268e-301
GMFG,2.11283435212052e-304,5.52227200384,0.618,0.032,3.2117194986584e-300
GPRC5A,9.41056036197215e-304,-4.5586152697768,0.045,0.722,1.43049928062339e-299
EHF,1.10311486811576e-302,-4.6251463495068,0.039,0.713,1.67684491102277e-298
LAPTM4B,1.70068938816233e-301,-2.82244253821,0.124,0.829,2.58521793894555e-297
YBX3,7.91429456539411e-301,-2.07062272059964,0.292,0.952,1.20305191688556e-296
CITED4,4.57565615397334e-300,-3.63416044946475,0.066,0.751,6.95545491965487e-296
