gene,logFC,logCPM,F,PValue,FDR
EPB41L3,2.10521916190213,4.36774562868304,66.9151828258608,1.02005024623298e-09,1.61647362520541e-05
IFFO2,1.29714342120598,2.8417751862778,57.7422214661802,5.56072588807196e-09,4.40604115741381e-05
AJUBA,1.52725821265309,1.75895164975762,51.7584428401722,1.86973123226552e-08,9.87654361257054e-05
PHYKPL,0.75219675816235,4.93813017082688,49.6024628320184,2.8998136560221e-08,0.000107348835750085
RUNX1,3.11152311941144,3.63750005264335,48.6040774312977,3.6568895961937e-08,0.000107348835750085
CDKN1A,4.14257704874207,4.64935008114736,48.1166778193736,4.06444762100403e-08,0.000107348835750085
TNC,4.14927964577033,5.31162116057266,46.0772608391665,6.35578256150869e-08,0.000143885837503183
THBS1,3.53360558305999,4.48862244052215,44.3890528687967,9.30775413943104e-08,0.000174409179234166
FLNB,1.13374141251483,6.35235856177342,44.0873699503159,9.90523514297657e-08,0.000174409179234166
GALNT6,2.73078203194595,0.126174997514428,41.372388246063,1.77154964711678e-07,0.000255801864668228
ACTN1,2.03507336478968,5.94889333925424,41.5606372631078,1.79224649080011e-07,0.000255801864668228
DEK,-0.901154025887921,6.37661189769076,41.1113302806136,1.97778013026124e-07,0.000255801864668228
SLC35F2,2.16285003408554,1.20472662472157,40.9552237969717,2.09845664206914e-07,0.000255801864668228
CYFIP1,0.70431532601384,5.45902647161738,40.0580567936963,2.54042770955676e-07,0.000287558270809614
FP565260.3,1.27434472147346,1.69528927688451,39.4717016956546,2.95876993843282e-07,0.000312584181428966
TNFRSF10B,1.19079438230077,4.29893506127561,38.7944948444487,3.49314906778062e-07,0.000345974582981997
COL12A1,2.03585581561625,5.93512848493888,38.2047800383953,4.0403302400625e-07,0.000376630078319238
HGF,2.49468374512701,1.87824007656907,37.7602717465055,4.55766561407534e-07,0.000397849179825146
TPM4,1.65916766283613,6.857945579659,37.5380291228532,4.77007283187845e-07,0.000397849179825146
NAB2,1.39821950002117,3.45394724703203,37.1555222829846,5.25288438734396e-07,0.000407518091118398
ICOSLG,1.34713925466182,2.50324345465423,37.0509247673754,5.40031546253951e-07,0.000407518091118398
LOXL2,2.25512209618961,3.80070483214223,36.372433159417,6.40604002938239e-07,0.000424683204621312
BTBD19,1.6870176576764,1.55529772807126,36.2778853961272,6.60515120024771e-07,0.000424683204621312
FGF18,2.80758723600443,0.602712345323373,36.1344960920898,6.71773143489092e-07,0.000424683204621312
DCLK1,2.92748861066396,4.31441238235607,36.1386705084145,6.80023740547815e-07,0.000424683204621312
CMKLR1,2.03138947234457,3.61827045568455,35.8438809049343,7.33183785900621e-07,0.000424683204621312
MYOF,2.30401601255929,5.16634274552007,35.8382872236812,7.33771565729789e-07,0.000424683204621312
SERPINI1,1.06174680807394,2.51966580334256,35.6149088078186,7.75177511696502e-07,0.000424683204621312
