gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
FABP4,-6.18060019148988,1.5938871321432,-35.0828167896519,4.93049350322159e-144,5.70901842738028e-140,318.480976857461
STX11,-3.32658878495444,3.49513366121268,-31.9740543419223,7.1148463018167e-129,4.11914026643678e-125,283.785459574855
RTKN2,-4.54304150337334,4.06490756517277,-30.2314842278706,3.49068050321308e-120,1.34728631822347e-116,263.829525993344
GPD1,-4.70591834785138,1.82898123366009,-30.0746388171815,2.14433505855886e-119,6.20731391076325e-116,262.003035446216
NCKAP5,-4.50450403851196,2.00078364581729,-29.0813536714909,2.2165413305448e-114,5.13306641327564e-111,250.504809661662
OTUD1,-2.11343832740897,4.41660692267569,-28.6755903989791,2.53658095498817e-112,4.89517847963467e-109,245.809591482468
MCEMP1,-5.03978291727594,2.07077045696705,-28.2274812561508,4.83056890551286e-110,7.99045105099049e-107,240.555984446377
LIN7A,-3.20154534328258,1.80793777320615,-27.9955279284299,7.3542514293843e-109,1.06443596626051e-105,237.79768975508
TNNC1,-4.31755876504206,2.44305760464138,-27.122984141868,2.13215872594244e-104,2.7431406541875e-101,227.608262355254
ADRB2,-3.5644236066556,2.35928732052464,-27.0944682461619,2.98536382030528e-104,3.45675276753148e-101,227.266433297793
ARHGAP6,-2.64221146362128,2.18392017977772,-27.0006482450921,9.03813972831272e-104,9.51387453764846e-101,226.128373238463
HBA2,-4.76545039385757,2.30222491766802,-25.6658499517303,6.62980565176239e-97,6.39720997014639e-94,210.414478170856
LIMS2,-2.97170382049678,4.18486088881392,-25.6430185160707,8.6941049232327e-97,7.74377237739319e-94,210.147767056961
CD101,-2.7635758990866,1.82732480973141,-25.6356038635313,9.49419800348806e-97,7.85237990588488e-94,210.013758698515
S1PR1,-2.97200418314078,4.7214287842336,-25.5079926384456,4.32129750948817e-96,3.33575359082424e-93,208.549134146889
CD5L,-4.87339359705411,-2.97480663625096,-25.3881687375815,1.79401655129279e-95,1.2983073529637e-92,206.571644133523
CCDC141,-3.95378505182289,0.017093137825176,-25.2630655837194,7.93394658989621e-95,5.40395103320048e-92,205.527658397799
SLC19A3,-3.63242742936494,1.61361263039676,-24.8816665587606,7.39774137912375e-93,4.55234719006308e-90,201.112349230817
ACVRL1,-2.61648815661671,5.21917269548179,-24.8808499605599,7.4699539348129e-93,4.55234719006308e-90,201.116653045609
STARD13,-2.16589018098689,3.92923433446846,-24.8161453294917,1.61295215988713e-92,9.33818652966653e-90,200.349844205831
SH2D3C,-2.34323223114009,4.324865103795,-24.4864666183254,8.15677015605193e-91,4.49748769699644e-88,196.437024170875
ARHGEF26,-2.96499696945812,4.04000693605214,-24.2076445941808,2.25509824442228e-89,1.18689920782571e-86,193.128124587081
GIMAP8,-2.63818810433313,4.13760950981195,-24.0984658470482,8.27522516557226e-89,4.16603618226788e-86,191.831668088308
NLRC4,-2.28567900902531,2.19195774002683,-24.0351679809962,1.75850284237084e-88,8.48404350492166e-86,191.065585066556
SIRPB1,-3.17224482784455,2.30872074401725,-23.9981356307827,2.73320630760027e-88,1.26591183342814e-85,190.643606761355
GRK5,-2.69966408711164,4.53646638060869,-23.6475198837307,1.77893612640606e-86,7.92242361832916e-84,186.476554643968
PRKCE,-1.92226135404907,4.31973510368665,-23.5358108227482,6.72914835270172e-86,2.83617110953509e-83,185.151380197549
FEZ1,-2.27850349612595,2.94023216395822,-23.5342139885995,6.85834623602925e-86,2.83617110953509e-83,185.139141185783
WWC2,-2.5081620437353,5.09502907443262,-23.4858523190189,1.21999610265447e-85,4.87114995608143e-83,184.557178001549
FGD5,-2.40608483837078,4.41678625252829,-23.384622311264,4.07314877976915e-85,1.5720996573649e-82,183.354696889034
RGCC,-3.00079057625802,5.64929307608989,-23.1671014690262,5.4307144261402e-84,2.02845943033153e-81,180.779265543769
LMO2,-2.02534446023039,3.67443050225539,-23.06788182563,1.7697301411103e-83,6.4036579074738e-81,179.602180373396
FGFBP2,-3.90445979323569,-1.35725438942153,-22.8422094785582,2.59771414479304e-82,9.11482790380565e-80,176.712347554843
GPA33,-4.14427989676333,0.178831478929257,-22.4220809824813,3.84920559119382e-80,1.3108809276598e-77,171.924920637877
TGFBR3,-3.00608894757423,3.91707725411054,-22.3537527965257,8.67419600499488e-80,2.86967187262388e-77,171.125534787196
PHACTR1,-2.61476691718358,2.57856597993802,-22.2350472644163,3.55708528093287e-79,1.14409695744227e-76,169.735522045062
FHL1,-4.00112105630572,4.96986615312561,-22.2265866687333,3.93339763800089e-79,1.23094084460574e-76,169.628807346379
ECSCR,-2.32262896670061,-0.332319647055212,-22.1214095804311,1.37278229192992e-78,4.18301214690961e-76,168.17735266106
PECAM1,-2.41956358809834,7.74360434305764,-22.1078531965008,1.61270739114937e-78,4.7880868928509e-76,168.230719871919
PDLIM2,-2.1171332815733,4.19330898049682,-22.0728293219231,2.44496548700838e-78,7.0775638435175e-76,167.796725364882
MIR3945HG,-3.69819665030034,-2.17309254383382,-21.9772615136442,7.60820687267036e-78,2.14866896045488e-75,166.381355454786
DPEP2,-2.51031760823458,2.00975488294503,-21.9667612433089,8.61868343120908e-78,2.376088939285e-75,166.559891491423
GIMAP1,-2.20375753763142,2.68246064552568,-21.7856796156203,7.39797337527326e-77,1.99211938865788e-74,164.420163000314
CALCRL,-2.92511436154737,5.14234848499853,-21.7407855614556,1.26035558739446e-76,3.31674030600919e-74,163.868763892559
FPR2,-3.41701718826205,1.15731588939002,-21.304505754914,2.2221054388043e-74,5.71772419464777e-72,158.738804724335
ARC,-3.72197870358279,-0.146041948977336,-21.2318037047332,5.25585023304441e-74,1.32298890974829e-71,157.838411688148
EPAS1,-2.72650948952868,8.78485191309597,-21.0994670506011,2.51674576190607e-73,6.20029769725754e-71,156.323448804173
SNX22,-2.5239599051144,1.91093545819735,-21.082839251067,3.06387135829701e-73,7.39095134535856e-71,156.127885209803
CD36,-3.71263377349282,4.41722127971168,-20.6860812412877,3.32904530693466e-71,7.86673787938703e-69,151.428131799207
TMEM88,-2.2886304558995,1.09062283084378,-20.633820140448,6.16789801678325e-71,1.42836182272666e-68,150.822977784827
PIP5K1B,-2.8752550353646,2.79966209978863,-20.5862463079257,1.08107036962288e-70,2.4544536882085e-68,150.269015307066
RETN,-4.15828774158939,0.0185814419564532,-20.5483732937438,1.6897348865305e-70,3.76258466368013e-68,149.83646475993
ADPRH,-1.71486395864743,4.10361541476406,-20.5354843588864,1.9670579627303e-70,4.29746493404795e-68,149.657297340888
IQSEC3,-3.01965228727862,0.548343567916441,-20.4830838282361,3.64818553719737e-70,7.82265561763118e-68,149.057472476893
CAVIN2,-3.77961088094426,5.10721547768014,-20.4278009942983,6.99818939272156e-70,1.4733097268786e-67,148.401552273738
AGRP,-3.63980037788907,-1.61192595661978,-20.2935251672001,3.40149351817512e-69,7.03319525838388e-67,146.711699484398
GOLM1,2.42310050320717,7.88125200729363,20.2695738933138,4.50904137076648e-69,9.15968246177282e-67,146.530411640613
CLIC5,-4.56455632255733,4.7286907524299,-20.2136538073061,8.70570842964076e-69,1.73798961908294e-66,145.896718693811
MME,-3.50570411336708,3.41041029801423,-20.1501626649257,1.83678394708459e-68,3.60476632598178e-66,145.135464995795
VIPR1,-3.37178643516225,3.66162018810662,-20.1271079846259,2.40857388040927e-68,4.64814616020982e-66,144.862563038053
GKN2,-5.5227232798095,0.817426479720197,-20.1116596612202,2.88813026704416e-68,5.48223940362367e-66,144.713405953552
ADGRE1,-3.19515789314841,0.759598674773299,-20.0961790571577,3.46440436410333e-68,6.47005453741168e-66,144.54271346376
P2RY1,-2.0050204132169,2.66246313559458,-20.0923057664422,3.62573462150219e-68,6.66387002894823e-66,144.494709968274
GIMAP6,-2.28033038343144,4.57804919735953,-20.0845970804855,3.96949856174416e-68,7.18169122600557e-66,144.356083869475
ABCG2,-2.26405582933485,2.24504075657665,-20.0557640281054,5.57002576106356e-68,9.92235819805461e-66,144.071746570061
SPOCK2,-3.54790980774483,6.25318224219603,-20.0200735975963,8.47072832511156e-68,1.48609944358283e-65,143.637090993354
EMP2,-2.92518276308452,7.83443867193372,-19.9684050912515,1.55380373894591e-67,2.68529753630666e-65,143.046858827118
SEMA5A,-3.02333225838408,4.28546211567802,-19.9476495524228,1.98245642046246e-67,3.37571513125512e-65,142.756840687626
GLDN,-2.98305710657361,2.35304891491383,-19.9456603120097,2.02928672802656e-67,3.4053784092492e-65,142.77022156054
RASGRP4,-2.2107593815215,1.59268415481129,-19.9160394177392,2.87282966382401e-67,4.75207066820261e-65,142.439965073202
SESN1,-1.76665394361478,4.25097293001352,-19.882282332016,4.26884380593389e-67,6.96182287731106e-65,141.996590147816
IL3RA,-1.77181915367441,3.58103992617296,-19.8647669098873,5.24246750726096e-67,8.4309071203576e-65,141.810620361274
CPED1,-2.45229104426355,3.3169567689568,-19.8328274668197,7.62436545849124e-67,1.20934969375165e-64,141.432755194206
GPM6B,-2.3508569433917,3.11971602631526,-19.824624377337,8.39411238843604e-67,1.31345172088785e-64,141.344542873303
COX7A1,-1.9991868526407,2.35990292376506,-19.71859100683,2.90826562985663e-66,4.48997436374798e-64,140.135696731673
SPRYD7,-1.32308708046868,4.00584959515696,-19.5770000803601,1.52562343322682e-65,2.32436759649124e-63,138.448098864374
IL1RL1,-3.78069047979675,1.57453042259841,-19.557709714024,1.91179131770695e-65,2.87488722957516e-63,138.24968826021
AFF3,-3.315140566879,2.40728440373186,-19.4991856468447,3.78987953175154e-65,5.62602757668604e-63,137.553494429812
AGER,-6.59750809369724,5.31136117346669,-19.4509871790049,6.65655394956315e-65,9.75648584582174e-63,137.021191500357
SASH1,-1.94169536729001,5.20185485877048,-19.4325750242859,8.25404409796975e-65,1.1946697076299e-62,136.73894504848
INKA2,-1.78974212179749,2.83007359282589,-19.4248660180332,9.03180811434502e-65,1.29110254513581e-62,136.707204133164
ALDH18A1,1.55296679130988,6.71238524219099,19.3616394494529,1.88977345899321e-64,2.66849840020516e-62,135.929654726069
FXYD6,-2.04834252062764,2.54873459589107,-19.3264088524168,2.85090024082218e-64,3.9771775769253e-62,135.565887066862
SYNM,-1.91982306466429,3.45446401776897,-19.312270895682,3.36220722341482e-64,4.58272237458946e-62,135.372067341658
PRAM1,-2.37335546983829,2.41863453953078,-19.3122221602577,3.36411954262116e-64,4.58272237458946e-62,135.397843524436
HBEGF,-2.71043704207345,4.662582000577,-19.2684226043729,5.60729979123645e-64,7.54964235845661e-62,134.833855721016
