full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.275126170912182,0.302941551362616,0.908182352914872,Positive vs Rest,LP_SGL,neg,-0.0205399511546839,9482133,1.60875431584004e-31,-0.023892077709673,-0.0171739563953972,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE109887,binary,Positive vs Rest,neg_ssGSEA,neg,30.7935102749948,***,AD
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.294325113311431,0.311145534128086,0.945940343113744,Positive vs Rest,scAB,neg,-0.00847382162366283,14083831,1.38851989855626e-06,-0.0119760746424832,-0.00502532635768954,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE109887,binary,Positive vs Rest,neg_ssGSEA,neg,5.85744789209575,***,AD
neg | scissor | Positive vs Rest,neg_marker_score,scissor_Positive,0.289001605989825,0.299527934997799,0.964856937273474,Positive vs Rest,scissor,neg,-0.00689582234625252,7679217.5,0.00079218148216402,-0.0110010498747196,-0.00284953190153416,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE109887,binary,Positive vs Rest,neg_ssGSEA,neg,3.10117531377214,***,AD
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.284199611484554,0.298546772774851,0.951943338201424,Positive vs Rest,scPAS,neg,-0.0063123508439242,1023436.5,0.234413442609412,-0.0185723730633003,0.00393229787743402,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE109887,binary,Positive vs Rest,neg_ssGSEA,neg,0.630017487006792,NS,AD
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.258013321097647,0.300662678802555,0.858148813564865,Positive vs Rest,scPP,neg,-0.0303873667920042,3346167,2.26554188566807e-19,-0.0376515071640116,-0.0234028714363566,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE109887,binary,Positive vs Rest,neg_ssGSEA,neg,18.644827904111,***,AD
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.303094538843108,0.314367334768541,0.964141325517384,Positive vs Rest,LP_SGL,pos,-0.00638407244667978,10774365.5,0.00078179907574075,-0.0101097971505323,-0.00266802315881661,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE109887,binary,Positive vs Rest,pos_ssGSEA,pos,3.10690484733551,***,AD
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.314730476876912,0.305457217749952,1.03035861845161,Positive vs Rest,scAB,pos,0.00371746795911434,15332990,0.0302939651205721,0.000354467338837384,0.00711792533515339,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE109887,binary,Positive vs Rest,pos_ssGSEA,pos,1.51864387895229,*,AD
pos | scissor | Positive vs Rest,pos_marker_score,scissor_Positive,0.341566286656023,0.308865573273377,1.10587361043862,Positive vs Rest,scissor,pos,0.0196831103418235,9205986,1.7306783914119e-16,0.0149174166743883,0.0245033876532053,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE109887,binary,Positive vs Rest,pos_ssGSEA,pos,15.7617836287231,***,AD
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.273816482356834,0.313032159168595,0.874723169287408,Positive vs Rest,scPAS,pos,-0.0201904456725153,891867,8.55371913521029e-05,-0.0307906259319644,-0.0100615961419532,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE109887,binary,Positive vs Rest,pos_ssGSEA,pos,4.06784501407815,***,AD
pos | scPP | Positive vs Rest,pos_marker_score,scPP_Positive,0.430870297216414,0.305738686867345,1.40927633866421,Positive vs Rest,scPP,pos,0.090115707922874,6173957.5,1.02144251737799e-96,0.0818203395912158,0.0984455406191545,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE109887,binary,Positive vs Rest,pos_ssGSEA,pos,95.9907860686674,***,AD
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.205276457297063,0.24017323759359,0.854701628515423,Positive vs Rest,LP_SGL,neg,-0.0144024824669504,3521665.5,7.01856809665034e-09,-0.019487171983705,-0.00942268306722371,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE39420,binary,Positive vs Rest,neg_ssGSEA,neg,8.15375148205177,***,AD
