screen_method,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,dataset,tumor
scissor,,,,,,,,"",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,MYC_TARGETS_V1,2.20515337311793e-13,1.32309202387076e-12,0.943632225232838,0.429038822458986,2.52282857751836,148,"PSMB3, NME1, CDK4, RPS6, MAD2L1, PRDX3, CDC20, POLD2, DEK, HDDC2, VBP1, HDAC2, RAD23B, LDHA, MRPL9, TXNL4A, KPNA2, AIMP2, RAN, YWHAQ, RPLP0, ILF2, GLO1, CYC1, CDC45, NDUFAB1, IMPDH2, SRM, DUT, C1QBP, ERH, PABPC1, EXOSC7, PGK1, NHP2, RSL1D1, CCT5, GNL3, SNRPG, NOP16, RUVBL2, COX5A, HSPE1, RPS5, MCM2, RPS2, POLE3, MRPL23, HSPD1, SNRPA1, LSM2, CCT3, UBE2E1, PTGES3, AP3S1, PSMA4, EIF1AX, ACP1, CLNS1A, SMARCC1, COPS5, SNRPA, RANBP1, SET, TOMM70, PSMD7, SRPK1, GOT2, PSMD8, PPIA, EIF2S2, TCP1, SNRPD2, CTPS1, HNRNPA1, NOLC1, PRPS2, RRM1, EIF3D, XRCC6, SLC25A3, CCT4, PSMB2, MYC, PSMC4, GSPT1, EIF3B, VDAC3, FBL, UBE2L3, RPL6, TUFM, MCM4, APEX1, TFDP1, PHB2, TRIM28, EIF2S1, HDGF, RNPS1, VDAC1, SYNCRIP, PSMD14, SNRPD1, PRPF31, RPS3, TYMS, SRSF2, CCT7, RRP9, PRDX4, CDK2, XPOT, SRSF1, CNBP, DHX15, PSMD3, SNRPD3, TARDBP, NPM1, NCBP2, YWHAE, DDX21, CCNA2",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,MYC_TARGETS_V2,0.0310250278197793,0.0620500556395586,0.352487857583619,0.330078733208135,1.51097759496894,42,"SLC29A2, DCTPP1, CDK4, BYSL, SLC19A1, RCL1, UNG, NDUFAF4, TMEM97, AIMP2, PLK1, RABEPK, MRTO4, SRM, GNL3, SORD, NOP16, EXOSC5, HSPE1, TFB2M, IPO4, HSPD1",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,ESTROGEN_RESPONSE_EARLY,0.000165996193593856,0.000514966444044693,0.518848077743792,0.268183648270389,1.51221095681866,151,"PDZK1, KRT19, SULT2B1, SLC1A1, LAD1, CCND1, DHCR7, ANXA9, ELOVL2, CLDN7, RHOD, TTC39A, PEX11A, MSMB, SFN, P2RY2, FASN, KRT18, KRT8, DHRS2, AQP3, TSKU, TMPRSS3, AKAP1, MAPT, FRK, RAB17, FDFT1, SYNGR1, BAG1, TPD52L1, XBP1, TFF3, RET, AR, CA12, SLC39A6, ESRP2, DEPTOR, IL17RB, FKBP4, MYB, SLC24A3, CANT1, MLPH, INHBB, LRIG1, KCNK15, THSD4, PAPSS2, REEP1, ELOVL5, CELSR2, ZNF185",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,EPITHELIAL_MESENCHYMAL_TRANSITION,1.28972175983361e-15,1.54766611180034e-14,1.01754479730988,-0.649256652180799,-2.22452187954832,148,"IL32, WIPF1, SERPINE1, TNFAIP3, TGFB1, COL4A1, COL4A2, GEM, GLIPR1, EMP3, LOXL2, ACTA2, SLIT3, IGFBP3, EDIL3, VCAM1, FAS, MYLK, VIM, CDH11, ITGA5, TAGLN, THBS2, TGM2, ECM2, FAP, PDGFRB, POSTN, PLAUR, IL15, CXCL12, DAB2, LRP1, MMP2, ELN, TGFBI, BASP1, HTRA1, FBLN1, SPP1, GAS1, SPOCK1, COL8A2, PRRX1, COMP, CXCL8, THBS1, THY1, COL6A2, FBLN2, MMP14, FBN1, IGFBP4, COL11A1, MYL9, TIMP3, TPM2, SPARC, VCAN, LRRC15, DCN, MFAP5, INHBA, LAMC1, FN1, COL12A1, COL3A1, BMP1, ENO2, FSTL3, LUM, GPX7, COL6A3, COL1A2, BGN, SFRP4, COL5A1, NNMT, PCOLCE, COL1A1, MXRA5, DPYSL3, SERPINE2, LOX, TGFBR3, COL5A2, COL16A1, GADD45B, GJA1, EFEMP2, ANPEP, FZD8, SFRP1, SGCB, CALD1, FSTL1, FLNA, FBLN5, WNT5A, CAPG, ITGB1, COL7A1, CADM1, GADD45A, P3H1, ITGA2, FUCA1, PLOD3, DST, AREG",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,INFLAMMATORY_RESPONSE,8.14867525671066e-17,1.30378804107371e-15,1.05746357275086,-0.685225256151012,-2.32194629077669,124,"CD69, SELL, IL7R, LCK, RASGRP1, IL2RB, NLRP3, TNFRSF9, CD48, CCR7, TNFRSF1B, RGS1, CCL5, STAB1, LCP2, SERPINE1, IL10RA, C5AR1, GPR183, OSM, PTGER4, CCL20, OLR1, LYN, MSR1, P2RX7, SEMA4D, C3AR1, EMP3, CYBB, TLR2, IL18, PTPRE, CCRL2, IL4R, IL1B, CCL2, FPR1, ITGA5, CD14, ABCA1, NFKBIA, CSF3R, PLAUR, IL15, PTAFR, PDE4B, CXCL11, AXL, AHR, ICAM1, CD40, CXCL8, GNA15, MARCO, MMP14, CDKN1A, HBEGF, RTP4, INHBA, RGS16",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,ESTROGEN_RESPONSE_LATE,1.96727614289603e-06,7.26378883530842e-06,0.627256739718528,0.313046533448467,1.80032876529045,143,"PDZK1, KRT19, ACOX2, S100A9, IMPA2, SULT2B1, COX6C, AGR2, PERP, CCND1, TSPAN13, DHCR7, ANXA9, SCUBE2, SFN, EMP2, DCXR, DHRS2, GALE, CD9, TMPRSS3, MAPT, FRK, FDFT1, BAG1, MEST, PRLR, TPD52L1, XBP1, TFF3, LLGL2, RET, CDH1, CDC6, DLG5, PKP3, IDH2, CA12, PRKAR2B, CA2, IL17RB, FKBP4, MYB, HMGCS2, MAPK13, CDC20, SLC24A3, MDK, DNAJC12, LTF, TST, LSR",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,ANDROGEN_RESPONSE,0.424528301886792,0.520364741641337,0.0553642837725362,-0.320948144201408,-1.05190646038681,80,"MAF, PTK2B, HPGD, TNFAIP8, AKAP12, SGK1, MERTK, ELL2, ABCC4, RPS6KA3, PLPP1, CCND3, FKBP5, NDRG1, B2M, HSD17B14",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,KRAS_SIGNALING_DN,0.280126849894292,0.395473199850765,0.0760837160951725,-0.35378736427474,-1.14763624789635,68,"IFNG, SLC16A7, STAG3, RSAD2, SGK1, KRT5, MAST3, IFI44L, NR4A2, KCNMB1, TENT5C, MX1, COPZ2, TFCP2L1, SKIL, CAMK1D, PTPRJ, PDK2, CDKAL1, ZBTB16, SHOX2, SYNPO",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,UV_RESPONSE_DN,0.00192022089705618,0.00485108437151036,0.45505986738723,-0.482528419375964,-1.60860135149728,100,"FYN, CELF2, SERPINE1, SYNE1, KIT, PTPRM, NRP1, TGFBR2, AKT3, GRK5, CAV1, NR3C1, PDGFRB, DAB2, DLC1, ATP2B4, COL11A1, RASA2, DUSP1, ABCC1, LAMC1, COL3A1, COL1A2, SMAD7, MRPS31, PRDM2, NFKB1, LPAR1, PRKCE, COL1A1, PLPP3, TGFBR3, COL5A2, GJA1, FBLN5, PHF3, NEK7, EFEMP1, INPP4B, RUNX1, ATXN1, DBP, CDKN1B, SMAD3, WDR37, PMP22, MAP1B, DYRK1A, GCNT1, TFPI",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,E2F_TARGETS,0.000491795577669031,0.00131145487378408,0.477270815362862,0.254936801988517,1.44150286771931,152,"HMGB3, CCNB2, TK1, CDKN3, DIAPH3, BIRC5, CKS1B, MELK, JPT1, NME1, DEPDC1, DCTPP1, CDCA3, TRIP13, CDK4, RRM2, TUBB, CDK1, UNG, PAICS, SPC25, MAD2L1, CDC20, POLD2, DEK, ASF1A, RAD51C, HMGA1, UBE2T, MXD3, SHMT1, KPNA2, RAN, POP7, PLK1, DSCC1, RAD21, AK2, DUT, MTHFD2, RAD1, KIF22, TUBG1, MLH1, CDKN2A, RACGAP1, DCLRE1B, RFC2, CIT, MCM2, CCNE1, GINS1, CHEK1, ATAD2, PPP1R8, MYBL2, KIF2C",survival_her2_GSE162228_merged_seurat,brca_her2
scAB,APICAL_JUNCTION,0.00659029663299549,0.0143788290174447,0.407017918923954,-0.445069078946983,-1.50699313233023,121,"PTPRC, RAC2, ICAM2, FYB1, TRAF1, VWF, CD34, CD86, AKT3, MSN, CNN2, RHOF, VCAM1, CDH11, SKAP2, MMP2, TGFBI, SIRPA, PECAM1, ICAM1, THY1, GNAI2, FBN1, MYL9, VCAN, FSCN1, NEXN, MMP9, BMP1, SPEG, EVL, TSPAN4, EPB41L2, SYK, SDC3, VASP, ARHGEF6, COL16A1, ZYX",survival_her2_GSE162228_merged_seurat,brca_her2
