screen_method,dataset,tumor,pathway,leadingEdge,n_genes_leadingEdge,n_genes_matched,mean_logFC,median_logFC,sum_logFC,logFC_data
scissor,survival_her2_GSE162228_merged_seurat,brca_her2,"","",0,0,,,,
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,A subgroup of genes regulated by MYC - version 1 (v1).,"PSMB3, NME1, CDK4, RPS6, MAD2L1, PRDX3, CDC20, POLD2, DEK, HDDC2, VBP1, HDAC2, RAD23B, LDHA, MRPL9, TXNL4A, KPNA2, AIMP2, RAN, YWHAQ, RPLP0, ILF2, GLO1, CYC1, CDC45, NDUFAB1, IMPDH2, SRM, DUT, C1QBP, ERH, PABPC1, EXOSC7, PGK1, NHP2, RSL1D1, CCT5, GNL3, SNRPG, NOP16, RUVBL2, COX5A, HSPE1, RPS5, MCM2, RPS2, POLE3, MRPL23, HSPD1, SNRPA1, LSM2, CCT3, UBE2E1, PTGES3, AP3S1, PSMA4, EIF1AX, ACP1, CLNS1A, SMARCC1, COPS5, SNRPA, RANBP1, SET, TOMM70, PSMD7, SRPK1, GOT2, PSMD8, PPIA, EIF2S2, TCP1, SNRPD2, CTPS1, HNRNPA1, NOLC1, PRPS2, RRM1, EIF3D, XRCC6, SLC25A3, CCT4, PSMB2, MYC, PSMC4, GSPT1, EIF3B, VDAC3, FBL, UBE2L3, RPL6, TUFM, MCM4, APEX1, TFDP1, PHB2, TRIM28, EIF2S1, HDGF, RNPS1, VDAC1, SYNCRIP, PSMD14, SNRPD1, PRPF31, RPS3, TYMS, SRSF2, CCT7, RRP9, PRDX4, CDK2, XPOT, SRSF1, CNBP, DHX15, PSMD3, SNRPD3, TARDBP, NPM1, NCBP2, YWHAE, DDX21, CCNA2",124,124,0.277083062624072,0.251705577582341,34.358299765385,0.77203826147531|0.61136696986895|0.555496988946987|0.495979470300234|0.472135458764701|0.459747988085938|0.456882577728806|0.45576049826784|0.454476004138473|0.450932833097694|0.431324612335063|0.42933169777301|0.420467474878925|0.413455491612723|0.412030633955369|0.409196562416334|0.405491270457017|0.405480645704823|0.40309920759164|0.402033555336877|0.395333753391944|0.390331009111601|0.384916704577829|0.374268812318717|0.372278111329769|0.36864575341604|0.366965718382784|0.364468631117192|0.360860783791874|0.356396964602679|0.355783723649693|0.354325837140519|0.349913797480739|0.338121407042426|0.333120650256854|0.330269779808712|0.328372351827828|0.322161606109951|0.314697389139469|0.310837932511006|0.309882593615909|0.30784249027719|0.30777790125796|0.304477294821933|0.302072489054284|0.296841869577432|0.294517921624076|0.286873426819424|0.280178227611542|0.274840764858897|0.273330341247557|0.270706880968667|0.269300678376643|0.265551126054835|0.264714962494182|0.263071675876144|0.262726557055129|0.261502606064163|0.260683818578308|0.254164097811458|0.253022653752077|0.252236379553702|0.25117477561098|0.250974671779287|0.247463977075326|0.247347137060961|0.245750044761837|0.234457164178195|0.226110247061057|0.226067306697059|0.224959859077098|0.224371185303997|0.224345919403214|0.222659513398746|0.217866808515146|0.215269465278668|0.214806964125601|0.214452115346893|0.213676065896185|0.209036109068309|0.208970760389818|0.206850256908666|0.204581849458692|0.202777046724431|0.201723236125457|0.201167744093681|0.200816664209237|0.199923858228082|0.193184375325872|0.192294785772792|0.191920317884501|0.189554411513971|0.189452986046691|0.187196227975082|0.186338381523613|0.185490405777287|0.185355081253597|0.184222547132971|0.184058689051359|0.183674738482842|0.182842439242617|0.182529031784329|0.182311792393928|0.181848109869193|0.180987425169414|0.17329064375041|0.172838382933411|0.168452746797068|0.167302589130083|0.162789817028214|0.162511211467341|0.161942810238243|0.161765894300676|0.157994757857894|0.157511674510695|0.156198000199346|0.154535068099191|0.147592573378481|0.146240620611925|0.144790748856559|0.142911781160789|0.140708414603298|0.136576529917207|0.13636733147162
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,A subgroup of genes regulated by MYC - version 2 (v2).,"SLC29A2, DCTPP1, CDK4, BYSL, SLC19A1, RCL1, UNG, NDUFAF4, TMEM97, AIMP2, PLK1, RABEPK, MRTO4, SRM, GNL3, SORD, NOP16, EXOSC5, HSPE1, TFB2M, IPO4, HSPD1",22,22,0.412840753587387,0.393043346899878,9.08249657892251,0.732776310401957|0.575320992905418|0.555496988946987|0.5317302621857|0.490938964206105|0.486948006009324|0.482222861550872|0.460465651608466|0.429031749553846|0.405480645704823|0.399415104312427|0.386671589487329|0.36902394140793|0.364468631117192|0.322161606109951|0.311507759120107|0.310837932511006|0.309631514965596|0.30777790125796|0.287472284411478|0.282937653536496|0.280178227611542
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes defining early response to estrogen.,"PDZK1, KRT19, SULT2B1, SLC1A1, LAD1, CCND1, DHCR7, ANXA9, ELOVL2, CLDN7, RHOD, TTC39A, PEX11A, MSMB, SFN, P2RY2, FASN, KRT18, KRT8, DHRS2, AQP3, TSKU, TMPRSS3, AKAP1, MAPT, FRK, RAB17, FDFT1, SYNGR1, BAG1, TPD52L1, XBP1, TFF3, RET, AR, CA12, SLC39A6, ESRP2, DEPTOR, IL17RB, FKBP4, MYB, SLC24A3, CANT1, MLPH, INHBB, LRIG1, KCNK15, THSD4, PAPSS2, REEP1, ELOVL5, CELSR2, ZNF185",54,54,0.577172419748849,0.575012675000492,31.1673106664379,0.959187062356561|0.951396350228519|0.818026747855145|0.749672367589452|0.7318654402794|0.729944935806034|0.715057740118636|0.701600635391519|0.693903041249716|0.686737400323163|0.683855851869813|0.680049366052743|0.677141273681333|0.676422887260852|0.670177562994117|0.656804121075674|0.654437906630936|0.641979209472487|0.638458731160143|0.627064446073904|0.623709651759146|0.603171006250246|0.585439331707955|0.581507317273528|0.578511245276741|0.575477960708607|0.575279000110712|0.574746349890272|0.564926180504543|0.563124232369228|0.540137678612938|0.538970751777851|0.528297611482697|0.526549896834586|0.501755484108628|0.489624700058343|0.485804889789903|0.479596877453318|0.468266125708672|0.463578874736754|0.463131160129479|0.458464653230474|0.455008259440732|0.44631893953678|0.443383011700412|0.442863354368498|0.428750775413764|0.416618561866902|0.412705537399027|0.409734341591703|0.406056329027969|0.402479728622476|0.39667871655167|0.392859053673154
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.","IL32, WIPF1, SERPINE1, TNFAIP3, TGFB1, COL4A1, COL4A2, GEM, GLIPR1, EMP3, LOXL2, ACTA2, SLIT3, IGFBP3, EDIL3, VCAM1, FAS, MYLK, VIM, CDH11, ITGA5, TAGLN, THBS2, TGM2, ECM2, FAP, PDGFRB, POSTN, PLAUR, IL15, CXCL12, DAB2, LRP1, MMP2, ELN, TGFBI, BASP1, HTRA1, FBLN1, SPP1, GAS1, SPOCK1, COL8A2, PRRX1, COMP, CXCL8, THBS1, THY1, COL6A2, FBLN2, MMP14, FBN1, IGFBP4, COL11A1, MYL9, TIMP3, TPM2, SPARC, VCAN, LRRC15, DCN, MFAP5, INHBA, LAMC1, FN1, COL12A1, COL3A1, BMP1, ENO2, FSTL3, LUM, GPX7, COL6A3, COL1A2, BGN, SFRP4, COL5A1, NNMT, PCOLCE, COL1A1, MXRA5, DPYSL3, SERPINE2, LOX, TGFBR3, COL5A2, COL16A1, GADD45B, GJA1, EFEMP2, ANPEP, FZD8, SFRP1, SGCB, CALD1, FSTL1, FLNA, FBLN5, WNT5A, CAPG, ITGB1, COL7A1, CADM1, GADD45A, P3H1, ITGA2, FUCA1, PLOD3, DST, AREG",110,110,-0.846575666243014,-0.78884720358043,-93.1233232867316,-2.19524923450621|-2.03089867591929|-1.89976670418264|-1.86852847153016|-1.60122959146281|-1.536452226067|-1.46131699990036|-1.39562927284715|-1.38821352624672|-1.37758199906759|-1.31678650679479|-1.31505036703723|-1.30695215121128|-1.22995355758186|-1.18282409344269|-1.15495576411483|-1.11631373346912|-1.11020463824891|-1.09123451925775|-1.08211189899481|-1.07287112903437|-1.07228508041006|-1.0682944258801|-1.05228214713522|-1.04944066540705|-1.04465624346009|-1.03680284879924|-1.02842234956345|-1.00347351388908|-0.975073970474958|-0.961174228132809|-0.954237025407688|-0.945420766828395|-0.944709289551156|-0.93977206599485|-0.936918973798741|-0.933767488525605|-0.932806715202212|-0.922229334528695|-0.921881342770743|-0.921758588005559|-0.915968821287724|-0.907544083152713|-0.902207951465742|-0.886251806647629|-0.868571085912394|-0.867455583256458|-0.859350863066752|-0.84852307964047|-0.842754721537599|-0.840845352484767|-0.821443898467519|-0.811753070108894|-0.811515649798893|-0.789844282985324|-0.787850124175536|-0.783669410703731|-0.782124461925347|-0.780621373988433|-0.779691771878668|-0.771222632217455|-0.753725128311385|-0.743733919223114|-0.73595918394071|-0.728903223841566|-0.718842421943376|-0.717476711055919|-0.709841348288547|-0.708476121324468|-0.686523002104457|-0.681626312538084|-0.679132354580662|-0.675577667151176|-0.66610920988776|-0.642904835608144|-0.635801900722427|-0.631089722285971|-0.604020835524182|-0.60169124021481|-0.558845947697929|-0.552888357238806|-0.539378893758456|-0.533099969620472|-0.528197865700189|-0.524139899611578|-0.522841180235136|-0.521180693938583|-0.518667121148936|-0.516473347216107|-0.516299999789674|-0.514511933386845|-0.509603614088674|-0.499335043493565|-0.494409081229974|-0.490749199367684|-0.48760657805895|-0.480584693038302|-0.459960092497114|-0.443149660414151|-0.438881048378268|-0.430928601076099|-0.428347219217709|-0.42185541874207|-0.418140580719083|-0.413496213345361|-0.413471415796371|-0.399723512769625|-0.398387229531265|-0.395290279035263|-0.392701308657264
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes defining inflammatory response.,"CD69, SELL, IL7R, LCK, RASGRP1, IL2RB, NLRP3, TNFRSF9, CD48, CCR7, TNFRSF1B, RGS1, CCL5, STAB1, LCP2, SERPINE1, IL10RA, C5AR1, GPR183, OSM, PTGER4, CCL20, OLR1, LYN, MSR1, P2RX7, SEMA4D, C3AR1, EMP3, CYBB, TLR2, IL18, PTPRE, CCRL2, IL4R, IL1B, CCL2, FPR1, ITGA5, CD14, ABCA1, NFKBIA, CSF3R, PLAUR, IL15, PTAFR, PDE4B, CXCL11, AXL, AHR, ICAM1, CD40, CXCL8, GNA15, MARCO, MMP14, CDKN1A, HBEGF, RTP4, INHBA, RGS16",61,61,-1.50967834001164,-1.31111604294049,-92.0903787407098,-3.62335826151435|-3.13436344399457|-2.99314876837467|-2.84267425734973|-2.6529465915432|-2.5316655442859|-2.45319330837615|-2.41569428070653|-2.34533961242346|-2.26581653974832|-2.12464755215699|-2.1179100188234|-2.06765650959127|-1.99082397193592|-1.96178421184782|-1.89976670418264|-1.85142637007523|-1.82835133874357|-1.69266716417615|-1.65907873730292|-1.63676115782024|-1.63248795155836|-1.61866580260903|-1.56823546851537|-1.56630132750084|-1.55199884901712|-1.49114528198385|-1.42708095253399|-1.37758199906759|-1.34410884789902|-1.31111604294049|-1.21728423504461|-1.1999241061977|-1.19410803861046|-1.16733497074314|-1.15432633803174|-1.13939829783481|-1.07398958543068|-1.07287112903437|-1.05023851594245|-1.03859002854209|-1.03328620283031|-1.00398308041945|-1.00347351388908|-0.975073970474958|-0.963099223707117|-0.957453155007827|-0.95733284749385|-0.925310253179383|-0.903053060795321|-0.895913563036077|-0.886896820317987|-0.868571085912394|-0.862484426828445|-0.842110081960218|-0.840845352484767|-0.821524039449866|-0.802757740741064|-0.792573049674189|-0.743733919223114|-0.725041239273639
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes defining late response to estrogen.,"PDZK1, KRT19, ACOX2, S100A9, IMPA2, SULT2B1, COX6C, AGR2, PERP, CCND1, TSPAN13, DHCR7, ANXA9, SCUBE2, SFN, EMP2, DCXR, DHRS2, GALE, CD9, TMPRSS3, MAPT, FRK, FDFT1, BAG1, MEST, PRLR, TPD52L1, XBP1, TFF3, LLGL2, RET, CDH1, CDC6, DLG5, PKP3, IDH2, CA12, PRKAR2B, CA2, IL17RB, FKBP4, MYB, HMGCS2, MAPK13, CDC20, SLC24A3, MDK, DNAJC12, LTF, TST, LSR",52,52,0.597660301253874,0.550342624374031,31.0783356652014,0.959187062356561|0.951396350228519|0.926107411443053|0.886232927665934|0.836722881402913|0.818026747855145|0.768246809998422|0.752159702780428|0.746652186802539|0.729944935806034|0.720182273787199|0.715057740118636|0.701600635391519|0.701464875840326|0.670177562994117|0.662231092286546|0.638103924748858|0.627064446073904|0.593153923091184|0.588955854800157|0.585439331707955|0.578511245276741|0.575477960708607|0.574746349890272|0.563124232369228|0.556015516621488|0.544669732126575|0.540137678612938|0.538970751777851|0.528297611482697|0.526647379475047|0.526549896834586|0.524167326171806|0.522387173749165|0.51055740536825|0.50169146539352|0.494332372977447|0.489624700058343|0.488462344217385|0.473899133839084|0.463578874736754|0.463131160129479|0.458464653230474|0.458021462635571|0.457771540732261|0.456882577728806|0.455008259440732|0.453713656971254|0.446746459299682|0.446194571784715|0.444464187348031|0.437979307032681
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes defining response to androgens.,"MAF, PTK2B, HPGD, TNFAIP8, AKAP12, SGK1, MERTK, ELL2, ABCC4, RPS6KA3, PLPP1, CCND3, FKBP5, NDRG1, B2M, HSD17B14",16,16,-1.2165011471622,-1.23304512107974,-19.4640183545952,-1.93691769855834|-1.67447557322409|-1.44070910608806|-1.41978051821074|-1.39174074351188|-1.37228448195893|-1.36548531628812|-1.25535575116893|-1.21073449099055|-1.14806410082535|-1.00609648595124|-0.991527021382946|-0.945358842642404|-0.85643272105973|-0.751428418317765|-0.697627084416149
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes down-regulated by KRAS activation.,"IFNG, SLC16A7, STAG3, RSAD2, SGK1, KRT5, MAST3, IFI44L, NR4A2, KCNMB1, TENT5C, MX1, COPZ2, TFCP2L1, SKIL, CAMK1D, PTPRJ, PDK2, CDKAL1, ZBTB16, SHOX2, SYNPO",22,22,-1.04218560667189,-0.867865945733955,-22.9280833467816,-4.23233429223003|-1.93486538725215|-1.89313756673031|-1.41426039563476|-1.37228448195893|-1.14258249438838|-1.10402886552591|-1.05428321439087|-0.936319052296376|-0.900806403828346|-0.867883747189047|-0.867848144278863|-0.705181190433108|-0.700428182437804|-0.601078535797268|-0.528917227308325|-0.495580672265784|-0.48817278587061|-0.429663501957954|-0.425542636839421|-0.421079117755463|-0.411805450411924
scAB,survival_her2_GSE162228_merged_seurat,brca_her2,Genes down-regulated in response to ultraviolet (UV) radiation.,"FYN, CELF2, SERPINE1, SYNE1, KIT, PTPRM, NRP1, TGFBR2, AKT3, GRK5, CAV1, NR3C1, PDGFRB, DAB2, DLC1, ATP2B4, COL11A1, RASA2, DUSP1, ABCC1, LAMC1, COL3A1, COL1A2, SMAD7, MRPS31, PRDM2, NFKB1, LPAR1, PRKCE, COL1A1, PLPP3, TGFBR3, COL5A2, GJA1, FBLN5, PHF3, NEK7, EFEMP1, INPP4B, RUNX1, ATXN1, DBP, CDKN1B, SMAD3, WDR37, PMP22, MAP1B, DYRK1A, GCNT1, TFPI",50,50,-0.808349173866881,-0.608529917130465,-40.4174586933441,-2.6322728307278|-2.18606823883376|-1.89976670418264|-1.66231280475831|-1.64737187273851|-1.55822082105252|-1.46401750942103|-1.42084631705271|-1.35717307377101|-1.25225794563299|-1.22796583209717|-1.05828732240572|-1.03680284879924|-0.954237025407688|-0.938735950411105|-0.846487111820274|-0.811515649798893|-0.760363248836694|-0.747637433232801|-0.743002692320051|-0.73595918394071|-0.717476711055919|-0.66610920988776|-0.631386226841719|-0.629183187386217|-0.587876646874712|-0.584346449212724|-0.579270005473826|-0.575057290117677|-0.558845947697929|-0.551269148731744|-0.524139899611578|-0.522841180235136|-0.516473347216107|-0.459960092497114|-0.456453181532109|-0.440419712687977|-0.385982858795509|-0.38318933644281|-0.382041187342649|-0.371643682819885|-0.363027682045987|-0.358812737258201|-0.340441579772885|-0.331607362032681|-0.321831400666163|-0.320873736117913|-0.311398595761665|-0.306194451995902|-0.298003427989928
