pathway,pval,padj,log2err,ES,NES,size,leadingEdge,screen_method,dataset,tumor
HALLMARK_ADIPOGENESIS,0.850746268656716,1,0.0352404270679709,0.191060634649146,0.773663314261579,110,"C3, PFKFB3, HSPB8, RREB1, IFNGR1, PPARG, BCL6, ANGPT1, DBT, ATP1B3, DRAM2, CS, SORBS1, ACLY, ESRRA, TANK, ACO2, CD151, GBE1, ANGPTL4, G3BP2, MYLK, UBC, PEX14",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_ALLOGRAFT_REJECTION,6.2737140797e-12,7.842142599625e-11,0.887074988399873,0.708214632344659,2.60657924531214,65,"CD86, HLA-DQA1, SRGN, IL18, PTPRC, HLA-DRA, TLR2, CD74, CTSS, LY86, HCLS1, HLA-DMB, LYN, ST8SIA4, CCL2, TLR1, HLA-E, ITGAL, FAS, JAK2, IFNGR1, HIF1A, TGFB1, RIPK2, IFNGR2, STAB1",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_ANDROGEN_RESPONSE,0.0433123231669227,0.144374410556409,0.321775918075361,0.400241121821438,1.4616314979518,63,"ABCC4, B4GALT1, IQGAP2, SAT1, IDI1, RPS6KA3, FKBP5, SEC24D, CCND1, MERTK, MAF, PTK2B, SLC38A2",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_ANGIOGENESIS,0.329181494661922,0.530937894616003,0.0959206777921745,0.391156978209386,1.09663061822224,17,"OLR1, NRP1, SPP1, JAG1, FSTL1, COL5A2",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_APICAL_JUNCTION,0.183195592286501,0.388269687557099,0.116739204791222,0.298311273404594,1.19464677432389,103,"CD86, PTPRC, SYK, B4GALT1, SKAP2, ARHGEF6, CD276, EPB41L2, ARPC2, CD99, MSN, MYH9, CTNND1, VCL, ADAM9, ITGB4, YWHAH",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_APICAL_SURFACE,0.201900237529691,0.388269687557099,0.150169802128406,-0.369968259496864,-1.2256611190091,21,"THY1, SULF2, AFAP1L2, MAL, TMEM8B, NTNG1, RTN4RL1, EFNA5, AKAP7, APP",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_APOPTOSIS,4.98040939340537e-06,3.55743528100383e-05,0.610526878385931,0.566334018815369,2.13026371070277,72,"CD69, IL18, CD14, ANXA1, GPX1, CD44, CDKN1A, BTG2, FAS, SAT1, GADD45B, NEDD9, HGF, IFNGR1, JUN, CCND1, BID, HMGB2, EMP1, DCN",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_BILE_ACID_METABOLISM,0.778996865203762,0.973746081504702,0.0459538081039063,0.230347676749366,0.800770749618795,46,"CH25H, BCAR3, IDI1, SLC29A1, ACSL1",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.193037974683544,0.388269687557099,0.122679189568808,0.367608595864467,1.23035064784368,38,"S100A11, PLSCR1, IDI1, PDK3, PPARG, JAG1, LGMN, LGALS3",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_COAGULATION,8.58222129006535e-06,4.76790071670297e-05,0.593325476396405,0.614036842938276,2.14776040698548,49,"SERPINE1, OLR1, C3, A2M, C1QA, ANXA1, CTSB, APOC1, CTSH",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_COMPLEMENT,1.40574721887387e-09,1.17145601572823e-08,0.788186810800237,0.619520042133454,2.41909666067038,90,"SERPINE1, PLA2G4A, OLR1, C3, CTSS, PIK3R5, C1QC, LYN, KYNU, SH2B3, C1QA, GNB4, FCER1G, CEBPB, PLSCR1, CTSB, CP, APOC1, CTSH, JAK2, DOCK4, PSMB9",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_DNA_REPAIR,0.920236336779911,1,0.0355420211253902,0.186499549720023,0.698049950002374,70,"HCLS1, VPS37B, SDCBP, SNAPC5, GTF2B, GTF2F1, TAF12, NFX1, UMPS, DDB2, AGO4, PCNA, XPC, STX3",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_E2F_TARGETS,1,1,0.0681513438679483,-0.109646518915736,-0.500373195954644,78,"NAA38, SPC25, RAD51C, NOP56, POLE4, CSE1L, PSIP1, POLD2, PHF5A, RANBP1, KIF22, TIPIN, NOLC1, SMC3, POP7, RBBP7, NASP, PA2G4",scissor,binary_ad_GSE109887_merged_seurat,ad
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.153631284916201,0.349162011173184,0.130105630751129,0.31013939719245,1.23051250089891,95,"SERPINE1, GLIPR1, CD44, ID2, TNC, FAS, SAT1, GADD45B, GEM, TGFB1, ITGB5, JUN, SPP1, DCN, VIM, FBLN1, ABI3BP, EMP3, CAP2, ELN, FSTL3",scissor,binary_ad_GSE109887_merged_seurat,ad
