"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,SIK2,-2.81629783543439,2.76140168543802,-17.4488649890102,6.78314953663007e-35,3.88879605794939e-31,68.7275176851926
2,GYG2,-3.7942401338965,2.94026049035537,-17.4472509113872,6.8380447651651e-35,3.88879605794939e-31,68.7196022643342
3,FHL1,-5.63722991083372,3.40805612865289,-17.3044065744211,1.39728616799116e-34,5.29757762491047e-31,68.017756679767
4,COBLL1,-2.64180715328846,2.76215657019008,-15.7537678457516,3.83714621122588e-31,1.09109252516208e-27,60.2320009008028
5,HABP4,-1.6065738691233,4.55784019416529,-15.5489250554488,1.11567689256391e-30,2.51759614678221e-27,59.1813234038068
6,EIF4EBP2,-1.97501773906844,2.60541992609917,-15.515565320917,1.32807955694507e-30,2.51759614678221e-27,59.0097437847463
7,LIPE,-4.58707156695306,6.53750669742149,-15.3921749949395,2.5330535481048e-30,4.11585015087772e-27,58.373972862626
8,PNPLA2,-2.00881218825396,4.80976439402479,-15.2272088839857,6.02157590859456e-30,8.56117554804431e-27,57.5212152093749
9,ABCA6,-3.09828108548247,3.06738864380165,-15.184965270635,7.52007607804559e-30,9.50370503463228e-27,57.3023417766818
10,ELMOD3,-2.50159520789254,3.96951601605785,-15.0474203778199,1.55258358805978e-29,1.76590857305919e-26,56.5882837836809
11,ACACB,-2.55899099077149,5.09115860120661,-14.860251370509,4.17740954659668e-29,4.0897866039861e-26,55.6131889835295
12,EGFLAM,-2.8222755891793,3.9357123226281,-14.8541405473442,4.31487948372017e-29,4.0897866039861e-26,55.5812878445341
13,SPTBN1,-2.75211071360294,2.99676577965289,-14.838989057651,4.6756415346802e-29,4.09082667811173e-26,55.5021727760034
14,TSHZ2,-1.06069929360464,2.52886707103306,-14.5417365856589,2.27045891252718e-28,1.84458569079172e-25,53.9449906530241
15,THRSP,-3.24423271080204,4.65266010485124,-14.4498389458058,3.70750342895046e-28,2.8112762667255e-25,53.4616670585189
16,MDFIC,-3.35694009093665,3.41104686989256,-14.31375692028,7.67580278399053e-28,5.45653630406927e-25,52.7443446226782
17,PECR,-2.60836784811369,3.26369081157851,-14.2828662644369,9.05684646226451e-28,6.05956303892921e-25,52.5812468965844
18,FERMT2,-3.53141061798134,4.1518729537686,-14.2414950592894,1.13050486997298e-27,7.08297782552146e-25,52.3626614137084
19,PRKCZ,2.68367106030373,6.29248826758678,14.2329992548686,1.18319481875249e-27,7.08297782552146e-25,52.31775221731
20,KLF4,-2.7946665496431,3.18877454231405,-14.2199841482472,1.26873211659321e-27,7.21527954706561e-25,52.2489396536086
21,HSPA12A,-3.43546484773982,4.33171054770248,-14.1953886562995,1.44768890039479e-27,7.84095883480493e-25,52.118853492701
22,DSP,4.97780060908767,9.77596073287603,14.117862395371,2.19518524817021e-27,1.134910773304e-24,51.7084189906326
23,SPINT2,4.19893205759107,10.3918528632231,14.0857121538105,2.60928276261947e-27,1.29034704965365e-24,51.5380361510578
24,FXYD1,-3.71250328091233,3.10209405407438,-14.0558636734611,3.0636302376587e-27,1.45190543013042e-24,51.3797605246995
25,EMP1,-2.40213426940781,3.14450864497521,-14.0154079961242,3.80876958456902e-27,1.73283781019552e-24,51.165099542821
26,DCUN1D3,-1.84833924301923,4.7702800418595,-13.9308660807474,6.00595441543024e-27,2.62737405850398e-24,50.716001038281
27,AGPAT2,-2.75856457888518,6.26320390295041,-13.7321069479795,1.75684052841161e-26,7.40085339635319e-24,49.6574899430946
28,PLAC9,-4.48200023154752,6.42911047179339,-13.7176516064256,1.89974337272377e-26,7.66896881639994e-24,49.5803631246245
29,MT1M,-3.16209941626301,3.0754722493719,-13.7123207470045,1.95533757407771e-26,7.66896881639994e-24,49.5519153619242
30,TLN2,-3.54855253969683,4.15311221392562,-13.5870015012437,3.85494564025108e-26,1.46153839040719e-23,48.8824152411421
31,MMD,-4.16980322410012,7.977330384,-13.5717944468182,4.18630828816401e-26,1.53597001514766e-23,48.801077864435
32,CPM,-4.60308258642534,4.20423983908264,-13.5422867855922,4.91300308845576e-26,1.74626553525299e-23,48.6431929772289
33,NMB,-3.60556467251358,5.59540999565289,-13.5175438999774,5.61904699877373e-26,1.93669819891068e-23,48.51074359103
34,HADH,-2.65132053693496,5.84475851175207,-13.5044898287553,6.03168225902516e-26,2.0177751180633e-23,48.440843161797
35,GPR34,-4.12828774796041,3.74471949452893,-13.4441813337353,8.36952092968934e-26,2.71985517297961e-23,48.1177180225073
36,PALM,-2.17441618675113,5.07337293635537,-13.2907866677094,1.92811962345757e-25,6.09178683255734e-23,47.2944523785584
37,FAM83H,3.95110913180373,8.10817728338843,13.2150143826632,2.91386575275754e-25,8.95738083023359e-23,46.8870632161259
38,LGALS12,-4.79456115238349,4.1295452282314,-12.9462509704062,1.26508544324755e-24,3.78660048197305e-22,45.4383947316291
39,CCDC69,-3.59987550456957,3.45798755542149,-12.7128394356698,4.54716579380247e-24,1.30660789000236e-21,44.1759223154608
40,ECM2,-1.60035398811821,2.84892121182645,-12.7109302904366,4.59506906981663e-24,1.30660789000236e-21,44.16558046146
41,GPAM,-5.10151495688179,5.98219673227273,-12.6916354080232,5.10852376466913e-24,1.41717925120358e-21,44.0610461158057
42,CLMP,-4.06860354857806,6.04414296564463,-12.5989875801075,8.49836337218644e-24,2.30143773798211e-21,43.5587608830968
43,UHRF1,3.57993633901188,6.88578658138843,12.5762116626121,9.63187146947153e-24,2.54774200218068e-21,43.4351967259779
44,SPATS2L,-1.73112222218665,2.57915290433884,-12.4933361769539,1.51944873028169e-23,3.92777496777818e-21,42.9853025279796
45,DDR2,-3.41131990761482,4.8728191785124,-12.4687524129863,1.7395916938725e-23,4.38296848908154e-21,42.8517662453778
46,SDC1,4.63728752622794,7.15104552678512,12.4651236861546,1.77468879602853e-23,4.38296848908154e-21,42.8320522838409
47,MARC1,-3.89602110167817,5.52239503561157,-12.4614298949873,1.8111440037527e-23,4.38296848908154e-21,42.8119840242817
48,CREBL2,-1.70473902916968,3.31173941887603,-12.4293129370153,2.16147385299694e-23,5.12179241749733e-21,42.6374588965186
49,SPX,-1.9968053369112,2.84280895854545,-12.3937000367723,2.62988608581244e-23,6.10455598776138e-21,42.4438648854543
50,WASF3,-3.59493657275396,4.55177327131405,-12.3827523394597,2.79338295625282e-23,6.34515787935529e-21,42.3843375392898
51,PAFAH1B3,3.83643850025736,8.1070379121405,12.3794219493084,2.84511211400668e-23,6.34515787935529e-21,42.3662273898898
52,ALDH1A1,-4.18623409429186,4.57182916664463,-12.295888638918,4.50884238839376e-23,9.86222563953666e-21,41.911778649699
53,MRAS,-2.1390772295017,3.59331213666942,-12.210795805022,7.20997167294489e-23,1.54728712845425e-20,41.4484482997948
54,PLA2G2A,-2.94391416863745,5.0833132917686,-12.2002252745077,7.64311460327061e-23,1.6098663981037e-20,41.390864742873
55,ACO1,-3.14600148780147,6.15748497440496,-12.1280042757332,1.13879367389826e-22,2.35502531762159e-20,40.9972823942028
