"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,TMEM220,-2.57381409931898,1.64019462562464,-39.6720581359343,7.74686266165618e-221,9.8687283446838e-217,494.747417348536
2,CXCL2,-4.53926307384523,0.538044417921999,-38.8810611151722,6.42952853991767e-215,4.09528820350056e-211,481.200832522128
3,ADAMTS5,-3.44992841238578,3.86390372862036,-37.0423379342244,4.13942307426336e-201,1.75773701810136e-197,449.606249279125
4,GPAM,-3.5950506012096,5.03431920347313,-36.9415698995968,2.3730190061317e-200,7.55747227977795e-197,447.863610505765
5,HPSE2,-4.8714352423696,-1.16200409891744,-36.8081890747698,2.39498477878605e-199,6.1019422193911e-196,445.171264786211
6,CARMN,-3.6341577485133,2.93774409180876,-36.5170159199505,3.73082204605975e-197,7.92115700745918e-194,440.507753282207
7,RDH5,-3.8097611751327,-0.979623875887778,-35.987699068048,3.62873706115342e-193,6.60378306029049e-190,430.838791398424
8,SPRY2,-2.83568656993663,3.66941908813126,-35.9781986835325,4.27913048751439e-193,6.81398041005573e-190,431.182603306463
9,IGFBP6,-3.28077139677025,3.32948847567936,-35.916807010355,1.24180462885103e-192,1.75770546299259e-189,430.117392188945
10,TNXB,-4.42112639682051,3.74760285938578,-35.7933293398523,1.05868418165658e-191,1.34865777901231e-188,427.979624029845
11,RBP4,-5.48145546375182,1.80605273506582,-35.2040634847462,2.93499795379366e-187,3.39899444848886e-184,417.755734472761
12,IGSF10,-3.96416445668377,1.69612319096435,-34.9848028790568,1.32165014985436e-185,1.40304177158289e-182,413.941276470308
13,ADRB2,-3.11197018969582,1.33989366047637,-34.923077885511,3.86032387472403e-185,3.78282044923919e-182,412.81158043145
14,CDO1,-3.90272597773055,1.7011512690631,-34.8598538272156,1.15729250303276e-184,1.05305351400959e-181,411.775336571221
15,EBF1,-2.94804566578088,3.64409401678667,-34.8031482641902,3.09817757163483e-184,2.63117893900374e-181,410.818293001243
16,DMD,-3.62234228001217,3.81743894852492,-34.6264315934837,6.66632930994258e-183,5.30764806745991e-180,407.755258434332
17,FAM13A,-2.43240157046529,4.29550543874836,-34.4194274503944,2.42708570795994e-181,1.81874381374716e-178,404.166771607155
18,HOXA5,-3.11867524453898,1.39345364873423,-34.1903052965096,1.29724105487065e-179,9.18086322110958e-177,400.123995371499
19,TSLP,-4.30541300867308,-1.64268815759671,-34.1833053932231,1.46490270154589e-179,9.82178711315429e-177,399.560031912547
20,VIT,-3.86176857987416,1.16151204694869,-34.1400062612619,3.10695896685513e-179,1.97897751393838e-176,399.27637288908
21,HAS3,-3.42578772153315,2.20059774111138,-34.1291387050537,3.75222463968364e-179,2.27617093737761e-176,399.120380361111
22,HLF,-3.72730035501144,2.6181789968046,-33.910579023284,1.66868595589474e-177,9.66245017824687e-175,395.343193802123
23,ITPRIPL1,-2.85945686726808,1.09554951216439,-33.8386483013379,5.81746765424139e-177,3.22211828032092e-174,393.979067655875
24,STARD9,-2.32105898267679,3.22243714307005,-33.716193590437,4.87508062631992e-176,2.58765217077873e-173,391.97375104755
25,PPARG,-3.14947071593633,3.21042027557374,-33.5900346432307,4.355746348839e-175,2.2195141095144e-172,389.790974160947
26,C2orf88,-3.02327243491306,1.43077440651482,-33.1195048005254,1.53174598572314e-171,7.50496619697193e-169,381.586536629209
27,CHL1,-3.94094162460198,2.43882672474566,-33.0570933970692,4.52265382017849e-171,2.13385507463903e-168,380.558754573084
28,FAM107A,-3.79407572605925,2.48889112168687,-33.0038491586454,1.13894283889583e-170,5.18178315167641e-168,379.63686312889
29,PCOLCE2,-5.02177557395011,1.35183415400647,-32.8887380849421,8.38625299679744e-170,3.68387851469664e-167,377.638667437515
30,S100B,-4.42893055171169,1.87949435037577,-32.5810457705803,1.7395474197383e-167,7.38669819334874e-165,372.317971067316
31,HBB,-4.3457217204834,2.39222129018695,-32.5618782782285,2.4250575564688e-167,9.96542200382451e-165,371.988580320815
32,TMEM100,-3.94425419610695,0.477982965989049,-32.5549706674963,2.73349763063269e-167,1.08818832239468e-164,371.803409824135
33,GPR146,-2.58996550049592,-0.317715412785778,-32.5464718365137,3.16732213593365e-167,1.22268232392905e-164,371.310020944466
34,CES1,-4.21785508639684,2.75491719830882,-32.4500569126497,1.68409137437703e-166,6.30989412299675e-164,370.054437116766
35,FGF2,-3.50256766882702,2.59346063055815,-32.29738541014,2.37229145809329e-165,8.6344631099001e-163,367.414114899514
36,SLC16A7,-3.00866115315846,2.75578571509088,-32.2230805217938,8.59314625064734e-165,3.04078028019435e-162,366.129314083419
37,LDB2,-2.24161129422192,3.83453119268705,-32.1046756973571,6.67882460567642e-164,2.29950126085708e-161,364.081469767454
38,GNAL,-2.50343009888856,2.04063970328187,-31.9664152098792,7.31595134992281e-163,2.45257642754386e-160,361.671288488507
39,PPP1R14A,-3.0810307498857,1.47378305716822,-31.9374569126288,1.20770624981328e-162,3.94486408112088e-160,361.162346434614
40,PLAC9,-3.19820584889988,2.05416722915269,-31.9155460976065,1.76466640852551e-162,5.62002134455162e-160,360.80892731908
41,HCAR2,-3.2629441264876,0.555796849146093,-31.6907182599912,8.63221351919753e-161,2.68209190295262e-158,356.839582396059
42,CAV2,-2.94661414356429,4.98034326023733,-31.6003979192892,4.11658326876186e-160,1.24859891097041e-157,355.365288083163
43,FHL1,-4.33191798559102,5.21671620464103,-31.4723190234943,3.76928269972277e-159,1.11667191422717e-156,353.160459077641
44,ABCA6,-2.990413555058,2.51128795646082,-31.2282398598846,2.55833868006059e-157,7.4069719193845e-155,348.954486149626
45,TMOD1,-3.18105441268297,0.644328308779621,-31.1754900668071,6.3625423753082e-157,1.80116505153447e-154,347.966938841861
46,PPP1R12B,-2.17162667494888,5.83437541004765,-31.024352973166,8.64783478574171e-156,2.3948862464253e-153,345.428091080561
47,SYNE3,-2.74440106048598,3.88609548998274,-30.816439766659,3.12547925297645e-154,8.47137876673767e-152,341.852237225927
48,LIPE,-4.18648724531561,3.84497674895015,-30.7979462951948,4.29972332360308e-154,1.14112865457041e-151,341.534810149872
49,FMO2,-4.25711159812478,3.56099003994732,-30.7293673340118,1.4029449530044e-153,3.64737056251491e-151,340.355455264991
50,CAV1,-3.34878970648141,6.43336972928985,-30.413196767189,3.25906241301277e-151,8.30343921587394e-149,334.918721424481
51,RNF150,-3.07702812184606,3.33931211974624,-30.399712310676,4.11087813923468e-151,1.02683287481786e-148,334.687459698072
