"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MIEN1,0,1.34665844383417,0.774,0.444,0
ERBB2,0,1.87958316319302,0.704,0.454,0
CYBA,1.25570340605335e-295,-1.26682507135616,0.329,0.65,1.53585083594385e-291
NDUFB9,5.2791377696317e-276,1.47522667461019,0.663,0.428,6.45691340603653e-272
GRB7,6.51929856934791e-270,1.74398770686013,0.565,0.284,7.97375408016942e-266
MUCL1,1.79535626388986e-237,3.29425216742367,0.566,0.335,2.19590024636369e-233
S100A14,8.74350287487178e-218,1.47010502746742,0.52,0.255,1.06941783662557e-213
ADIRF,2.56264972958995e-211,1.33893964894666,0.684,0.411,3.13437688426147e-207
KRT18,1.50106802672328e-204,0.998005913562879,0.7,0.464,1.83595630348524e-200
S100A16,1.42151969099067e-202,1.08546991623325,0.627,0.373,1.73866073405069e-198
CRIP2,2.34014365360078e-200,1.20323381261943,0.641,0.37,2.86222970271912e-196
CPNE3,5.84875927765613e-200,1.20326850630715,0.537,0.29,7.15361747250121e-196
MAL2,2.18707991769925e-193,1.15014680917368,0.572,0.32,2.67501744733795e-189
LAPTM4B,2.61591902523655e-190,1.32718772167614,0.504,0.26,3.19953055976683e-186
SPDEF,8.59195439181085e-187,1.23203316127238,0.517,0.271,1.05088194166238e-182
COMT,4.71235078105381e-178,1.26258032071582,0.538,0.297,5.76367624030691e-174
POLR2K,3.74100598087778e-177,1.07973307764626,0.624,0.424,4.57562441521161e-173
APP,8.9644053276105e-177,1.24733729090088,0.621,0.384,1.09643641562004e-172
IFI27,6.81840697296919e-157,0.876110533460887,0.556,0.315,8.33959356863861e-153
APLP2,5.90189147428398e-128,0.718722239876682,0.649,0.449,7.21860346219673e-124
CISD3,4.91391759931864e-127,0.909620794731826,0.565,0.363,6.01021261572663e-123
STARD10,2.29245472871616e-125,0.862283149131986,0.502,0.286,2.80390137869274e-121
