"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KLK11,2.98520395042075e-161,-1.16622332855445,0.066,0.164,3.65120295175962e-157,Neutral,KLK11
IGFBP5,5.51746098039096e-139,-1.12033527605145,0.224,0.342,6.74840652511618e-135,Neutral,IGFBP5
SCGB2A2,1.23098174089012e-131,1.01083801689135,0.385,0.244,1.50561376728271e-127,Neutral,SCGB2A2
PRSS23,8.37160840585629e-125,-1.16490384997903,0.137,0.241,1.02393142412028e-120,Neutral,PRSS23
COL1A2,2.77164826350547e-116,-1.66199316329569,0.095,0.182,3.39000299109354e-112,Neutral,COL1A2
MIPEP,1.82948290018795e-113,-1.20793028633011,0.162,0.259,2.23764053521988e-109,Neutral,MIPEP
IGFBP2,1.16894537981215e-112,-1.26097563062661,0.19,0.286,1.42973709404824e-108,Neutral,IGFBP2
AQP5,6.65955194377342e-105,0.908471706366768,0.21,0.107,8.14529798242927e-101,Neutral,AQP5
CXCR4,1.06597940346771e-102,1.11543158416396,0.345,0.233,1.30379940838136e-98,Neutral,CXCR4
RGS1,6.54091228052482e-102,0.804451403696527,0.328,0.213,8.00018981030991e-98,Neutral,RGS1
SRGN,3.29231732432002e-100,0.683369314801522,0.334,0.219,4.02683331937581e-96,Neutral,SRGN
MYL9,2.66603801766325e-99,-1.50466481488658,0.088,0.167,3.26083109940392e-95,Neutral,MYL9
COL6A1,2.48915547102065e-96,-1.44359355209864,0.086,0.163,3.04448605660536e-92,Neutral,COL6A1
CORO1A,3.04644327672656e-96,1.32953753288126,0.197,0.105,3.72610477176426e-92,Neutral,CORO1A
COL3A1,1.14422349121536e-94,-1.6196408672683,0.089,0.166,1.3994997521055e-90,Neutral,COL3A1
ZFP36L2,2.32917769115983e-92,0.681548161668897,0.543,0.429,2.84881723405758e-88,Neutral,ZFP36L2
PTPRC,3.07697021537523e-88,1.31407489539849,0.195,0.109,3.76344227042544e-84,Neutral,PTPRC
COL1A1,1.41531026756895e-87,-1.67152041025348,0.116,0.193,1.73106598826358e-83,Neutral,COL1A1
C17orf75,4.21419423242528e-87,-0.96443019338546,0.086,0.159,5.15438096567935e-83,Neutral,C17orf75
