"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLC7A2,3.86047918880205e-64,9.91469994768134,0.964,0,4.72175209582379e-60
BRI3,1.90445038045353e-52,-7.29701318305482,0.029,0.944,2.32933326033272e-48
TPM1,1.9552457125723e-34,4.40740700576516,0.752,0.108,2.39146103104718e-30
KDM1B,6.64101386657478e-30,-8.63453227525855,0,0.636,8.12262406020761e-26
PSMD3,2.257963236538e-25,3.2464037734684,0.657,0.133,2.76171483460963e-21
HSPB1,2.29996102470675e-24,3.76946143165839,0.825,0.503,2.81308232931882e-20
ORMDL3,1.85561598332261e-23,3.53966608336344,0.533,0.046,2.26960390920188e-19
APP,4.64392496842187e-22,3.05378019370531,0.62,0.144,5.67998462887679e-18
MSL1,1.89547898263335e-21,3.60937885714957,0.533,0.077,2.31836034365885e-17
HLA-B,3.56834398324381e-21,-2.34946221193225,0.445,0.821,4.36444152590551e-17
SRGN,5.0590755158321e-21,-4.98233569523094,0.073,0.559,6.18775526341425e-17
MIF,6.73216842353951e-21,2.72126223480565,0.774,0.472,8.23411519883117e-17
KRT8,6.98749273765269e-21,1.80811851598037,0.788,0.292,8.54640236742301e-17
HLA-DRA,1.2961983718407e-19,-4.31625824445743,0.197,0.646,1.58538022859836e-15
CD74,3.71840362682201e-19,-3.76599771702771,0.212,0.656,4.547979475966e-15
CCT2,4.00899805083095e-19,3.23144586291985,0.591,0.169,4.90340551597133e-15
RPS17,1.633845348004e-18,2.92126490683368,0.693,0.344,1.9983562451437e-14
ERBB2,3.81483522696024e-18,2.36731780053285,0.708,0.308,4.66592496609507e-14
HLA-C,4.37977958420676e-18,-1.83932632950135,0.533,0.831,5.35690840944328e-14
DSTN,7.77070226954291e-18,1.43120198147178,0.898,0.503,9.50434594587793e-14
HLA-DPB1,2.40511961522248e-17,-4.65509254988796,0.073,0.508,2.94170180137861e-13
PSMB5,5.99351100845274e-17,3.10750312748033,0.642,0.303,7.33066331443855e-13
HLA-A,6.02030954927709e-17,-1.66039013327123,0.496,0.851,7.36344060972081e-13
PPDPF,7.80744607088701e-17,1.76704982756765,0.818,0.528,9.5492872893019e-13
CAND1,8.62082013381393e-17,3.04798613114014,0.533,0.138,1.05441251056678e-12
KRT18,9.34538711916881e-17,1.55856229767861,0.781,0.333,1.14303429854554e-12
SH3BGRL3,4.51063257191919e-16,-2.19817179586675,0.423,0.759,5.51695469871436e-12
FXYD3,5.78317991890573e-16,2.19069513520079,0.584,0.174,7.0734073588136e-12
HLA-DRB1,6.64963262322242e-16,-4.31971142473339,0.139,0.549,8.13316566146334e-12
SPINT2,1.38150077398993e-15,1.67128702714111,0.745,0.354,1.68971359666709e-11
GSTM3,2.5599545450691e-15,2.38632512421206,0.577,0.179,3.13108040407402e-11
GNS,2.89921817181947e-15,2.90491980953274,0.511,0.138,3.5460337459524e-11
CD24,5.6206886890879e-15,1.97235102273704,0.803,0.359,6.87466433562341e-11
GRB7,2.0401768258972e-14,2.30719033244126,0.569,0.195,2.49534027575487e-10
MDK,5.24974371385268e-14,1.64944665894783,0.613,0.231,6.42096153641321e-10
SELENOW,6.80411339179825e-14,1.82626824666219,0.701,0.333,8.32211108950844e-10
HES1,7.96325611092706e-14,2.25451842699987,0.613,0.251,9.73985854927489e-10
HLA-E,9.16551320998352e-14,-2.00737739281919,0.336,0.677,1.12103392071308e-09
KRT7,1.13566451420122e-13,2.23014491223524,0.547,0.174,1.38903126731951e-09
HDLBP,1.40307737589909e-13,2.38025584650959,0.547,0.215,1.71610393846217e-09
CLDN3,3.84009832143459e-13,1.55552094890468,0.62,0.226,4.69682425694665e-09
LMNA,5.82358067673695e-13,1.48780195340393,0.686,0.323,7.12282152571696e-09
MAL2,1.40848753584886e-12,1.8596097445938,0.555,0.205,1.72272110509674e-08
NDUFB9,2.5347032169347e-12,1.88236526748533,0.62,0.282,3.10019550463283e-08
BSG,3.1400399955288e-12,1.72046323125824,0.584,0.241,3.84058291853128e-08
NPC2,3.14518575095183e-12,-2.40187770099987,0.35,0.646,3.84687669198918e-08
MRPL52,7.17994764671146e-12,1.86254854569045,0.65,0.359,8.78179396669278e-08
SLC38A1,1.21047470737472e-11,1.62700412720916,0.555,0.205,1.48053161459001e-07
ELOC,1.63589169871817e-11,1.74009946372977,0.613,0.277,2.0008591367022e-07
SELENOM,1.94312774869287e-11,1.58262194504624,0.628,0.292,2.37663954942624e-07
S100A4,2.2338360366038e-11,-2.73223963026119,0.226,0.544,2.7322048563701e-07
VIM,2.55002812578466e-11,-2.15152617086621,0.182,0.523,3.11893940064722e-07
COMT,3.33057846474755e-11,2.11526287307008,0.518,0.215,4.07363052023273e-07
IDH2,3.97009889657731e-11,1.4750367714074,0.599,0.241,4.85582796040371e-07
TPD52,4.20179406649356e-11,1.83269527718861,0.569,0.267,5.13921432272828e-07
ANKRD30A,1.08868412846529e-10,2.140186023421,0.555,0.231,1.33156955752589e-06
HSPA1B,1.39261208884431e-10,1.8128374248654,0.569,0.246,1.70330384586547e-06
CLTC,2.55688662929434e-10,1.61692900856674,0.562,0.251,3.12732803628991e-06
DAD1,5.48859684990729e-10,1.54267380358116,0.708,0.451,6.71310280712161e-06
SEC62,6.09939010345382e-10,1.30949195778167,0.708,0.395,7.46016403553437e-06
ELF3,1.0835919387139e-09,1.67490565847709,0.54,0.205,1.32534130024097e-05
ADIRF,1.90310828692507e-09,1.22104542580503,0.715,0.328,2.32769174573806e-05
SELENOS,4.54475529808577e-09,1.63170825617019,0.547,0.272,5.55869020508871e-05
CRIP2,4.79863524423537e-09,1.2877054777535,0.584,0.267,5.86921076722428e-05
HSPA1A,5.3474718919686e-09,1.07294751402167,0.723,0.451,6.5404928710668e-05
PBX1,9.3737402187834e-09,1.12579042087829,0.584,0.251,0.00011465021661594
JTB,1.84514950785696e-08,1.48571679919865,0.533,0.272,0.000225680236305985
RAP1B,2.62865146493791e-08,1.29899545708841,0.613,0.359,0.000321510360676555
KDELR2,3.80433719509713e-08,1.33743637599349,0.526,0.256,0.00046530848233233
NUPR1,7.34716299729801e-08,0.861821382095191,0.715,0.39,0.00089863150619952
GTF2I,7.48609382593399e-08,1.64072158047529,0.504,0.241,0.000915624135849986
CALM3,8.97649441368471e-08,1.06481101627798,0.569,0.272,0.00109791503173778
TSC22D3,9.24068861459949e-08,-1.88983268293735,0.299,0.574,0.00113022862445166
ACTN4,1.28659105855639e-07,1.51644460817076,0.518,0.256,0.00157362952372032
