"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.40866106949255e-208,-0.930017436220021,0.594,0.903,1.72293335409633e-204,Other,KRT19
2,6.75651612667986e-199,-0.86652076683928,0.501,0.829,8.26389487454214e-195,Other,MGST1
3,8.93399693743389e-185,-0.696236134903888,0.563,0.905,1.09271716541754e-180,Other,KRT18
4,8.92428660855226e-183,-0.805430205382203,0.397,0.742,1.09152949509203e-178,Other,EPCAM
5,4.18733274552802e-180,-0.822798703116528,0.589,0.912,5.12152668105532e-176,Other,CD24
6,1.39509196269135e-177,-0.784165918499286,0.541,0.861,1.70633697956779e-173,Other,CYB5A
7,3.02102712656463e-173,-0.703036109114467,0.465,0.812,3.6950182785012e-169,Other,GGCT
8,7.2163522934997e-171,-0.886338630578454,0.344,0.673,8.82632049017949e-167,Other,TFAP2A
9,1.90540040148216e-169,-0.729520196949121,0.379,0.727,2.33049523105283e-165,Other,EFHD1
10,1.92679721493861e-163,-0.661821645440883,0.544,0.887,2.35666567359142e-159,Other,KRT8
11,4.17678413208409e-163,-0.717227383504328,0.33,0.659,5.10862467195205e-159,Other,C3orf14
12,3.41723919543205e-159,-0.729338756632794,0.476,0.817,4.17962525993294e-155,Other,S100A16
13,5.58498615773384e-159,-0.778783731659804,0.486,0.809,6.83099656952426e-155,Other,HEBP2
14,4.50755020615597e-158,-0.862486291682738,0.233,0.516,5.51318465714936e-154,Other,ALDH3B2
15,2.36389130338567e-157,-0.703321963423763,0.371,0.703,2.89127545317102e-153,Other,TSPAN13
16,1.58254958874534e-156,-0.770465296655431,0.293,0.603,1.93561640199442e-152,Other,CLDN7
17,1.68654646762739e-154,-0.651199421734493,0.468,0.799,2.06281498455506e-150,Other,KRT7
18,3.99156446324789e-154,-0.732494771684794,0.436,0.768,4.88208249499849e-150,Other,GSTM3
19,1.03493562980086e-153,-0.791078614872885,0.317,0.625,1.26582976880943e-149,Other,PLGRKT
20,2.00833634218665e-153,-0.732134452034468,0.373,0.703,2.45639618012849e-149,Other,LAPTM4B
21,1.40866106949255e-208,0.930017436220021,0.903,0.594,1.72293335409633e-204,Positive,KRT19
22,6.75651612667986e-199,0.86652076683928,0.829,0.501,8.26389487454214e-195,Positive,MGST1
23,8.93399693743389e-185,0.696236134903888,0.905,0.563,1.09271716541754e-180,Positive,KRT18
24,8.92428660855226e-183,0.805430205382203,0.742,0.397,1.09152949509203e-178,Positive,EPCAM
25,4.18733274552802e-180,0.822798703116528,0.912,0.589,5.12152668105532e-176,Positive,CD24
26,1.39509196269135e-177,0.784165918499286,0.861,0.541,1.70633697956779e-173,Positive,CYB5A
27,3.02102712656463e-173,0.703036109114467,0.812,0.465,3.6950182785012e-169,Positive,GGCT
28,7.2163522934997e-171,0.886338630578454,0.673,0.344,8.82632049017949e-167,Positive,TFAP2A
29,1.90540040148216e-169,0.729520196949121,0.727,0.379,2.33049523105283e-165,Positive,EFHD1
30,1.92679721493861e-163,0.661821645440883,0.887,0.544,2.35666567359142e-159,Positive,KRT8
31,4.17678413208409e-163,0.717227383504328,0.659,0.33,5.10862467195205e-159,Positive,C3orf14
32,3.41723919543205e-159,0.729338756632794,0.817,0.476,4.17962525993294e-155,Positive,S100A16
33,5.58498615773384e-159,0.778783731659804,0.809,0.486,6.83099656952426e-155,Positive,HEBP2
34,4.50755020615597e-158,0.862486291682738,0.516,0.233,5.51318465714936e-154,Positive,ALDH3B2
35,2.36389130338567e-157,0.703321963423763,0.703,0.371,2.89127545317102e-153,Positive,TSPAN13
36,1.58254958874534e-156,0.770465296655431,0.603,0.293,1.93561640199442e-152,Positive,CLDN7
37,1.68654646762739e-154,0.651199421734493,0.799,0.468,2.06281498455506e-150,Positive,KRT7
38,3.99156446324789e-154,0.732494771684794,0.768,0.436,4.88208249499849e-150,Positive,GSTM3
39,1.03493562980086e-153,0.791078614872885,0.625,0.317,1.26582976880943e-149,Positive,PLGRKT
40,2.00833634218665e-153,0.732134452034468,0.703,0.373,2.45639618012849e-149,Positive,LAPTM4B
