"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SPARC,0,3.28083025107222,0.559,0.107,0,Positive,SPARC
VIM,0,1.76646675243689,0.807,0.359,0,Positive,VIM
IGFBP7,0,2.85674002258491,0.545,0.117,0,Positive,IGFBP7
COL6A2,0,3.15020140458029,0.459,0.071,0,Positive,COL6A2
COL1A2,0,3.39785162591054,0.467,0.099,0,Positive,COL1A2
COL3A1,0,3.39127074222781,0.448,0.091,0,Positive,COL3A1
DCN,0,3.29477158364052,0.408,0.059,0,Positive,DCN
MMP2,0,3.17213317584911,0.408,0.06,0,Positive,MMP2
FN1,0,2.82787004679911,0.518,0.173,0,Positive,FN1
LUM,0,3.17877707932175,0.417,0.075,0,Positive,LUM
COL6A1,0,3.13274950086317,0.431,0.089,0,Positive,COL6A1
TIMP2,0,2.61007875149584,0.476,0.136,0,Positive,TIMP2
COL1A1,0,3.36234859508559,0.454,0.119,0,Positive,COL1A1
COL6A3,0,3.1655825486643,0.394,0.059,0,Positive,COL6A3
SERPINF1,0,2.78031433399978,0.417,0.088,0,Positive,SERPINF1
BGN,0,3.1172249812813,0.387,0.06,0,Positive,BGN
HTRA1,0,3.04723909100894,0.388,0.066,0,Positive,HTRA1
NNMT,0,2.71998624234951,0.418,0.096,0,Positive,NNMT
SERPING1,0,2.5702693924272,0.451,0.135,0,Positive,SERPING1
TIMP3,0,3.22997614783246,0.389,0.078,0,Positive,TIMP3
AEBP1,0,3.2416553652215,0.357,0.053,0,Positive,AEBP1
FSTL1,0,3.266270121482,0.364,0.064,0,Positive,FSTL1
CTSK,0,2.93609823853532,0.357,0.062,0,Positive,CTSK
IGFBP4,0,2.68140864812047,0.406,0.112,0,Positive,IGFBP4
CCDC80,0,3.20492259372085,0.346,0.053,0,Positive,CCDC80
CAVIN1,0,2.8719722629109,0.365,0.073,0,Positive,CAVIN1
CTGF,0,3.19349646878084,0.349,0.057,0,Positive,CTGF
TAGLN,0,2.62173970463626,0.374,0.086,0,Positive,TAGLN
C1S,0,3.08283327473915,0.346,0.058,0,Positive,C1S
RARRES2,0,2.984183911812,0.336,0.051,0,Positive,RARRES2
THY1,0,2.9856602688646,0.329,0.045,0,Positive,THY1
VCAN,0,3.13222639134755,0.375,0.096,0,Positive,VCAN
COL5A2,0,3.26491843624199,0.366,0.088,0,Positive,COL5A2
SFRP2,0,3.38733028350039,0.321,0.046,0,Positive,SFRP2
SPARCL1,0,2.90312712690401,0.325,0.052,0,Positive,SPARCL1
PCOLCE,0,3.06749960710813,0.316,0.049,0,Positive,PCOLCE
FBN1,0,3.24197920258534,0.302,0.042,0,Positive,FBN1
CAV1,0,2.73883584190997,0.322,0.068,0,Positive,CAV1
C1R,0,3.07456495575327,0.315,0.065,0,Positive,C1R
THBS2,0,3.37360103434077,0.287,0.037,0,Positive,THBS2
LRP1,0,2.92376830927843,0.295,0.058,0,Positive,LRP1
ISLR,0,3.33370930786984,0.265,0.034,0,Positive,ISLR
HSPG2,0,3.25373722162926,0.29,0.06,0,Positive,HSPG2
COL5A1,0,3.30657779009037,0.267,0.039,0,Positive,COL5A1
FBLN2,0,3.25262659412012,0.259,0.036,0,Positive,FBLN2
POSTN,0,3.23359714260687,0.256,0.04,0,Positive,POSTN
CXCL12,0,3.31376273433111,0.257,0.042,0,Positive,CXCL12
TCF4,1.11253708768526e-308,2.50549913698082,0.431,0.135,1.11447470693062e-308,Positive,TCF4
CALD1,1.38924697152293e-295,2.51219222864024,0.57,0.264,1.69918797086969e-291,Positive,CALD1
CAVIN3,1.21441276490095e-293,2.59461498987621,0.303,0.07,1.48534825275035e-289,Positive,CAVIN3
MYL9,3.75471293498515e-280,2.2850555555869,0.352,0.096,4.59238939078034e-276,Positive,MYL9
MIEN1,2.32876345457138e-278,-2.25576189366989,0.292,0.66,2.84831058128625e-274,Positive,MIEN1
IFITM3,1.99894735614886e-276,1.78221993772372,0.711,0.437,2.44491251130567e-272,Positive,IFITM3
LGALS1,2.6639072208428e-263,1.76607492219244,0.76,0.513,3.25822492181283e-259,Positive,LGALS1
A2M,2.97663948082198e-255,2.69372462888778,0.307,0.08,3.64072774899336e-251,Positive,A2M
ID3,1.01194637608302e-252,2.38969751630002,0.429,0.157,1.23771161258714e-248,Positive,ID3
KRT19,8.90801130511219e-246,-1.92504096089288,0.224,0.639,1.08953886272827e-241,Positive,KRT19
XBP1,4.24726671188682e-243,-1.56447596671066,0.34,0.703,5.19483191530877e-239,Positive,XBP1
TPM2,7.57251330604121e-241,2.58262493597883,0.295,0.079,9.261941024619e-237,Positive,TPM2
