"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,3.39785162591054,0.467,0.099,0,Positive,COL1A2
2,0,3.39127074222781,0.448,0.091,0,Positive,COL3A1
3,0,3.38733028350039,0.321,0.046,0,Positive,SFRP2
4,0,3.37360103434077,0.287,0.037,0,Positive,THBS2
5,0,3.36234859508559,0.454,0.119,0,Positive,COL1A1
6,0,3.33370930786984,0.265,0.034,0,Positive,ISLR
7,0,3.31376273433111,0.257,0.042,0,Positive,CXCL12
8,0,3.30657779009037,0.267,0.039,0,Positive,COL5A1
9,0,3.29477158364052,0.408,0.059,0,Positive,DCN
10,0,3.28083025107222,0.559,0.107,0,Positive,SPARC
11,0,3.266270121482,0.364,0.064,0,Positive,FSTL1
12,0,3.26491843624199,0.366,0.088,0,Positive,COL5A2
13,0,3.25373722162926,0.29,0.06,0,Positive,HSPG2
14,0,3.25262659412012,0.259,0.036,0,Positive,FBLN2
15,0,3.24197920258534,0.302,0.042,0,Positive,FBN1
16,0,3.2416553652215,0.357,0.053,0,Positive,AEBP1
17,0,3.23359714260687,0.256,0.04,0,Positive,POSTN
18,0,3.22997614783246,0.389,0.078,0,Positive,TIMP3
19,0,3.20492259372085,0.346,0.053,0,Positive,CCDC80
20,0,3.19349646878084,0.349,0.057,0,Positive,CTGF
21,2.4804608344114e-274,-2.32248498137325,0.112,0.315,3.03385164656859e-270,Neutral,SPARC
22,4.07893115407861e-268,-2.19003779964267,0.075,0.253,4.98894069455355e-264,Neutral,COL6A2
23,1.15874572189611e-233,-1.22038655292257,0.428,0.65,1.41726189245113e-229,Neutral,IFITM3
24,8.2883674041927e-224,-1.90136626300625,0.122,0.31,1.01375021720681e-219,Neutral,IGFBP7
25,1.05598633473362e-222,-1.7044960035461,0.132,0.331,1.29157688601269e-218,Neutral,SERPING1
26,4.8548425026388e-214,-2.43898807431823,0.102,0.273,5.93795786497752e-210,Neutral,COL1A2
27,1.84309247672928e-208,-1.80695002783646,0.097,0.268,2.25428640828758e-204,Neutral,NNMT
28,5.35546812474964e-205,-2.43234912319403,0.095,0.257,6.55027306338128e-201,Neutral,COL3A1
29,1.46778415093167e-178,-0.985386067307973,0.382,0.595,1.79524679500453e-174,Neutral,IFI27
30,8.29377560296421e-159,-1.79706266675536,0.113,0.265,1.01441169399855e-154,Neutral,IGFBP4
31,3.11194428044156e-156,-1.52413985295773,0.305,0.494,3.80621904940807e-152,Neutral,TIMP1
32,5.59056097574918e-156,-1.78401201130586,0.179,0.349,6.83781512943882e-152,Neutral,CTHRC1
33,2.29229066611101e-147,-2.40324706467466,0.123,0.268,2.80370071372037e-143,Neutral,COL1A1
34,6.78920452492515e-147,-0.982669524443832,0.365,0.558,8.30387605443594e-143,Neutral,VIM
35,7.16914264161608e-147,-1.63293522255416,0.135,0.292,8.76857836496063e-143,Neutral,TCF4
36,3.01508401151626e-131,-1.89864370477407,0.176,0.332,3.68774925448554e-127,Neutral,FN1
37,9.72447733590106e-127,-1.68303725897482,0.141,0.282,1.18940082295406e-122,Neutral,TIMP2
38,2.12638016143203e-124,-0.47113723446057,0.772,0.881,2.60077557544751e-120,Neutral,HLA-B
39,1.12673988200845e-122,-1.62848314353173,0.266,0.421,1.37811554968453e-118,Neutral,CALD1
40,9.68972238928643e-109,1.17078309400268,0.628,0.47,1.18514994543362e-104,Neutral,CD24
41,0,1.41919417998593,0.901,0.51,0,Negative,PSME2
42,2.34611176774956e-289,1.35711200323068,0.726,0.32,2.86952930313448e-285,Negative,PSMB8
43,6.9655095422001e-260,1.52928995442589,0.893,0.645,8.51951472106494e-256,Negative,PSMB3
44,6.64424505512737e-251,1.00465939000894,0.888,0.566,8.12657612692629e-247,Negative,PSME1
45,3.09669335137661e-198,1.47029469179162,0.702,0.402,3.78756563806873e-194,Negative,RARRES3
46,1.90153306082259e-184,1.09363367409335,0.586,0.26,2.32576508669211e-180,Negative,UBE2L6
47,3.53304338558279e-184,1.17084665356084,0.754,0.443,4.32126536490631e-180,Negative,BST2
48,3.335841495356e-177,0.934940919528706,0.659,0.305,4.08006773296992e-173,Negative,PSMB9
49,1.62476620751277e-152,0.903498893939197,0.455,0.182,1.98725154840887e-148,Negative,TAP1
50,1.0244340469306e-147,1.06927123858858,0.734,0.484,1.25298528280082e-143,Negative,CISD3
51,2.31478472996011e-144,1.68037453109392,0.288,0.092,2.83121320321421e-140,Negative,BIRC5
52,4.04979576116125e-142,1.78205510414819,0.264,0.081,4.95330519547632e-138,Negative,CDKN3
53,2.18734325215069e-141,1.4581432393152,0.31,0.104,2.67533953170551e-137,Negative,PTTG1
54,1.42738193807213e-131,1.13068873468992,0.367,0.141,1.74583084845602e-127,Negative,ANP32E
55,5.56791825103112e-128,0.915131312608327,0.6,0.318,6.81012081283616e-124,Negative,CWC25
56,1.00750190429966e-127,1.48587253622659,0.295,0.103,1.23227557914891e-123,Negative,MAD2L1
57,9.42016333506791e-126,1.50149619373446,0.319,0.118,1.15218017751216e-121,Negative,PCLAF
58,3.54371312480739e-124,1.19380755306966,0.399,0.169,4.33431552295192e-120,Negative,RPL39L
59,1.4923852518585e-120,0.873378005722864,0.733,0.469,1.82533640154814e-116,Negative,MZT2A
60,1.42801465827859e-117,0.837369150765221,0.674,0.409,1.74660472854054e-113,Negative,STAT1
