"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FXYD3,0,2.53383164504275,0.804,0.118,0,Positive,FXYD3
PERP,0,2.24186045341486,0.845,0.162,0,Positive,PERP
ELF3,0,2.13301361536594,0.75,0.104,0,Positive,ELF3
CD24,0,2.01254672804226,0.811,0.166,0,Positive,CD24
MGST1,0,2.25334846392027,0.75,0.112,0,Positive,MGST1
CLDN4,0,1.99627904491316,0.752,0.131,0,Positive,CLDN4
KRT8,0,3.01105034370853,0.703,0.083,0,Positive,KRT8
MARCKSL1,0,2.10140157365286,0.834,0.215,0,Positive,MARCKSL1
SOX4,0,1.6155737158208,0.831,0.215,0,Positive,SOX4
TM4SF1,0,2.02084083879521,0.744,0.13,0,Positive,TM4SF1
SPINT2,0,2.04544345366983,0.83,0.221,0,Positive,SPINT2
CRABP2,0,2.7621935180289,0.693,0.087,0,Positive,CRABP2
CD9,0,1.83827752316524,0.839,0.241,0,Positive,CD9
S100A16,0,2.13673856193216,0.711,0.114,0,Positive,S100A16
RPS17,0,2.03939373600143,0.877,0.286,0,Positive,RPS17
DSTN,0,1.36488914280653,0.901,0.317,0,Positive,DSTN
MAL2,0,2.07993716063805,0.676,0.092,0,Positive,MAL2
APP,0,1.5978975302978,0.737,0.154,0,Positive,APP
CRYAB,0,2.45750928792602,0.676,0.094,0,Positive,CRYAB
HES1,0,2.06305058474404,0.702,0.122,0,Positive,HES1
STMN1,0,1.50136027075968,0.815,0.237,0,Positive,STMN1
KRT19,0,3.46343008136999,0.662,0.088,0,Positive,KRT19
KRT7,0,2.45243162183859,0.651,0.079,0,Positive,KRT7
PSMB5,0,1.58533059702886,0.756,0.184,0,Positive,PSMB5
NDUFB9,0,1.58112902213947,0.82,0.248,0,Positive,NDUFB9
KRT18,0,2.64007398755841,0.637,0.071,0,Positive,KRT18
EMP2,0,1.91504997003447,0.68,0.118,0,Positive,EMP2
S100P,0,2.16951077678092,0.653,0.091,0,Positive,S100P
DSP,0,1.92802729597669,0.637,0.08,0,Positive,DSP
EPCAM,0,2.76135570660303,0.612,0.058,0,Positive,EPCAM
CDKN2A,0,2.53161085806376,0.653,0.104,0,Positive,CDKN2A
PRDX2,0,1.57360770681679,0.814,0.265,0,Positive,PRDX2
GGCT,0,1.73522961767689,0.7,0.153,0,Positive,GGCT
KRT14,0,2.48535975533786,0.682,0.137,0,Positive,KRT14
CALML5,0,2.63667572799062,0.63,0.085,0,Positive,CALML5
SELENOM,0,1.40197458794425,0.744,0.2,0,Positive,SELENOM
SLPI,0,2.190392194404,0.66,0.117,0,Positive,SLPI
EIF3H,0,1.46969069350541,0.861,0.319,0,Positive,EIF3H
RPL39L,0,1.87759209829668,0.65,0.11,0,Positive,RPL39L
POLR2F,0,1.4704497868001,0.702,0.163,0,Positive,POLR2F
SLC25A5,0,1.72958915955075,0.878,0.34,0,Positive,SLC25A5
MRPL14,0,1.34391784637633,0.734,0.197,0,Positive,MRPL14
PFDN2,0,1.1959451686079,0.826,0.292,0,Positive,PFDN2
VDAC2,0,1.3375382766093,0.797,0.263,0,Positive,VDAC2
ARPC1A,0,1.65487105644743,0.667,0.134,0,Positive,ARPC1A
