"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100P,0,5.70712736853113,0.798,0.031,0
SLPI,0,5.77888418005573,0.812,0.062,0
PERP,0,3.65314088439723,0.905,0.166,0
FXYD3,0,3.024914564124,0.878,0.143,0
CD24,0,3.18292599312639,0.917,0.186,0
KRT17,0,5.64529458455177,0.814,0.084,0
SFRP1,0,4.33842248660229,0.76,0.041,0
KRT14,0,5.44282686105967,0.764,0.054,0
CDKN2A,0,4.71848544748285,0.764,0.057,0
SRGN,0,-6.67923742767805,0.052,0.756,0
CLDN4,0,3.57232484199386,0.856,0.156,0
MFGE8,0,4.67593152642272,0.784,0.092,0
ELF3,0,2.81323232536457,0.809,0.133,0
SAA1,0,4.7027294875673,0.717,0.055,0
RPL39L,0,4.69336502135074,0.74,0.083,0
CRABP2,0,3.86337625547698,0.771,0.116,0
MAL2,0,3.93018453802416,0.76,0.107,0
S100A16,0,3.39659007096033,0.799,0.153,0
KRT6B,0,5.66642026645467,0.681,0.035,0
TACSTD2,0,4.053974662451,0.831,0.19,0
TM4SF1,0,2.46148956889084,0.809,0.168,0
CALML5,0,4.61388237600392,0.688,0.051,0
CALD1,0,2.3576115203186,0.735,0.1,0
EMP2,0,3.73461144172555,0.778,0.144,0
CRYAB,0,4.27413918302104,0.711,0.083,0
TPM2,0,3.56534353465949,0.714,0.103,0
LAPTM5,0,-6.30204684570688,0.044,0.648,0
SOX9,0,3.4236841984936,0.676,0.083,0
PTPRC,0,-6.05528814833087,0.016,0.608,0
STMN1,0,3.32319708780192,0.851,0.261,0
HES1,0,3.24019680211148,0.748,0.164,0
ID1,0,5.42046846726291,0.631,0.051,0
GABRP,0,4.58141416843049,0.616,0.04,0
EFNA1,0,3.808436710701,0.651,0.079,0
DDIT4,0,3.97216171001312,0.871,0.303,0
SOX4,0,2.4545890527211,0.862,0.295,0
SERPINB5,0,5.83817617493886,0.587,0.022,0
PDZK1IP1,0,4.73175428966703,0.621,0.056,0
LSR,0,3.75267402853843,0.655,0.096,0
CKS1B,0,3.92714835586677,0.711,0.156,0
RGS1,0,-5.82411953816589,0.04,0.593,0
MT1X,0,3.63254956648687,0.882,0.336,0
TYROBP,0,-6.29399222136975,0.034,0.562,0
LAGE3,0,2.91172932498492,0.755,0.229,0
HLA-DPB1,0,-5.86721757926092,0.161,0.686,0
FCER1G,0,-6.79557103668156,0.029,0.541,0
CD53,0,-6.47244382363258,0.012,0.512,0
CTSS,0,-5.33810718695516,0.085,0.585,0
HLA-DPA1,0,-5.27853801249418,0.212,0.693,0
EMP3,0,-3.95462739850877,0.092,0.57,0
PFDN2,0,2.40627134067956,0.858,0.383,0
ARHGDIB,0,-3.49299986885084,0.192,0.665,0
HLA-DQA1,0,-5.35903450882641,0.077,0.549,0
HCST,0,-4.71568675933174,0.049,0.509,0
LYZ,0,-6.9037180576487,0.059,0.516,0
RANBP1,0,2.29716582607797,0.863,0.41,0
SNRPD1,0,2.16747156849215,0.838,0.391,0
SNRPG,0,2.13653269679376,0.925,0.56,0
