"",scissor_markers,scAB_markers,scPAS_markers,scPP_markers
1,S100P,KRT8,SPN,SLPI
2,SLPI,FXYD3,KRT19,TACSTD2
3,PERP,EPCAM,SOX4,CLDN4
4,FXYD3,KRT7,ELF3,FXYD3
5,CD24,KRT18,MARCKSL1,KRT17
6,KRT17,CRYAB,CD52,PERP
7,SFRP1,KRT19,PERP,KRT14
8,KRT14,TSEN34,HES1,CD24
9,CDKN2A,CRABP2,FXYD3,MAL2
10,SRGN,MARCKSL1,NFIB,S100P
11,CLDN4,SPINT2,MDK,KRT6B
12,MFGE8,CALML5,LINC00842,TM4SF1
13,ELF3,TTYH1,KRT15,EMP2
14,SAA1,CDKN2A,S100A13,ELF3
15,RPL39L,RAB25,CD24,CDKN2A
16,CRABP2,MDK,CCND1,CRABP2
17,MAL2,PHGDH,HLA-B,S100A16
18,S100A16,LAPTM4B,SNORC,RPL39L
19,KRT6B,PRDX2,HLA-C,SAA1
20,TACSTD2,GABRP,RPS17,HES1
