"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT8,0,-1.09576458185379,0.411,0.773,0,Other,KRT8
FXYD3,0,-0.819637127090316,0.485,0.839,0,Other,FXYD3
EPCAM,0,-1.00353798806937,0.35,0.702,0,Other,EPCAM
KRT7,0,-0.839303939940582,0.382,0.725,0,Other,KRT7
KRT18,0,-0.942401233900321,0.37,0.71,0,Other,KRT18
CRYAB,0,-0.880674605928061,0.403,0.742,0,Other,CRYAB
KRT19,0,-0.848630815039241,0.392,0.729,0,Other,KRT19
TSEN34,0,-1.11597319349028,0.308,0.616,0,Other,TSEN34
UQCRH,0,-0.654892354171404,0.791,0.982,0,Other,UQCRH
CRABP2,1.11253692925363e-308,-0.845349270597063,0.41,0.744,1.11253692967712e-308,Other,CRABP2
MARCKSL1,1.1125370622267e-308,-0.714674320964133,0.546,0.876,1.11429057852447e-308,Other,MARCKSL1
SPINT2,1.11256312883327e-308,-0.741300900676351,0.546,0.87,1.45805698588863e-308,Other,SPINT2
CALML5,1.23087039981999e-306,-0.98152795131693,0.375,0.686,1.6232718832826e-302,Other,CALML5
TTYH1,3.34251633368086e-306,-1.12248503414844,0.243,0.523,4.40811054085832e-302,Other,TTYH1
CDKN2A,6.17208887944902e-306,-0.925998677055112,0.396,0.707,8.13975081421737e-302,Other,CDKN2A
RAB25,2.38409859017571e-298,-0.856931240527361,0.274,0.579,3.14414922072372e-294,Other,RAB25
MDK,4.04567157638012e-295,-0.951195134484451,0.339,0.638,5.33543167493011e-291,Other,MDK
PHGDH,7.99685244647451e-294,-0.79270220448939,0.335,0.655,1.05462490064106e-289,Other,PHGDH
CLDN7,4.12943027975829e-291,-0.960843764618374,0.211,0.482,5.44589265294523e-287,Other,CLDN7
PERP,4.88573011350484e-290,-0.646160025215625,0.528,0.867,6.44330087369018e-286,Other,PERP
MGST1,1.44722837905636e-285,-0.680705071507341,0.452,0.798,1.90860478629953e-281,Other,MGST1
LAPTM4B,1.98160289484244e-278,-0.751800643622123,0.353,0.681,2.61333789771821e-274,Other,LAPTM4B
PRDX2,6.65481904856523e-277,-0.707956312776694,0.556,0.868,8.77637536124782e-273,Other,PRDX2
GABRP,3.89340514952866e-273,-0.746423678501768,0.319,0.626,5.1346227111984e-269,Other,GABRP
S100A1,3.58830902848848e-271,-1.04401522993865,0.22,0.474,4.73226194677061e-267,Other,S100A1
YBX1,2.46823687708527e-267,-0.526803812099579,0.81,0.986,3.25511079350005e-263,Other,YBX1
CYC1,6.03987406877948e-267,-0.714239290093862,0.447,0.771,7.96538592190638e-263,Other,CYC1
CCND1,8.97295636054378e-266,-0.81193218625905,0.379,0.687,1.18335348482851e-261,Other,CCND1
S100A13,4.80219746065395e-264,-0.748575817832237,0.376,0.685,6.33313801111043e-260,Other,S100A13
PLPP2,1.81001176424909e-262,-0.74111214744703,0.305,0.607,2.3870435146917e-258,Other,PLPP2
COMT,5.09101303195528e-262,-0.838493353636408,0.311,0.599,6.71402798654262e-258,Other,COMT
CDK4,9.74077765724153e-262,-0.79127033733055,0.314,0.608,1.28461375743701e-257,Other,CDK4
CD9,2.28899798281064e-260,-0.588529935972186,0.56,0.878,3.01873053973067e-256,Other,CD9
KRT5,1.54815450480026e-258,-1.06075598632706,0.311,0.588,2.04170616093058e-254,Other,KRT5
NME1,5.09526899707046e-257,-0.678700606042737,0.401,0.72,6.71964075333652e-253,Other,NME1
EIF3H,6.90062140272218e-257,-0.627906269827303,0.608,0.904,9.10053950591001e-253,Other,EIF3H
