"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EEF1G,0,-8.64846589317857,0.007,1,0,Neutral,EEF1G
RPL17,0,-1.59332854578036,0.408,0.853,0,Neutral,RPL17
SNORC,0,-2.22408627149146,0.115,0.557,0,Neutral,SNORC
FABP7,0,-2.00253558461187,0.114,0.524,0,Neutral,FABP7
PCSK1N,0,-1.96172992658848,0.097,0.475,0,Neutral,PCSK1N
SIX3,0,-2.49299372251791,0.068,0.441,0,Neutral,SIX3
SCRG1,0,-1.66347391570183,0.134,0.504,0,Neutral,SCRG1
RPS17,0,-1.90321701286282,0.613,0.971,0,Neutral,RPS17
MYEOV,0,-2.25825396735095,0.078,0.435,0,Neutral,MYEOV
PPP1R1B,0,-1.89232947069648,0.132,0.488,0,Neutral,PPP1R1B
ROCR,0,-1.81859581286104,0.125,0.479,0,Neutral,ROCR
OBP2B,0,-2.22420073005629,0.077,0.422,0,Neutral,OBP2B
MT1H,0,-1.49752556622544,0.085,0.428,0,Neutral,MT1H
RAMP2,0,-1.79332483841677,0.085,0.418,0,Neutral,RAMP2
KANK4,0,-2.32586409548536,0.065,0.367,0,Neutral,KANK4
SCGB3A1,0,-2.15458733334226,0.052,0.332,0,Neutral,SCGB3A1
PRSS21,0,-2.01473119507099,0.062,0.34,0,Neutral,PRSS21
COLCA1,0,-2.27317720783941,0.053,0.309,0,Neutral,COLCA1
DLL3,0,-2.57968125994698,0.04,0.284,0,Neutral,DLL3
LINC00842,0,-2.33288186068553,0.046,0.274,0,Neutral,LINC00842
CMTM5,0,-2.37100581272851,0.041,0.261,0,Neutral,CMTM5
LINC01139,1.1125369292536e-308,-2.13420442847923,0.063,0.317,1.11253692927315e-308,Neutral,LINC01139
RPS10,1.11253692934683e-308,-1.15407900434191,0.68,0.948,1.11253815874725e-308,Neutral,RPS10
KRT19,1.11269251577261e-308,-1.85260858434042,0.405,0.778,4.10375002549055e-308,Neutral,KRT19
KRT15,1.14310276507757e-308,-2.0947357665085,0.251,0.633,8.06204485693079e-306,Neutral,KRT15
SEPT4,5.50123584108556e-300,-1.99179022673975,0.072,0.333,7.25502982722363e-296,Neutral,SEPT4
RPL23,2.34674277972881e-289,-1.29938804131826,0.84,0.977,3.09488437790635e-285,Neutral,RPL23
NOP53,3.6032501952886e-282,-1.44940689487721,0.49,0.846,4.7519663575466e-278,Neutral,NOP53
MOK,1.08986144268687e-281,-2.00649548338131,0.055,0.278,1.43730927061544e-277,Neutral,MOK
EIF3L,5.22264103887802e-280,-1.38670673987375,0.542,0.87,6.88761900207233e-276,Neutral,EIF3L
RPL38,7.42984956019092e-280,-0.81880872942697,0.893,0.994,9.79848559997979e-276,Neutral,RPL38
KLK11,7.80495463522201e-268,-1.44760662956908,0.137,0.463,1.02931741729308e-263,Neutral,KLK11
SNHG7,8.89349990142789e-268,-1.30135306227253,0.287,0.685,1.17287476700031e-263,Neutral,SNHG7
LYRM4,1.26251807675242e-264,-1.41268253558908,0.189,0.546,1.6650088396211e-260,Neutral,LYRM4
PODXL2,9.210708088484e-262,-1.7132743398106,0.093,0.365,1.21470818270927e-257,Neutral,PODXL2
ACTR3B,4.40469776983132e-260,-1.53951795793146,0.177,0.525,5.80891541885354e-256,Neutral,ACTR3B
