"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-8.64846589317857,0.007,1,0,Neutral,EEF1G
2,0,-2.57968125994698,0.04,0.284,0,Neutral,DLL3
3,0,-2.49299372251791,0.068,0.441,0,Neutral,SIX3
4,0,-2.37100581272851,0.041,0.261,0,Neutral,CMTM5
5,0,-2.33288186068553,0.046,0.274,0,Neutral,LINC00842
6,0,-2.32586409548536,0.065,0.367,0,Neutral,KANK4
7,0,-2.27317720783941,0.053,0.309,0,Neutral,COLCA1
8,0,-2.25825396735095,0.078,0.435,0,Neutral,MYEOV
9,0,-2.22420073005629,0.077,0.422,0,Neutral,OBP2B
10,0,-2.22408627149146,0.115,0.557,0,Neutral,SNORC
11,0,-2.15458733334226,0.052,0.332,0,Neutral,SCGB3A1
12,0,-2.01473119507099,0.062,0.34,0,Neutral,PRSS21
13,0,-2.00253558461187,0.114,0.524,0,Neutral,FABP7
14,0,-1.96172992658848,0.097,0.475,0,Neutral,PCSK1N
15,0,-1.90321701286282,0.613,0.971,0,Neutral,RPS17
16,0,-1.89232947069648,0.132,0.488,0,Neutral,PPP1R1B
17,0,-1.81859581286104,0.125,0.479,0,Neutral,ROCR
18,0,-1.79332483841677,0.085,0.418,0,Neutral,RAMP2
19,0,-1.66347391570183,0.134,0.504,0,Neutral,SCRG1
20,0,-1.59332854578036,0.408,0.853,0,Neutral,RPL17
21,0,8.64846589317857,1,0.007,0,Positive,EEF1G
22,0,2.57968125994698,0.284,0.04,0,Positive,DLL3
23,0,2.49299372251791,0.441,0.068,0,Positive,SIX3
24,0,2.37100581272851,0.261,0.041,0,Positive,CMTM5
25,0,2.33288186068553,0.274,0.046,0,Positive,LINC00842
26,0,2.32586409548536,0.367,0.065,0,Positive,KANK4
27,0,2.27317720783941,0.309,0.053,0,Positive,COLCA1
28,0,2.25825396735095,0.435,0.078,0,Positive,MYEOV
29,0,2.22420073005629,0.422,0.077,0,Positive,OBP2B
30,0,2.22408627149146,0.557,0.115,0,Positive,SNORC
31,0,2.15458733334226,0.332,0.052,0,Positive,SCGB3A1
32,0,2.01473119507099,0.34,0.062,0,Positive,PRSS21
33,0,2.00253558461187,0.524,0.114,0,Positive,FABP7
34,0,1.96172992658848,0.475,0.097,0,Positive,PCSK1N
35,0,1.90321701286282,0.971,0.613,0,Positive,RPS17
36,0,1.89232947069648,0.488,0.132,0,Positive,PPP1R1B
37,0,1.81859581286104,0.479,0.125,0,Positive,ROCR
38,0,1.79332483841677,0.418,0.085,0,Positive,RAMP2
39,0,1.66347391570183,0.504,0.134,0,Positive,SCRG1
40,0,1.59332854578036,0.853,0.408,0,Positive,RPL17
