"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MIR3945HG,5.42344765704476e-168,-8.69310235201436,0.01,1,7.15244277011063e-164
SRGN,2.18061131710685e-111,-4.73701664005975,0.184,0.94,2.87579020500051e-107
FCER1G,2.99056690781237e-111,-5.09839243594361,0.098,0.87,3.94395963802296e-107
TYROBP,1.94539930519766e-110,-5.11245066315911,0.091,0.86,2.56559260369467e-106
LAPTM5,1.23299743427289e-107,-4.76721751295045,0.124,0.879,1.62607701631909e-103
NOXO1,4.24522028863351e-105,8.76364882136443,0.992,0,5.59859651664988e-101
AIF1,1.21172755168421e-99,-5.09626080227123,0.063,0.777,1.59802629516114e-95
IL1B,3.16666166282479e-93,-8.83484610225123,0.022,0.656,4.17619340093333e-89
OLR1,4.47230139145971e-89,-6.94895052871078,0.02,0.633,5.89807107505707e-85
LYZ,4.05357725270668e-88,-5.80393541428092,0.164,0.819,5.34585768086958e-84
CD24,2.81554775733508e-85,4.91257351317116,0.92,0.074,3.71314438237351e-81
PERP,2.31498114130576e-84,6.21174590468207,0.898,0.042,3.05299712915404e-80
CLDN4,2.75352693047779e-83,5.58980012914378,0.902,0.06,3.63135131591411e-79
ZEB2,4.0735318551582e-83,-4.53136690312312,0.069,0.702,5.37217381058264e-79
FXYD3,8.02065217546902e-81,6.15048267199655,0.871,0.023,1.05776360890085e-76
CTSS,5.62814325073444e-79,-4.50290798033923,0.225,0.819,7.42239531906857e-75
VIM,2.30299650393784e-78,-2.92312325454627,0.623,0.977,3.03719178939322e-74
TM4SF1,7.34636281157717e-78,5.29842304031323,0.87,0.06,9.68838327590797e-74
TACSTD2,1.08460628707238e-76,5.33257619139612,0.876,0.088,1.43037877139106e-72
FCGR3A,9.61693228715924e-76,-5.38953702586059,0.029,0.581,1.26828103003056e-71
ELF3,7.09024979266946e-75,6.14096469072502,0.836,0.023,9.35062142657249e-71
CDKN2A,1.53872479888636e-74,5.64613208856401,0.838,0.037,2.02927026477134e-70
SLC2A3,4.4739029448014e-74,-5.21286598818627,0.069,0.647,5.90018320360409e-70
CCL3,2.90446069582913e-73,-5.81789296987447,0.063,0.628,3.83040276565945e-69
CXCL8,6.05534407008555e-72,-5.10943640804413,0.081,0.651,7.98578775962882e-68
PLEK,6.40213648849813e-72,-5.73941749864918,0.049,0.595,8.44313760103134e-68
EMP2,8.43254845833829e-72,6.12003499365147,0.812,0.019,1.11208449068565e-67
KRT8,4.89844061633432e-70,5.09227954556469,0.821,0.056,6.4600634848217e-66
MAL2,7.38543624067792e-70,6.2130560927036,0.795,0.014,9.73991331420604e-66
SPINT2,1.4323143211701e-68,2.97246008561176,0.915,0.223,1.88893612675913e-64
S100A16,8.06438232360754e-67,4.868253443477,0.802,0.037,1.06353074083736e-62
SAMSN1,1.7781868181753e-66,-4.54625987592759,0.052,0.581,2.34507277580958e-62
CD68,2.2199896676165e-66,-5.51750842008543,0.066,0.591,2.92772237365265e-62
CD53,1.18809630765349e-65,-4.10133306424194,0.066,0.6,1.56686141053342e-61
SLC11A1,1.30906022800834e-65,-6.59636845107797,0.046,0.549,1.7263886286974e-61
DSTN,2.65403329854167e-65,2.58091378339861,0.927,0.302,3.50013911411676e-61
CD9,1.00867087862388e-64,2.84670134293873,0.915,0.279,1.33023515472917e-60
KRT18,2.30162499800236e-64,4.96824116907996,0.775,0.028,3.03538304736552e-60
PTPRC,2.31887649758391e-64,-3.18824052057506,0.12,0.688,3.05813432501366e-60
S100A14,5.89563798107198e-64,6.33108960710322,0.753,0.014,7.77516736943773e-60
CYBB,1.28750611572805e-63,-4.95052241813816,0.056,0.563,1.69796306542216e-59
SOX4,1.66187718691448e-63,3.62742312236497,0.86,0.149,2.19168363410282e-59
FCGR2A,2.95293798397625e-63,-5.03199700061107,0.051,0.553,3.89433461326788e-59
LST1,3.00039755021776e-63,-4.68549990046935,0.051,0.558,3.95692428922718e-59
UQCRH,4.40495197739408e-63,1.80943805567384,0.971,0.674,5.80925066778732e-59
EMP3,1.06493110609293e-62,-3.80934937336885,0.213,0.735,1.40443114271535e-58
EPCAM,1.63365885682365e-62,3.76189680751098,0.785,0.037,2.15446930037903e-58
MNDA,2.67576847216661e-62,-5.40892641804039,0.029,0.502,3.52880346109332e-58
LSR,3.57542448479415e-62,5.93749436535993,0.745,0.023,4.71526981054652e-58
KRT17,1.21208326425244e-61,4.90486326086006,0.763,0.042,1.59849540889612e-57
S100P,3.41492880885651e-60,4.37040892198151,0.77,0.047,4.50360811311996e-56
KRT7,3.29305360555566e-59,4.20998350918829,0.768,0.056,4.34287909500681e-55
SFRP1,3.32419515565729e-59,6.17138615408953,0.724,0.023,4.38394857128083e-55
TNFAIP3,1.06473850278827e-58,-3.5300171061302,0.281,0.772,1.40417713747717e-54
CRYAB,1.42287392864615e-58,6.42586700326467,0.724,0.033,1.87648613709855e-54
CALML5,1.61775212850521e-58,6.41634561861944,0.728,0.028,2.13349150707267e-54
TPM1,7.08813009694781e-58,3.46374842245326,0.792,0.088,9.34782597185477e-54
CD44,1.48718436422043e-57,-2.53675689147366,0.592,0.893,1.9612987395339e-53
CNN3,1.15044688269802e-56,4.91555529647488,0.716,0.028,1.51720934890215e-52
ITGB2,2.73917183794906e-56,-4.25563325385206,0.1,0.591,3.61241981988723e-52
PRDX2,1.07266637559171e-55,3.09755266589327,0.81,0.14,1.41463241613035e-51
PTPRF,2.95238614522626e-55,4.50588843995648,0.714,0.033,3.89360684832439e-51
OCIAD2,5.37092351554515e-55,3.1251453874742,0.8,0.116,7.08317393230094e-51
SERPINA1,1.67212684490367e-54,-3.88916350915968,0.107,0.595,2.20520088305896e-50
MFGE8,1.65418401197453e-53,6.61186036095142,0.675,0.019,2.181537874992e-49
GABRP,1.94920715538273e-53,7.23447578662294,0.665,0.009,2.57061439651875e-49
CD52,2.66027448453586e-53,-3.51507692796873,0.12,0.619,3.50836999020589e-49
SLPI,4.04403320150261e-53,6.71169572918346,0.677,0.023,5.33327098614165e-49
STMN1,7.29730091485211e-53,2.97016880355173,0.824,0.167,9.62368044650696e-49
SELENOM,8.73039638792795e-53,2.99941966829271,0.782,0.116,1.15136467563994e-48
DSP,1.22666986517623e-52,5.05089106408014,0.704,0.047,1.61773221819442e-48
HLA-DRA,1.24876865336205e-52,-2.73566240475089,0.665,0.916,1.64687610005388e-48
RAB25,4.10241749898116e-52,7.1273314925069,0.651,0.005,5.41026819765635e-48
APP,4.43108758058731e-52,2.69950763178636,0.826,0.167,5.84371830127854e-48
CALD1,7.96752122417647e-52,3.19431655374112,0.728,0.056,1.05075669904439e-47
SOX9,1.29636655701367e-51,6.11597400505676,0.658,0.014,1.70964821538963e-47
HCST,2.0151030173171e-51,-3.26623249906771,0.152,0.642,2.65751785923779e-47
CHCHD2,2.40037755455001e-51,1.50866582640787,0.966,0.702,3.16561791894056e-47
SERPINB5,3.21964588938775e-51,5.87538525891972,0.657,0.014,4.24606899892457e-47
MARCKSL1,1.14707535397376e-50,2.23345487442,0.888,0.279,1.51276297682059e-46
EFNA1,1.32334143617292e-50,5.19715203074671,0.655,0.014,1.74522268602485e-46
NAMPT,1.65285831262218e-50,-3.46560166709792,0.503,0.805,2.17978954268613e-46
ATP1B1,2.88990553710127e-50,3.31554252045111,0.785,0.158,3.81120742232915e-46
RANBP1,3.1516436409066e-50,2.27002661295575,0.895,0.312,4.15638763362762e-46
CXCL3,5.59858442322656e-50,-6.11605101859897,0.076,0.512,7.38341313735119e-46
CD14,5.66513802799293e-50,-4.5274374445321,0.134,0.591,7.47118403131707e-46
VCAN,7.99706082908652e-50,-5.48844425153603,0.107,0.558,1.05465238213993e-45
LAGE3,1.47503901594486e-49,2.97508001623546,0.765,0.116,1.94528145422808e-45
PSMB5,2.68581362041199e-49,2.49896278862288,0.814,0.149,3.54205100259933e-45
KRT6B,4.54883444971924e-49,7.30133593610396,0.64,0.023,5.99900287228974e-45
KRT14,8.79452663203056e-49,5.34177097800915,0.68,0.079,1.15982217223219e-44
FYB1,2.67714774816124e-48,-3.63311946343861,0.125,0.581,3.53062245027505e-44
PDZK1IP1,3.38719070519945e-48,9.32846845070626,0.613,0,4.46702710201703e-44
SAA1,3.60129772104638e-48,5.61963451302082,0.64,0.023,4.74939143451596e-44
PLPP2,3.69146369611864e-48,4.38731654151194,0.638,0.014,4.86830232244126e-44
TMEM54,3.83251867819744e-48,4.76351752886964,0.645,0.019,5.05432563280678e-44
CLDN3,8.24674103159887e-48,4.79971371044221,0.65,0.028,1.08758020724726e-43
MGST1,1.41955547304048e-47,2.25953982096733,0.831,0.186,1.87210975784579e-43
PPIA,1.93902378816705e-47,1.55834822274741,0.976,0.651,2.55718457183471e-43
LAPTM4B,2.5891553336265e-47,3.70268655362739,0.682,0.056,3.41457805398663e-43
GMFG,3.29777926970449e-47,-3.57766130162522,0.08,0.516,4.34911130088627e-43
MIF,3.33599372705738e-47,2.26209356666231,0.91,0.377,4.39950852724328e-43
CRABP2,7.96233966969968e-47,7.94133704615452,0.609,0.009,1.05007335563999e-42
TSTD1,9.58549218884263e-47,2.16862212089425,0.851,0.214,1.26413470986457e-42
