"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CDKN2A,0,5.3485158619729,0.809,0.062,0
SLPI,0,4.11869648614005,0.771,0.082,0
CKS1B,0,3.97269965340679,0.818,0.137,0
TACSTD2,0,3.8203868286255,0.801,0.127,0
RPL39L,0,4.10537480192841,0.764,0.09,0
CRABP2,0,4.91852064945651,0.762,0.096,0
MAL2,0,4.35286920532239,0.739,0.079,0
IDH2,0,3.0598517177158,0.849,0.191,0
PCLAF,0,6.17268752447607,0.682,0.025,0
STMN1,0,3.48349551163953,0.895,0.245,0
KRT14,0,3.71998649333485,0.763,0.115,0
KRT6B,0,4.17518233097186,0.693,0.045,0
LSR,0,3.62705611534834,0.717,0.071,0
LAGE3,0,3.17572098971879,0.791,0.147,0
FXYD3,0,3.4441944597056,0.803,0.161,0
GGCT,0,3.26363526084773,0.806,0.165,0
UBE2T,0,5.12213369059317,0.66,0.025,0
CALML5,0,4.36532697411187,0.718,0.083,0
KRT17,0,2.8826147922285,0.762,0.132,0
PHGDH,0,4.14201508411048,0.702,0.072,0
CLDN4,0,2.64196313379719,0.771,0.144,0
EMP2,0,3.17738138352682,0.771,0.147,0
CD24,0,2.73411921340252,0.815,0.192,0
CYC1,0,2.95582932773328,0.798,0.177,0
PERP,0,3.16361386425307,0.835,0.216,0
HSPB11,0,2.63257538475895,0.77,0.155,0
RANBP1,0,2.86758017916065,0.921,0.311,0
MGST1,0,2.69208640832669,0.782,0.172,0
S100A16,0,3.30656712858564,0.775,0.17,0
CCT5,0,2.61004907274661,0.803,0.199,0
EPCAM,0,3.82731276620234,0.694,0.093,0
TM4SF1,0,2.2964515712695,0.781,0.183,0
GGH,0,4.33279706098847,0.66,0.063,0
STOML2,0,2.34728771857388,0.794,0.201,0
PDCD5,0,2.4097460379501,0.81,0.223,0
PSMA2,0,2.24643176840527,0.77,0.183,0
PTTG1,0,3.62777993316293,0.653,0.067,0
NUDT5,0,2.70463191897866,0.731,0.145,0
MRPL14,0,2.35039291396664,0.794,0.209,0
SPINT2,0,2.9223690878913,0.839,0.254,0
SNRPA1,0,2.52692413373514,0.727,0.142,0
PRDX2,0,2.61513951560128,0.875,0.291,0
TSTD1,0,2.01049230380287,0.824,0.24,0
LSM5,0,2.29601097104615,0.87,0.287,0
SNRPD1,0,2.39965020385426,0.899,0.317,0
UBE2C,0,5.91477012387146,0.605,0.023,0
TECR,0,2.24319314028837,0.791,0.21,0
POLR2H,0,2.8071050721158,0.723,0.142,0
S100P,0,3.63317823948886,0.662,0.083,0
CD9,0,2.58437942159631,0.851,0.278,0
MAP3K13,0,2.42846960815164,0.722,0.149,0
LSM4,0,2.4015855213668,0.771,0.2,0
TMEM106C,0,3.30116367580921,0.655,0.085,0
PSMB2,0,2.31468987593459,0.833,0.263,0
FDPS,0,2.4443014915592,0.737,0.167,0
TYMS,0,4.5238655405459,0.604,0.035,0
TMEM14A,0,2.84969039767082,0.67,0.103,0
RAB5IF,0,2.3642216387937,0.702,0.136,0
GIPC1,0,2.94561851040865,0.677,0.112,0
MAGOH,0,2.05427601020043,0.793,0.228,0
PSMB5,0,2.20823803022558,0.802,0.239,0
KRT5,0,3.32044082865891,0.634,0.071,0
MDH1,0,2.3640395037714,0.736,0.174,0
MRPL47,0,2.41414060759805,0.722,0.162,0
RHEB,0,2.63012770771419,0.862,0.303,0
SDHC,0,2.24474161267204,0.757,0.198,0
HMGB2,0,2.83889583342332,0.796,0.239,0
KRT18,0,2.58326775379607,0.68,0.125,0
MRPS12,0,2.32530691287107,0.69,0.135,0
NDUFA4L2,0,3.56211540336592,0.583,0.028,0
KRT8,0,3.20178493186284,0.703,0.149,0
MRPL36,0,2.39875306831415,0.691,0.137,0
AK2,0,2.57254361086499,0.705,0.152,0
LSM2,0,1.99817602445306,0.755,0.202,0
PFDN2,0,2.21642148445543,0.871,0.319,0
NDUFAB1,0,1.88531600454703,0.798,0.246,0
MRPL37,0,2.8603419722564,0.66,0.108,0
ELOC,0,2.02028813332708,0.811,0.261,0
RBP1,0,3.23658811371517,0.641,0.091,0
MRPL51,0,1.9488773011839,0.86,0.311,0
NDUFS6,0,1.99318070874255,0.884,0.336,0
NME1,0,2.5091562745631,0.72,0.172,0
TFDP1,0,3.23863552386254,0.63,0.083,0
KDELR2,0,1.94228974548295,0.833,0.286,0
SLIRP,0,1.93762734527005,0.805,0.259,0
ELF3,0,1.67603591981577,0.706,0.161,0
PSMD8,0,1.78693095323305,0.863,0.319,0
MDH2,0,1.95375613548971,0.807,0.263,0
TPD52,0,2.24008393863976,0.676,0.133,0
SNRPD3,0,1.75414713490861,0.854,0.311,0
NAA10,0,1.95674389648055,0.74,0.197,0
PDZK1IP1,0,3.97729661808155,0.586,0.043,0
SLC25A5,0,2.92675043104591,0.908,0.366,0
HMGB3,0,3.75093070138963,0.604,0.062,0
CSNK2B,0,1.96164269896023,0.769,0.227,0
ACTL6A,0,3.21688287055046,0.614,0.074,0
SNRPG,0,2.52571910804945,0.945,0.407,0
FABP5,0,1.64160382628625,0.763,0.225,0
CACYBP,0,1.65573422279973,0.761,0.223,0
MRPL4,0,2.32652895358458,0.671,0.133,0
RHOV,0,4.87852306689434,0.582,0.044,0
CKS2,0,2.53565175630445,0.685,0.148,0
RAD23A,0,2.25431427155712,0.749,0.212,0
ACP1,0,1.96627907253194,0.734,0.197,0
SFN,0,2.94220534974592,0.582,0.046,0
PGRMC1,0,2.14173406664409,0.74,0.205,0
TEX30,0,4.0642430472294,0.576,0.041,0
S100A14,0,3.60010103721123,0.616,0.083,0
NDUFB9,0,2.07533723792548,0.839,0.306,0
PRDX4,0,2.059998608965,0.735,0.203,0
HMGA1,0,2.03758721235575,0.715,0.183,0
HINT2,0,2.64418048833164,0.636,0.104,0
OCIAD2,0,1.62727659731,0.755,0.224,0
PPP1CA,0,1.65543977255301,0.807,0.276,0
IER3IP1,0,2.27484639328648,0.707,0.176,0
COX5A,0,1.78169315860214,0.896,0.367,0
SERPINB5,0,3.92325850022327,0.561,0.035,0
TK1,0,5.44791568542699,0.544,0.018,0
CLDN3,0,3.11551985957147,0.586,0.061,0
DUT,0,2.18712751988864,0.788,0.264,0
TMEM147,0,2.01134606456293,0.759,0.235,0
WFDC2,0,3.7532623399769,0.609,0.086,0
CNN3,0,1.93469436548335,0.689,0.166,0
RAB25,0,3.73328484032668,0.577,0.054,0
PCNA,0,2.69833694178326,0.622,0.1,0
PSMD2,0,2.00580766490587,0.691,0.17,0
TBCB,0,1.9170616051521,0.752,0.232,0
TXNL4A,0,1.76586522985564,0.764,0.245,0
POLR2I,0,1.79796898103852,0.768,0.25,0
HSBP1,0,1.69941334890849,0.83,0.314,0
SNRPE,0,1.99484933037891,0.866,0.351,0
CCT8,0,1.99988240426015,0.768,0.253,0
MT1X,0,1.99152510968568,0.841,0.327,0
CCT6A,0,1.94965107557819,0.741,0.227,0
NDUFA6,0,1.7615318695535,0.787,0.273,0
PSMD14,0,1.97306561547875,0.665,0.152,0
CRYAB,0,2.66483319532854,0.703,0.19,0
TMEM14B,0,1.80726999938721,0.749,0.237,0
GADD45GIP1,0,1.60944857739596,0.802,0.291,0
CXADR,0,2.86585138544268,0.571,0.06,0
ATP5MC3,0,2.45390123708607,0.945,0.435,0
VDAC2,0,1.95801318122225,0.827,0.317,0
RBP7,0,2.62759531210958,0.557,0.048,0
ANAPC11,0,1.69199872581908,0.858,0.35,0
NQO1,0,3.84488473563395,0.542,0.035,0
MLF2,0,1.8117115010372,0.756,0.25,0
PGAM1,0,1.55559615035146,0.786,0.28,0
ATP5IF1,0,1.65404066636519,0.898,0.393,0
FAM136A,0,2.40200674504545,0.627,0.122,0
EIF2S2,0,1.63808493617487,0.835,0.33,0
NDUFS8,0,1.60156956934683,0.735,0.231,0
HSD17B10,0,1.97648712237772,0.67,0.166,0
ATP5PB,0,1.6306779475243,0.785,0.282,0
POLR2K,0,1.65001977151324,0.771,0.268,0
DMKN,0,4.42620549543514,0.556,0.053,0
DNAJB11,0,2.04573609006239,0.632,0.13,0
TALDO1,0,1.52850281692041,0.764,0.263,0
CENPW,0,3.75246352937235,0.553,0.052,0
SLC9A3R1,0,1.99758109430069,0.639,0.138,0
NDUFB4,0,1.6379331302175,0.86,0.36,0
PKM,0,2.03179310215038,0.892,0.393,0
NDUFB7,0,1.72448627899022,0.882,0.383,0
ATP5MC1,0,1.61065544661748,0.808,0.31,0
RAB11A,0,1.79349517515008,0.752,0.254,0
GTF2A2,0,1.56768178092767,0.736,0.238,0
CENPX,0,2.21710648721927,0.673,0.176,0
KRT7,0,2.21883929486868,0.651,0.154,0
ADRM1,0,1.66396232815051,0.705,0.208,0
NAA20,0,2.06571035122272,0.642,0.145,0
ATP5PD,0,1.83059644005826,0.792,0.296,0
CBR3,0,4.13006006956195,0.536,0.04,0
SMC4,0,2.25294834995515,0.61,0.115,0
MRPS15,0,2.14816234112501,0.654,0.159,0
ZWINT,0,5.04522212750132,0.513,0.018,0
MORF4L2,0,1.6332169734854,0.755,0.261,0
DPM1,0,2.35311808185999,0.605,0.111,0
DDT,0,1.60643738696539,0.823,0.329,0
DGUOK,0,1.47261407020198,0.713,0.22,0
DMAC1,0,1.98720882207337,0.659,0.166,0
TPGS2,0,2.28415972895696,0.62,0.127,0
TUBB,0,2.84932957744717,0.92,0.428,0
PHLDA2,0,2.42758413137521,0.595,0.103,0
IMPA2,0,3.26067741419982,0.565,0.073,0
