"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-6.08535380036397,0.157,0.345,0,Other,IGHG1
2,0,-4.75374618267072,0.107,0.3,0,Other,IGHG3
3,0,2.91987050602827,0.287,0.082,0,Other,FDCSP
4,0,-2.76384364685819,0.245,0.431,0,Other,APOE
5,0,-2.51648089875079,0.142,0.31,0,Other,FN1
6,0,-2.51307877098794,0.071,0.256,0,Other,AIF1
7,0,-2.28833703220534,0.087,0.274,0,Other,SERPING1
8,0,-2.20088186246157,0.118,0.32,0,Other,CTSL
9,0,2.15262175816083,0.359,0.117,0,Other,SAA1
10,0,2.11244377286627,0.352,0.205,0,Other,RHOV
11,0,2.09229553404581,0.633,0.478,0,Other,DDIT4
12,0,2.02506149943052,0.392,0.212,0,Other,WFDC2
13,0,1.99351850266833,0.35,0.195,0,Other,PDZK1IP1
14,0,-1.96904961173055,0.11,0.283,0,Other,FCER1G
15,0,-1.96897069226387,0.256,0.518,0,Other,CTSZ
16,0,-1.93947509647696,0.182,0.335,0,Other,LGMN
17,0,-1.92359471953961,0.105,0.281,0,Other,LYZ
18,0,-1.89402642349878,0.115,0.278,0,Other,TYROBP
19,0,1.85170266133547,0.3,0.111,0,Other,KRT6A
20,0,-1.773719933187,0.123,0.33,0,Other,FKBP11
21,0,6.08535380036397,0.345,0.157,0,Positive,IGHG1
22,0,4.75374618267072,0.3,0.107,0,Positive,IGHG3
23,0,-2.91987050602827,0.082,0.287,0,Positive,FDCSP
24,0,2.76384364685819,0.431,0.245,0,Positive,APOE
25,0,2.51648089875079,0.31,0.142,0,Positive,FN1
26,0,2.51307877098794,0.256,0.071,0,Positive,AIF1
27,0,2.28833703220534,0.274,0.087,0,Positive,SERPING1
28,0,2.20088186246157,0.32,0.118,0,Positive,CTSL
29,0,-2.15262175816083,0.117,0.359,0,Positive,SAA1
30,0,-2.11244377286627,0.205,0.352,0,Positive,RHOV
31,0,-2.09229553404581,0.478,0.633,0,Positive,DDIT4
32,0,-2.02506149943052,0.212,0.392,0,Positive,WFDC2
33,0,-1.99351850266833,0.195,0.35,0,Positive,PDZK1IP1
34,0,1.96904961173055,0.283,0.11,0,Positive,FCER1G
35,0,1.96897069226387,0.518,0.256,0,Positive,CTSZ
36,0,1.93947509647696,0.335,0.182,0,Positive,LGMN
37,0,1.92359471953961,0.281,0.105,0,Positive,LYZ
38,0,1.89402642349878,0.278,0.115,0,Positive,TYROBP
39,0,-1.85170266133547,0.111,0.3,0,Positive,KRT6A
40,0,1.773719933187,0.33,0.123,0,Positive,FKBP11
