"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SFTPA1,3.92740064149874e-131,-7.12776813937214,0.063,0.97,4.55225008356119e-127
SFTPD,4.41169409775438e-129,-7.14037701415471,0.049,0.932,5.1135946287071e-125
SFTPA2,2.32136108305477e-122,-6.40315930247394,0.083,0.962,2.69068963136879e-118
PEBP4,3.56743655054902e-118,-6.40323845144644,0.049,0.88,4.13501570574137e-114
PIGR,2.44286995366553e-115,-5.75478834489086,0.088,0.94,2.83153056329371e-111
PLA2G1B,2.19816647597858e-111,-9.19145333930112,0.008,0.722,2.54789476230677e-107
LRRK2,6.94517264921929e-106,-6.33787185895897,0.042,0.797,8.05014961771007e-102
SFTPC,7.48029710036167e-105,-6.53364298479591,0.15,0.962,8.67041236902922e-101
SLC34A2,1.51914868498757e-100,-4.49863593044529,0.168,0.962,1.76084524076909e-96
CLDN18,1.75608535839083e-85,-6.41223824725185,0.011,0.594,2.03547853891081e-81
SLPI,1.20031248972954e-83,-3.43344275472883,0.342,0.985,1.39128220684551e-79
MUC1,8.77660195018437e-81,-3.08269345796818,0.334,0.977,1.01729593204587e-76
C4BPA,1.17228783379757e-80,-4.16546696712336,0.117,0.82,1.35879882815476e-76
SFTPB,2.18289335051778e-78,-2.70037980572852,0.445,0.992,2.53019168258516e-74
SFTA2,2.83873495410175e-78,-3.0934009655299,0.318,0.955,3.29037768529934e-74
FGGY,3.57688743662464e-78,-4.94633379671027,0.093,0.759,4.14597022779162e-74
LAMP3,1.83293092026619e-76,-4.63550807808054,0.094,0.752,2.12455022968055e-72
SCGB3A1,4.97892370079681e-76,-4.04601306862984,0.309,0.94,5.77107046159359e-72
NAPSA,2.04403642618083e-75,-3.06271081861369,0.371,0.962,2.3692426215862e-71
FOLR1,7.03720654320082e-75,-3.52668725734128,0.198,0.88,8.15682610422407e-71
SCGB3A2,3.75635895824154e-74,-3.54519765043191,0.204,0.895,4.35399566849777e-70
ABCA3,1.25330719422362e-72,-5.09881554588508,0.097,0.729,1.4527083688246e-68
CXCL17,8.16653596518506e-71,-2.80359873875769,0.274,0.925,9.465831837246e-67
WIF1,2.65268935865971e-70,-5.63924511258963,0.039,0.594,3.07473223562247e-66
RNASE1,7.50506875295473e-69,-3.11124712630274,0.297,0.917,8.69912519154982e-65
SFTA3,2.32900071590705e-68,-2.83326245619491,0.28,0.917,2.69954472980787e-64
CYB5A,4.65858469879175e-67,-2.17625880010346,0.696,0.985,5.39976552436952e-63
HSD17B6,4.08144758952949e-61,-4.18064574666604,0.108,0.684,4.73080590102363e-57
CTSH,4.17343492467539e-59,-2.315097020102,0.549,0.94,4.83742842119124e-55
SELENOP,2.12323318170051e-57,-2.65244829462944,0.335,0.887,2.46103958090906e-53
SELENBP1,2.28518337404166e-55,-3.25531507538852,0.317,0.835,2.64875604885169e-51
ADGRF5,1.91479170576948e-54,-3.72832568243088,0.124,0.677,2.2194350661574e-50
CRTAC1,5.65750859431971e-54,-4.45841946165809,0.07,0.571,6.55761821167597e-50
AGR3,8.98543970171956e-54,-4.41899790544339,0.087,0.602,1.04150231582631e-49
AQP4,1.74504705598679e-53,-4.9689377757922,0.048,0.519,2.02268404259429e-49
CACNA2D2,5.59464276333213e-53,-5.04622034023908,0.071,0.564,6.48475042697827e-49
MGST1,2.2636735139177e-50,-1.71143713778761,0.474,0.947,2.623823969982e-46
S100A14,4.21864088877977e-50,-2.65607537470488,0.258,0.805,4.88982665418463e-46
DHCR24,1.28721840904596e-49,-3.2127037788336,0.224,0.752,1.49201485792517e-45
FABP5,1.95291817422753e-48,-2.13083842106158,0.476,0.917,2.26362745574713e-44
AK1,2.13254920894469e-48,-2.4657535615294,0.454,0.857,2.47183778808779e-44
ANK3,8.04158156041586e-48,-5.05356913193687,0.059,0.504,9.32099718667802e-44
TPPP3,2.44466113024034e-46,-3.68747268237189,0.113,0.609,2.83360671606158e-42
MALL,3.66307219690965e-46,-2.3168757887731,0.328,0.827,4.24586698343798e-42
NKX2-1,7.07739384829359e-44,-2.60340871924224,0.278,0.774,8.2034072095571e-40
HOPX,2.02006614400529e-41,-1.73389812514174,0.482,0.925,2.34145866751653e-37
C3,2.12428832463074e-41,-2.53626298253105,0.249,0.752,2.46226259707949e-37
AQP3,7.38419708773239e-41,-2.10496298271549,0.329,0.85,8.55902284439061e-37
TSTD1,1.01615952208646e-40,-2.05951196115491,0.422,0.827,1.17783050205041e-36
SECISBP2L,8.67681577936172e-40,-3.05512878730253,0.28,0.722,1.00572971698582e-35
FXYD3,2.48345733554645e-39,-2.59969991085222,0.241,0.722,2.87857539763189e-35
C2,6.64280700097843e-39,-2.94487730531038,0.207,0.669,7.69967759483409e-35
