"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LGALS3BP,0,1.9712243353304,0.832,0.21,0
ALDH2,0,1.47144836180199,0.86,0.239,0
RAB13,0,1.68026290461858,0.811,0.191,0
S100A13,0,2.00146691916871,0.799,0.184,0
CD9,0,1.44748512179752,0.876,0.27,0
MGST1,0,2.46496293423768,0.751,0.15,0
SPINT2,0,1.54205888037608,0.848,0.252,0
CD151,0,1.49798896515975,0.82,0.233,0
CYB5A,0,1.81514666787042,0.844,0.258,0
SERPINA1,0,1.34901819128557,0.849,0.266,0
PCBD1,0,1.19963603168419,0.821,0.248,0
COMT,0,1.03987207164504,0.869,0.296,0
BLVRB,0,1.14382580734683,0.806,0.241,0
CD81,0,1.05365079471314,0.846,0.285,0
NENF,0,1.02816231996043,0.884,0.324,0
ECHS1,0,1.10136509952205,0.798,0.239,0
MRPL14,0,1.19655201004765,0.825,0.266,0
COA3,0,1.41739360092757,0.754,0.195,0
BRI3,0,1.13537813881507,0.903,0.345,0
CTNNA1,0,1.34883067396743,0.743,0.187,0
CD59,0,1.30997565918316,0.869,0.313,0
VKORC1,0,1.014777993499,0.835,0.28,0
YBX3,0,1.05149833551385,0.837,0.283,0
PSMB5,0,1.11408418626172,0.807,0.253,0
PRDX3,0,1.01159340347234,0.801,0.248,0
NDUFC1,0,0.950348618732386,0.851,0.298,0
PRDX4,0,1.33003984460077,0.754,0.201,0
ATOX1,0,0.872919334073123,0.842,0.293,0
SMIM14,0,1.16735245385811,0.762,0.214,0
NME1,0,1.37252847502975,0.75,0.202,0
TSPAN3,0,1.5114443583645,0.709,0.162,0
FCGRT,0,0.995317875357932,0.838,0.291,0
ATP1B1,0,1.58965270864758,0.753,0.207,0
FKBP2,0,0.952868192322999,0.892,0.346,0
SYNGR2,0,0.883938012226204,0.838,0.292,0
MLF2,0,0.976000189713059,0.781,0.237,0
MRPL55,0,0.937346888615721,0.797,0.254,0
CHMP4B,0,0.869486616947906,0.812,0.269,0
PTMS,0,1.06080777055418,0.838,0.295,0
TXNDC17,0,1.15424329831825,0.87,0.327,0
MRPS15,0,0.842688182948674,0.808,0.267,0
TMED3,0,1.35232377999983,0.743,0.203,0
TCEAL4,0,1.25425546971007,0.727,0.188,0
DUSP23,0,1.16546255268699,0.75,0.212,0
UQCC2,0,1.07233444941363,0.762,0.224,0
HSBP1,0,0.960976683282567,0.908,0.37,0
PLD3,0,1.23251983275182,0.769,0.231,0
PDIA4,0,1.29619124891755,0.757,0.22,0
KDELR1,0,0.852818515861328,0.809,0.274,0
NAXE,0,1.17731068939204,0.729,0.194,0
TMEM14C,0,0.904651393743485,0.852,0.318,0
IFI27,0,1.88022687517829,0.717,0.183,0
COA4,0,1.03013598824068,0.745,0.212,0
GRN,0,0.999989079106047,0.879,0.346,0
EPHX1,0,2.71730793969723,0.624,0.092,0
APLP2,0,1.01467504418773,0.899,0.367,0
CYSTM1,0,0.974685333304583,0.798,0.267,0
QSOX1,0,1.32788919835347,0.704,0.173,0
NDUFAB1,0,0.823395166912638,0.868,0.337,0
HDLBP,0,1.14191463814221,0.743,0.213,0
PHLDA2,0,1.52519647241915,0.713,0.184,0
YIF1A,0,1.19364291096079,0.728,0.199,0
CTSZ,0,1.22567418935791,0.837,0.308,0
DPY30,0,0.701110702430013,0.816,0.288,0
CAMTA1,0,0.877155261140814,0.788,0.261,0
ADI1,0,1.01665229892093,0.755,0.228,0
AGPAT2,0,1.19055962968617,0.732,0.205,0
PHPT1,0,0.880477134754102,0.88,0.353,0
ARPC1A,0,1.32615712934817,0.716,0.189,0
IGFBP2,0,2.27041241834536,0.663,0.137,0
CREG1,0,1.02690270830082,0.736,0.211,0
ETFB,0,0.87010163080632,0.814,0.289,0
TIMM8B,0,0.780720159861898,0.807,0.283,0
NHP2,0,0.861082820737874,0.812,0.289,0
PPP1R14B,0,1.64310066073803,0.682,0.159,0
SDC4,0,1.48370446448827,0.686,0.163,0
KRT18,0,2.41864588163404,0.648,0.126,0
COPZ1,0,0.824647778826702,0.818,0.297,0
PPIC,0,1.95415685627954,0.628,0.108,0
TIMM13,0,0.84980214659621,0.778,0.258,0
MRPS36,0,0.716420127877552,0.805,0.286,0
TKT,0,0.966463242696835,0.898,0.38,0
RBM47,0,1.5481464225775,0.668,0.15,0
PPA2,0,1.04650283181884,0.725,0.207,0
KRT8,0,2.4705097100448,0.628,0.11,0
MRPS16,0,0.882324168179824,0.738,0.221,0
METTL26,0,0.995507280935895,0.79,0.273,0
SCPEP1,0,1.02354424925096,0.75,0.233,0
ORMDL2,0,0.800388391745761,0.767,0.251,0
RAB34,0,1.73129883287656,0.653,0.138,0
MPST,0,1.34340749857515,0.685,0.17,0
TCEAL9,0,1.58201332705038,0.657,0.142,0
MDK,0,2.72422126474444,0.613,0.099,0
GSN,0,1.20948038807173,0.721,0.208,0
PTTG1IP,0,0.91556880865115,0.74,0.227,0
ZNF593,0,1.19049230937858,0.689,0.177,0
CYC1,0,0.810595230798343,0.804,0.292,0
SPTSSA,0,1.6148068819631,0.695,0.183,0
CENPX,0,1.01712884710136,0.717,0.205,0
RRBP1,0,0.735932196908384,0.771,0.259,0
MRPL40,0,1.08108285019331,0.704,0.192,0
CYB5R3,0,0.845399912164763,0.75,0.238,0
TMEM179B,0,0.823393280496257,0.76,0.249,0
ARL1,0,1.23635637782112,0.678,0.168,0
FAAP20,0,0.920532631328036,0.731,0.222,0
CNIH4,0,0.829966027077871,0.768,0.259,0
LTA4H,0,0.930035686476146,0.779,0.27,0
CISD3,0,1.06037575691296,0.697,0.188,0
BLVRA,0,1.25833726281599,0.717,0.209,0
NDUFA8,0,0.946398038111315,0.715,0.207,0
ATP6AP1,0,0.863433298330966,0.747,0.239,0
MRPS34,0,0.767629696967928,0.755,0.248,0
MAP3K13,0,1.04006291826859,0.692,0.186,0
PDCD6,0,1.13720059449965,0.835,0.329,0
MLEC,0,0.944583923472028,0.73,0.224,0
HCFC1R1,0,1.15499806104858,0.683,0.178,0
ALCAM,0,1.41349679772256,0.657,0.152,0
MGLL,0,2.14997834797488,0.611,0.106,0
RPL26L1,0,1.1896979468569,0.676,0.171,0
CLDN7,0,2.20163239554166,0.61,0.105,0
RAB31,0,1.1474521711775,0.721,0.216,0
POLR2I,0,0.775298061974936,0.743,0.238,0
TMEM205,0,1.11797862460157,0.698,0.193,0
GRINA,0,0.968028983130375,0.736,0.232,0
SLPI,0,2.11465050878543,0.645,0.141,0
LAMP2,0,0.982874632396901,0.743,0.239,0
PDLIM1,0,1.31770562498786,0.675,0.172,0
GTF2I,0,0.858250406182084,0.734,0.231,0
MRPL27,0,0.931164525271175,0.708,0.205,0
HDGF,0,1.26894990524596,0.67,0.168,0
TMEM141,0,1.11562983037451,0.674,0.172,0
MVP,0,1.01841034030142,0.727,0.227,0
MRPL36,0,1.23575877947146,0.672,0.173,0
UQCRC1,0,0.843027912646586,0.727,0.228,0
MRPS23,0,1.08602674118932,0.66,0.161,0
SMIM22,0,2.65252469166269,0.56,0.062,0
APP,0,1.32853204908418,0.674,0.176,0
PPCS,0,0.724949016983826,0.743,0.245,0
FLOT1,0,0.796010588023142,0.728,0.23,0
CHCHD1,0,0.815936587693104,0.717,0.219,0
STOML2,0,0.893749151091234,0.717,0.22,0
TMEM208,0,0.772001651311935,0.734,0.237,0
AK2,0,0.932941440335614,0.691,0.194,0
PNKD,0,0.943347115417829,0.693,0.196,0
GTF2H5,0,0.713288808355855,0.743,0.247,0
REXO2,0,0.820096387159873,0.719,0.223,0
MRPL12,0,1.27905325164442,0.654,0.158,0
WFDC2,0,2.53881028491076,0.613,0.117,0
ANXA4,0,1.00292630672311,0.699,0.203,0
DSTN,0,0.955507708109545,0.905,0.41,0
NECTIN2,0,1.82279347097773,0.607,0.112,0
PDXK,0,0.861790193523549,0.724,0.229,0
IFI6,0,1.0539032946724,0.818,0.323,0
EI24,0,1.16717889997331,0.658,0.164,0
SDF2L1,0,0.751248688373695,0.767,0.273,0
CD46,0,0.766879729913663,0.776,0.283,0
ARL2,0,1.07582654572252,0.687,0.195,0
MMP24OS,0,0.908381593577744,0.744,0.252,0
RNPEP,0,1.09300231168972,0.666,0.175,0
SPATS2L,0,0.999187203402307,0.725,0.234,0
