"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MUC1,0,-3.38564281619386,0.08,0.793,0,Neutral,MUC1
NAPSA,0,-3.73733724962355,0.094,0.781,0,Neutral,NAPSA
SFTA3,0,-3.69635131516621,0.058,0.743,0,Neutral,SFTA3
SDC1,0,-3.81123972021976,0.057,0.74,0,Neutral,SDC1
WFDC2,0,-3.11802840114177,0.122,0.778,0,Neutral,WFDC2
SFTPB,0,-3.54185783205786,0.14,0.793,0,Neutral,SFTPB
KRT18,0,-2.76926006229999,0.133,0.782,0,Neutral,KRT18
SMIM22,0,-2.96397321720498,0.068,0.702,0,Neutral,SMIM22
EPCAM,0,-3.0614174305092,0.076,0.709,0,Neutral,EPCAM
SLC34A2,0,-3.84696858976467,0.05,0.683,0,Neutral,SLC34A2
SELENOM,0,-1.94950313435836,0.224,0.856,0,Neutral,SELENOM
S100A14,0,-3.52386205629624,0.057,0.687,0,Neutral,S100A14
TSPAN13,0,-2.37804438359098,0.094,0.724,0,Neutral,TSPAN13
KRT8,0,-2.78609707146968,0.118,0.747,0,Neutral,KRT8
NKX2-1,0,-3.39736920631307,0.052,0.679,0,Neutral,NKX2-1
SLPI,0,-3.00416462500495,0.148,0.775,0,Neutral,SLPI
FOLR1,0,-3.36497123973499,0.078,0.697,0,Neutral,FOLR1
MGST1,0,-2.85211817818931,0.164,0.782,0,Neutral,MGST1
MAL2,0,-3.16970548677307,0.062,0.673,0,Neutral,MAL2
EMP2,0,-2.58622375896762,0.101,0.71,0,Neutral,EMP2
SELENBP1,0,-3.71313143393954,0.054,0.658,0,Neutral,SELENBP1
PTPRC,0,3.89951922969309,0.715,0.116,0,Neutral,PTPRC
CRNDE,0,-3.43401180872442,0.057,0.655,0,Neutral,CRNDE
KRT19,0,-2.33748509942355,0.113,0.708,0,Neutral,KRT19
KRT7,0,-2.87119895647972,0.095,0.686,0,Neutral,KRT7
AK1,0,-2.81496358722802,0.107,0.697,0,Neutral,AK1
EPHX1,0,-3.2542396666183,0.103,0.689,0,Neutral,EPHX1
CLDN4,0,-2.78701728843289,0.075,0.655,0,Neutral,CLDN4
MGLL,0,-2.71005051234312,0.115,0.694,0,Neutral,MGLL
SFTA2,0,-3.37182038640669,0.071,0.649,0,Neutral,SFTA2
LAPTM5,0,3.54901458042446,0.767,0.19,0,Neutral,LAPTM5
LPCAT1,0,-2.3610175399342,0.14,0.717,0,Neutral,LPCAT1
NME4,0,-2.59594329251451,0.111,0.687,0,Neutral,NME4
FKBP2,0,-1.76202876436356,0.359,0.931,0,Neutral,FKBP2
