"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NPC2,1.67271631003853e-56,-1.41103077785825,0.653,0.945,1.93884547496566e-52
CTSH,1.01196862988746e-53,-1.97522171323267,0.43,0.849,1.17297283890255e-49
HLA-DRA,3.83457516516279e-45,-1.4902282626865,0.653,0.909,4.44465607394019e-41
HLA-DMA,4.65741581130818e-44,-1.88630327438132,0.402,0.797,5.39841066688732e-40
IL32,4.75853765897263e-43,2.03999075523447,0.757,0.315,5.51562100051518e-39
HLA-DPA1,3.05365317857992e-39,-1.59781156957654,0.566,0.833,3.53948939929198e-35
HLA-DPB1,7.60172298062853e-39,-1.85663084063671,0.506,0.791,8.81115710684653e-35
OPTN,9.05459673166248e-38,2.51488812156753,0.514,0.115,1.049518307167e-33
HLA-DMB,2.63256417800185e-35,-3.121722979041,0.179,0.594,3.05140513872195e-31
FCGRT,2.71924424406268e-34,-1.69289300757518,0.375,0.75,3.15187600329306e-30
S100A16,2.79471049217396e-34,2.40627157570371,0.594,0.25,3.23934893147884e-30
FCGR2A,4.68418417815477e-31,-2.72956098415867,0.112,0.541,5.42943788089919e-27
HLA-DQB1,6.00423444187834e-31,-1.94878439465137,0.418,0.7,6.95950814158119e-27
CEBPD,7.24118353048151e-29,-1.28827410171491,0.478,0.799,8.39325583018112e-25
GRN,1.41957285481746e-28,-1.18256963453894,0.562,0.813,1.64542689601892e-24
HLA-DQA1,3.49461473773699e-27,-2.26495720151615,0.299,0.615,4.05060794251095e-23
TPM4,4.64354668414269e-27,1.31488037756128,0.777,0.495,5.38233496158979e-23
XIST,6.19172164471287e-27,-1.65652130637845,0.323,0.67,7.17682455838668e-23
TYROBP,6.59219916997599e-25,-2.02455973214097,0.271,0.607,7.64101805791917e-21
HLA-DRB5,2.71741439292961e-24,-2.19767802964318,0.287,0.584,3.14975502284471e-20
SCPEP1,7.31238523153566e-24,-1.95931757409451,0.227,0.573,8.47578572187298e-20
HLA-DQA2,1.11280703096972e-23,-2.33818703476757,0.187,0.521,1.289854629597e-19
MIR4435-2HG,2.57556144705144e-23,1.88603514324622,0.546,0.221,2.98533327327733e-19
ALDH2,4.64641893891701e-23,-1.23564095694452,0.422,0.716,5.3856641920987e-19
CTSZ,5.41082600902856e-23,-1.20704836753443,0.486,0.752,6.271688427065e-19
CCT5,7.94033047325043e-23,1.2096953544363,0.725,0.435,9.20363705154457e-19
RNASE1,1.86819177951025e-22,-2.00420119453138,0.219,0.558,2.16542109163033e-18
RAB31,1.12656868466602e-21,-1.48786766572139,0.275,0.61,1.30580576239639e-17
OCIAD2,1.52209698928371e-20,1.27498567591551,0.697,0.412,1.76426262027874e-16
AIF1,1.86225627247814e-19,-1.89051856757771,0.231,0.534,2.15854124542942e-15
FCER1G,5.74544413364196e-19,-1.9641640576073,0.263,0.547,6.6595442953044e-15
CXCL16,6.79964013476062e-19,-1.27367562423466,0.311,0.633,7.88146288020104e-15
PERP,7.26062988551773e-19,1.58581724247082,0.526,0.247,8.4157961003036e-15
EIF5A,9.71299362198617e-19,0.928493795223689,0.841,0.568,1.12583309072442e-14
BUD31,1.25532522212547e-17,0.934450610406576,0.721,0.443,1.45504746496563e-13
GLRX3,1.27962892761032e-17,1.25637333210037,0.606,0.325,1.48321788999312e-13
CPM,2.58879409171502e-17,-1.59492395175515,0.283,0.557,3.00067123170688e-13
CARHSP1,8.00525641366344e-17,1.31691204592812,0.566,0.297,9.27889270907729e-13
PDCD10,4.45223116517536e-16,1.27804911463281,0.566,0.292,5.16058114355477e-12
VDAC3,6.70080177530916e-16,1.14982325224329,0.606,0.344,7.76689933776084e-12
MRPL13,1.82048582240481e-14,1.23790020764523,0.55,0.299,2.11012511674942e-10
