"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,3.09371001985911,0.333,0.04,0,Positive,LPL
2,0,2.99164884337967,0.336,0.049,0,Positive,CYP27A1
3,0,2.8475483037139,0.289,0.039,0,Positive,C2
4,0,2.67323463887716,0.364,0.063,0,Positive,MSR1
5,0,2.65642760183918,0.337,0.052,0,Positive,SCD
6,0,2.56046942395373,0.357,0.072,0,Positive,CCL18
7,0,2.50792524550848,0.284,0.044,0,Positive,PPARG
8,0,2.50074408150089,0.307,0.053,0,Positive,CES1
9,0,2.49948697163371,0.275,0.041,0,Positive,FAM89A
10,0,2.48297383349209,0.327,0.051,0,Positive,PHLDA3
11,0,2.47581126156446,0.35,0.079,0,Positive,MARCO
12,0,2.43829343649249,0.466,0.095,0,Positive,NUPR1
13,0,2.36884378619834,0.305,0.063,0,Positive,MCEMP1
14,0,2.36789314837451,0.277,0.046,0,Positive,INHBA
15,0,2.34479064722189,0.33,0.051,0,Positive,ALDH1A1
16,0,2.33330712037343,0.338,0.098,0,Positive,FABP4
17,0,2.30218757478661,0.398,0.08,0,Positive,GPNMB
18,0,2.28508413592672,0.293,0.047,0,Positive,SLCO2B1
19,0,2.2735411962349,0.426,0.09,0,Positive,SERPING1
20,0,2.27022088376452,0.364,0.07,0,Positive,PPIC
21,0,-3.09371001985911,0.04,0.333,0,Other,LPL
22,0,-2.99164884337967,0.049,0.336,0,Other,CYP27A1
23,0,-2.8475483037139,0.039,0.289,0,Other,C2
24,0,-2.67323463887716,0.063,0.364,0,Other,MSR1
25,0,-2.65642760183918,0.052,0.337,0,Other,SCD
26,0,-2.56046942395373,0.072,0.357,0,Other,CCL18
27,0,-2.50792524550848,0.044,0.284,0,Other,PPARG
28,0,-2.50074408150089,0.053,0.307,0,Other,CES1
29,0,-2.49948697163371,0.041,0.275,0,Other,FAM89A
30,0,-2.48297383349209,0.051,0.327,0,Other,PHLDA3
31,0,-2.47581126156446,0.079,0.35,0,Other,MARCO
32,0,-2.43829343649249,0.095,0.466,0,Other,NUPR1
33,0,-2.36884378619834,0.063,0.305,0,Other,MCEMP1
34,0,-2.36789314837451,0.046,0.277,0,Other,INHBA
35,0,-2.34479064722189,0.051,0.33,0,Other,ALDH1A1
36,0,-2.33330712037343,0.098,0.338,0,Other,FABP4
37,0,-2.30218757478661,0.08,0.398,0,Other,GPNMB
38,0,-2.28508413592672,0.047,0.293,0,Other,SLCO2B1
39,0,-2.2735411962349,0.09,0.426,0,Other,SERPING1
40,0,-2.27022088376452,0.07,0.364,0,Other,PPIC
