"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-7.35855866708237,0.006,0.41,0,Neutral,AK5
2,4.37319334572529e-131,-2.70970913714851,0.078,0.317,6.64769120483702e-127,Neutral,MMP11
3,1.03517521356213e-120,-2.57173544270855,0.119,0.385,1.57356984213579e-116,Neutral,CTSK
4,1.10101317966038e-104,-2.10565942852944,0.075,0.286,1.67365013440174e-100,Neutral,POSTN
5,2.14881859414153e-101,-2.32354061774478,0.067,0.261,3.26641914495453e-97,Neutral,ADAMTS12
6,9.58968010232236e-90,-3.18342795532209,0.078,0.267,1.45772727235402e-85,Neutral,LAD1
7,3.88787255731092e-86,-1.97897260193341,0.151,0.394,5.90995507436832e-82,Neutral,CTHRC1
8,4.87876154666208e-81,-1.85625805846896,0.096,0.301,7.41620542708103e-77,Neutral,FAP
9,2.64707131006343e-80,-1.93416765081001,0.101,0.307,4.02381309842742e-76,Neutral,ECM1
10,2.99152275901136e-77,-1.8490943038943,0.11,0.319,4.54741374597317e-73,Neutral,PRRX1
11,6.75440200062018e-77,-1.82089079078995,0.115,0.329,1.02673664811427e-72,Neutral,COL6A3
12,1.82200941407182e-76,-1.77507447803288,0.075,0.255,2.76963651033057e-72,Neutral,CREB3L1
13,1.89785537668605e-75,-1.88035950351523,0.18,0.418,2.88492995810046e-71,Neutral,COL6A2
14,6.1592862379272e-74,-1.87726354490944,0.106,0.306,9.36273101027314e-70,Neutral,RCN3
15,8.05307494978152e-74,-1.89081033540175,0.149,0.377,1.22414792311629e-69,Neutral,CADM1
16,1.19982760650013e-70,-1.22709524372224,0.167,0.41,1.82385794464085e-66,Neutral,LUM
17,1.24153650857319e-67,-1.95562942109073,0.171,0.39,1.88725964668211e-63,Neutral,COL6A1
18,1.50452891637833e-67,-1.62576481930339,0.173,0.399,2.2870344057867e-63,Neutral,MMP2
19,4.76930555645034e-65,-1.77840424569199,0.139,0.348,7.24982137636016e-61,Neutral,AEBP1
