"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A13,0,1.65508688401929,0.722,0.306,0
S100A16,0,1.23136623184076,0.677,0.279,0
TMEM14C,0,0.98768752436363,0.728,0.33,0
KRT8,0,1.69702999647198,0.65,0.255,0
LGALS3BP,0,1.1150574051019,0.695,0.301,0
MDK,0,1.51434092331619,0.678,0.285,0
PHPT1,0,1.01863859705192,0.744,0.351,0
BEX3,0,1.38768410946699,0.641,0.249,0
PCBD1,0,1.39442072766934,0.619,0.233,0
RAB13,0,0.935262617553299,0.719,0.333,0
TMEM147,0,0.944799566704226,0.764,0.381,0
TM4SF1,0,1.29298787978265,0.708,0.325,0
KRT18,0,1.71763860760038,0.64,0.259,0
PHB,0,0.910922683292303,0.698,0.317,0
NECTIN2,0,1.0909013799733,0.671,0.291,0
LAPTM4B,0,1.61504372362613,0.6,0.221,0
FIS1,0,1.05130161606325,0.753,0.375,0
PTMS,0,1.05143325985185,0.714,0.336,0
DUSP23,0,1.21823378022686,0.614,0.24,0
PSMB5,0,0.827585949633825,0.729,0.355,0
CYC1,0,1.12479652057723,0.76,0.388,0
HCFC1R1,0,1.24468687422389,0.648,0.277,0
CD151,0,1.06436416649339,0.646,0.276,0
BANF1,0,0.874543057354686,0.76,0.391,0
TNFRSF12A,0,0.884999489359244,0.736,0.367,0
GIPC1,0,1.52558951136207,0.562,0.194,0
CRIP2,0,1.73735521471169,0.539,0.171,0
KRT19,0,1.80526879988288,0.582,0.214,0
LAMTOR2,0,0.802141881357834,0.679,0.313,0
CD9,0,1.38961160277836,0.705,0.339,0
ATP5G1,0,0.824084232795208,0.701,0.335,0
DDAH2,0,0.94965994276817,0.672,0.307,0
C16orf13,0,0.779153329458643,0.667,0.302,0
EMP1,0,0.846481997390445,0.714,0.349,0
NME1,0,0.871765194987987,0.655,0.291,0
NHP2,0,0.895859196458325,0.738,0.374,0
MSLN,0,1.80145346100105,0.514,0.15,0
PLK2,0,0.867382794519211,0.615,0.252,0
NAA38,0,0.929261781482308,0.628,0.265,0
NME4,0,1.29541691365808,0.563,0.2,0
NDUFB7,0,1.00971810724285,0.8,0.439,0
DSP,0,1.67517277694112,0.516,0.155,0
KRT7,0,1.80380063472382,0.545,0.185,0
SLC25A39,0,0.98771804399809,0.62,0.26,0
CAPNS1,0,1.02060329495357,0.598,0.239,0
C19orf33,0,1.84793385782767,0.522,0.163,0
HMGN3,0,1.10252712299654,0.646,0.288,0
ZNF428,0,0.749248674770162,0.618,0.261,0
ANAPC11,0,0.921216948781756,0.806,0.451,0
EPCAM,0,1.69373622760909,0.513,0.158,0
ASS1,0,1.72137728023641,0.504,0.149,0
ECHS1,0,0.994599031166133,0.584,0.229,0
CLDN4,0,1.77600908772691,0.537,0.183,0
CLDN3,0,1.86471421165378,0.508,0.154,0
PPP1R14B,0,1.01877491509838,0.737,0.383,0
PDLIM1,0,1.24861620961498,0.558,0.205,0
PTRHD1,0,0.899006129158573,0.609,0.256,0
SOX4,0,0.927317030181994,0.651,0.299,0
NAXE,0,1.00734872136243,0.583,0.231,0
FIBP,0,0.871954428429656,0.579,0.227,0
FAM162A,0,0.972393997289433,0.628,0.277,0
WFDC2,0,1.84727185160103,0.592,0.241,0
CD24,0,1.81059871484684,0.561,0.211,0
PHLDA2,0,0.974984917994448,0.646,0.296,0
PRDX2,0,0.943254304098362,0.635,0.285,0
ZNF593,0,0.859663620147411,0.61,0.26,0
LSM4,0,0.879245992677162,0.625,0.275,0
PNKD,0,0.956298510050006,0.576,0.227,0
HSPB1,0,0.826953300869734,0.806,0.458,0
CNN3,0,1.12734900637971,0.569,0.221,0
PRDX5,0,1.18786055783014,0.827,0.479,0
STRA13,0,0.977376814028085,0.578,0.23,0
TPM1,0,1.18530944698653,0.556,0.209,0
YIF1A,0,0.827606391756561,0.599,0.252,0
NDUFB5,0,0.819259814739119,0.606,0.26,0
HEBP2,0,1.11784004212829,0.713,0.367,0
ARPC1A,0,0.897474514118165,0.591,0.245,0
MRPS16,0,0.822875726267868,0.589,0.243,0
SPINT2,0,1.58757875648053,0.618,0.272,0
TACSTD2,0,1.79247824628531,0.537,0.192,0
MYL6B,0,1.13934430307819,0.543,0.198,0
MFGE8,0,1.41795347351059,0.567,0.222,0
CHCHD10,0,1.12712030791682,0.68,0.336,0
FAAP20,0,0.785822782918008,0.609,0.266,0
NDUFV1,0,0.804463555162607,0.584,0.241,0
TSTD1,0,0.969472872503914,0.602,0.26,0
MRPL11,0,0.783271853038947,0.586,0.245,0
BLVRB,0,0.846564311708906,0.582,0.241,0
TMED3,0,0.916921608311916,0.586,0.246,0
FLOT1,0,0.823869129728546,0.591,0.252,0
DNPH1,0,0.715315148257034,0.583,0.244,0
CTTN,0,1.28786057830649,0.52,0.182,0
LYRM4,0,0.883059192021651,0.571,0.234,0
PTOV1,0,0.925732910295171,0.556,0.22,0
MRPL12,0,0.883615289266549,0.589,0.253,0
CRABP2,0,1.5971981886453,0.517,0.182,0
ARL2,0,0.966853141992398,0.552,0.218,0
IGFBP2,0,1.58809467538447,0.562,0.229,0
SLPI,0,1.76655517491447,0.615,0.282,0
BCL7C,0,0.819800167915928,0.567,0.236,0
CYR61,0,1.08454627345304,0.531,0.201,0
CLU,0,1.49783120132896,0.585,0.255,0
AK2,0,0.932033586163197,0.539,0.212,0
TMEM141,0,1.20336354988101,0.508,0.183,0
TMEM261,0,0.939899617588693,0.526,0.202,0
CITED4,0,1.3794795800022,0.5,0.177,0
MLF1,0,1.02469748897599,0.522,0.199,0
TATDN1,0,1.25105675210454,0.515,0.192,0
EBPL,0,0.886221472797038,0.524,0.201,0
UQCC3,0,1.04733674824856,0.509,0.187,0
LSR,0,0.969349842183064,0.529,0.208,0
SDC4,0,1.07829487354005,0.553,0.232,0
SRGN,0,-1.44246180987512,0.383,0.704,0
CKB,0,0.893535727269103,0.525,0.205,0
TSTA3,0,0.995220130552867,0.521,0.205,0
TMEM205,0,1.04969860803079,0.555,0.239,0
GPAA1,0,1.03570693137092,0.517,0.201,0
GSTP1,0,1.18642812467683,0.887,0.573,0
SHARPIN,0,0.889891987802159,0.508,0.194,0
AGPAT2,0,1.02919597240558,0.522,0.209,0
TAX1BP3,0,0.96036592850653,0.515,0.203,0
NDUFB9,0,1.43692968722521,0.842,0.533,0
CCND1,0,1.2830122418357,0.503,0.2,0
CD47,1.1125369292536e-308,1.05462188784904,0.678,0.337,1.11253692926111e-308
NDUFS4,1.1125369292536e-308,0.76916601659055,0.663,0.303,1.11253692930617e-308
IFITM3,1.11253692925397e-308,0.951393147163218,0.768,0.423,1.11253693485628e-308
EBNA1BP2,1.11253692925543e-308,0.731629437958361,0.579,0.241,1.11253695706421e-308
COA4,1.11253692925633e-308,0.867651069248556,0.566,0.24,1.11253697074045e-308
PRDX4,1.11253692926018e-308,0.801233522939697,0.655,0.295,1.11253702930571e-308
POLR2H,1.11253692995559e-308,0.738138942862071,0.594,0.254,1.11254760015419e-308
CTNNA1,1.11253693143467e-308,0.794951790551314,0.574,0.243,1.11257008369247e-308
ATOX1,1.1125369821093e-308,0.793476484645805,0.717,0.352,1.11334038872075e-308
RAB34,1.11253701604413e-308,0.883457120603251,0.55,0.23,1.11385623211232e-308
CD81,1.11253860259591e-308,0.855424529475709,0.634,0.292,1.13797340573807e-308
NDUFS6,1.116676915096e-308,0.835296911309777,0.749,0.388,1.25863849580671e-306
PGLS,1.19196197718473e-308,0.755759699850876,0.676,0.316,2.41468030720231e-305
SUCLG1,2.00274010995181e-307,0.700577441960721,0.515,0.207,3.04436524113775e-303
TIMM50,2.30690554949559e-307,0.749348611954591,0.507,0.204,3.50672712578824e-303
NDUFB2,6.02895407419489e-307,0.819917221745138,0.845,0.502,9.16461308818364e-303
PDCD5,1.75077079029443e-305,0.826797385294373,0.729,0.365,2.66134667832656e-301
TCEAL4,2.94521175632033e-304,0.716293654716681,0.563,0.24,4.47701639078254e-300
MRPL3,7.58665128970744e-304,0.698839443108989,0.541,0.224,1.15324686254843e-299
HDLBP,2.59557776934822e-302,0.723992252518241,0.639,0.29,3.94553776718623e-298
PDLIM2,5.78524130112068e-301,0.866583533339262,0.521,0.216,8.79414530183354e-297
PSENEN,9.63446389254747e-301,0.769014182959462,0.645,0.3,1.46453485630614e-296
TMEM219,4.15958275351943e-298,0.743657257208811,0.723,0.359,6.32298174362488e-294
RAB4A,1.29182706301939e-297,0.797919902345261,0.568,0.248,1.96370631849578e-293
APP,1.68158921528868e-297,0.782458790153695,0.57,0.246,2.55618376616032e-293
UQCRC1,4.05768192516712e-297,0.754693639110878,0.583,0.256,6.16808229444654e-293
DUT,2.23286025932404e-296,0.710384579975109,0.554,0.236,3.39417088019847e-292
ARF3,4.22086799832976e-292,0.730226772386625,0.522,0.22,6.41614144426106e-288
ROMO1,8.14886794273916e-288,0.741317984287256,0.686,0.337,1.23870941597578e-283
ATP5J,1.57504627547538e-287,0.80423026391839,0.859,0.544,2.39422784335013e-283
ATP5H,9.17655531833378e-287,0.755871841301845,0.781,0.424,1.39492817393992e-282
COX6B1,1.06622704825548e-286,0.796713340353564,0.925,0.667,1.62077173605315e-282
UBE2E1,4.42313181248075e-283,0.701847284635999,0.522,0.219,6.72360266815199e-279
PERP,3.19711849285772e-282,1.11743712439264,0.587,0.281,4.85993982099302e-278
PLEC,7.9696628333883e-282,1.11284690257379,0.532,0.238,1.21146844730336e-277
C4orf48,2.09160583770973e-281,0.871778782612292,0.586,0.272,3.17945003390256e-277
ERGIC3,5.20703080729116e-280,0.743408133998132,0.77,0.417,7.9152075301633e-276
MRPL51,7.70867074273734e-280,0.74125359366105,0.784,0.423,1.1717950396035e-275
COMT,3.48106010628222e-277,0.742987716874518,0.529,0.226,5.29155946755961e-273
MRPL33,1.55601463635205e-276,0.86929221726482,0.658,0.329,2.36529784871875e-272
RCN1,2.60419675232304e-276,0.802042976442832,0.518,0.221,3.95863948320625e-272
MRPL23,2.69715376630452e-276,0.712069698772861,0.674,0.329,4.0999434401595e-272
NDUFS8,3.71115902438941e-276,0.712316944950715,0.692,0.346,5.64133283297435e-272
TSPO,2.77467655355423e-274,0.766020904371918,0.799,0.451,4.21778582905778e-270
NDUFC2,1.56327887441042e-272,0.822916071208843,0.837,0.51,2.37634021699128e-268
PPA1,2.51395484301338e-268,0.785512692080085,0.766,0.427,3.82146275686464e-264
GADD45A,4.62388133223038e-266,0.746796351608126,0.76,0.434,7.0287620131234e-262
IFI27,1.8884324074411e-265,0.997566937177552,0.632,0.339,2.87060610255122e-261
HMGA1,1.5587661261741e-264,0.806145234272371,0.776,0.446,2.36948038839724e-260
VPS28,1.5261316946266e-263,0.919801498422648,0.739,0.396,2.31987278900189e-259
