"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-0.570735438146448,0.673,0.816,0,Neutral,TMBIM6
2,1.11253692925363e-308,-0.762028073682983,0.509,0.69,1.11253692973426e-308,Neutral,ZFAND5
3,1.50265831206444e-288,-1.74211140521124,0.169,0.322,2.28419090016916e-284,Neutral,TNFAIP2
4,4.53632118917462e-244,-0.816981642615638,0.421,0.582,6.89566183966433e-240,Neutral,PPA1
5,1.98905224227946e-206,-0.698675761240127,0.392,0.552,3.02355831348901e-202,Neutral,PSMB2
6,1.35616546376559e-197,-0.569649290182662,0.556,0.716,2.06150712147007e-193,Neutral,NPC2
7,4.84967347161322e-188,-0.691543133341613,0.296,0.454,7.37198864419925e-184,Neutral,TXNRD1
8,2.02745934821244e-187,-0.725963727473461,0.288,0.444,3.08194095521772e-183,Neutral,NECTIN2
9,4.57618078901992e-187,-0.57892238314553,0.329,0.491,6.95625241738918e-183,Neutral,RAB13
10,1.47979995849909e-181,-0.833271814642047,0.556,0.692,2.24944391691446e-177,Neutral,SOD2
11,2.33686549057813e-181,-0.8189335756391,0.209,0.346,3.55226923222782e-177,Neutral,CXCL16
12,1.09009569639814e-175,-0.526550390962128,0.566,0.706,1.65705446809481e-171,Neutral,PKM
13,1.09846830093762e-174,-0.898474921085532,0.27,0.408,1.66978166425527e-170,Neutral,SPINT2
14,5.11653683129869e-168,-0.877626749216098,0.203,0.334,7.77764763725714e-164,Neutral,CKB
15,2.71042686442341e-165,-0.489978488073721,0.543,0.69,4.12011987661003e-161,Neutral,CSTB
16,1.24580207211429e-164,-0.630796334748257,0.288,0.436,1.89374372982093e-160,Neutral,CREG1
17,1.22456759655525e-162,-0.857828508846851,0.143,0.259,1.86146520352364e-158,Neutral,MGLL
18,1.27220237799414e-162,-0.422439468514503,0.556,0.711,1.93387483478889e-158,Neutral,GPX1
19,6.63798158508448e-160,-0.628626238631379,0.337,0.484,1.00903958074869e-155,Neutral,CD9
20,1.13048243829064e-158,-0.55169945919116,0.395,0.55,1.7184463544456e-154,Neutral,PLAUR
21,0,2.10045551477891,0.389,0.164,0,Negative,TNFAIP2
22,0,1.12191112182214,0.767,0.55,0,Negative,SOD2
23,0,1.11776349016381,0.675,0.412,0,Negative,PPA1
24,0,1.09248507521735,0.413,0.203,0,Negative,CXCL16
25,0,1.07689604250249,0.802,0.498,0,Negative,ZFAND5
26,0,0.976803520445269,0.521,0.282,0,Negative,NECTIN2
27,0,0.972299449701648,0.645,0.383,0,Negative,PSMB2
28,0,0.904763665276039,0.525,0.29,0,Negative,TXNRD1
29,0,0.860867606024087,0.928,0.661,0,Negative,TMBIM6
30,0,0.810559034066024,0.571,0.323,0,Negative,RAB13
31,0,0.795887857156043,0.797,0.549,0,Negative,NPC2
32,0,0.727236704540587,0.777,0.56,0,Negative,PKM
33,1.11253692926162e-308,0.88443706266959,0.512,0.281,1.1125370511156e-308,Negative,CREG1
34,1.11253695497805e-308,0.802540918651035,0.63,0.389,1.11292796667475e-308,Negative,PLAUR
35,1.11361378367833e-308,1.18357921829822,0.469,0.266,3.27385282206565e-307,Negative,SPINT2
36,1.59555764298898e-304,0.815288063103741,0.467,0.25,2.42540717310755e-300,Negative,IFNGR2
37,1.75862707017915e-304,1.13852249890896,0.394,0.198,2.67328900937933e-300,Negative,CKB
38,9.95643131087044e-302,0.673348925088164,0.763,0.537,1.51347712356542e-297,Negative,CSTB
