"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-1.87786841728264,0.123,0.382,0,Other,S100A1
2,0,-1.84291250790973,0.082,0.294,0,Other,KLK11
3,0,-1.83552461593261,0.077,0.272,0,Other,SNCG
4,0,-1.81074104162528,0.11,0.376,0,Other,SMIM22
5,0,-1.72329191443417,0.086,0.311,0,Other,KLK8
6,0,-1.71959733920866,0.146,0.456,0,Other,BCAM
7,0,-1.71697005049321,0.119,0.386,0,Other,FOLR1
8,0,-1.71095672366985,0.101,0.345,0,Other,KLK6
9,0,-1.70785068513889,0.216,0.555,0,Other,KRT19
10,0,-1.70619765245129,0.157,0.466,0,Other,CLDN3
11,0,-1.69902577550541,0.08,0.284,0,Other,CTXN1
12,0,-1.68769588441034,0.214,0.512,0,Other,CD24
13,0,-1.68331067925773,0.153,0.469,0,Other,MSLN
14,0,-1.68265399678973,0.089,0.327,0,Other,AP1M2
15,0,-1.67987676837506,0.286,0.573,0,Other,SLPI
16,0,-1.67445920512494,0.105,0.362,0,Other,KLK7
17,0,-1.6720578914598,0.16,0.478,0,Other,EPCAM
18,0,-1.67125323211842,0.093,0.331,0,Other,RAB25
19,0,-1.66413276797246,0.131,0.428,0,Other,CLDN7
20,0,-1.66207153168849,0.099,0.335,0,Other,KCNK15
21,0,1.87786841728264,0.382,0.123,0,Positive,S100A1
22,0,1.84291250790973,0.294,0.082,0,Positive,KLK11
23,0,1.83552461593261,0.272,0.077,0,Positive,SNCG
24,0,1.81074104162528,0.376,0.11,0,Positive,SMIM22
25,0,1.72329191443417,0.311,0.086,0,Positive,KLK8
26,0,1.71959733920866,0.456,0.146,0,Positive,BCAM
27,0,1.71697005049321,0.386,0.119,0,Positive,FOLR1
28,0,1.71095672366985,0.345,0.101,0,Positive,KLK6
29,0,1.70785068513889,0.555,0.216,0,Positive,KRT19
30,0,1.70619765245129,0.466,0.157,0,Positive,CLDN3
31,0,1.69902577550541,0.284,0.08,0,Positive,CTXN1
32,0,1.68769588441034,0.512,0.214,0,Positive,CD24
33,0,1.68331067925773,0.469,0.153,0,Positive,MSLN
34,0,1.68265399678973,0.327,0.089,0,Positive,AP1M2
35,0,1.67987676837506,0.573,0.286,0,Positive,SLPI
36,0,1.67445920512494,0.362,0.105,0,Positive,KLK7
37,0,1.6720578914598,0.478,0.16,0,Positive,EPCAM
38,0,1.67125323211842,0.331,0.093,0,Positive,RAB25
39,0,1.66413276797246,0.428,0.131,0,Positive,CLDN7
40,0,1.66207153168849,0.335,0.099,0,Positive,KCNK15
