"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,6.02892087607266,0.307,0.016,0,Positive,C1QC
2,0,5.95586531623554,0.318,0.026,0,Positive,C1QB
3,0,5.62193614903554,0.327,0.032,0,Positive,C1QA
4,0,4.93105846381418,0.302,0.053,0,Positive,SPP1
5,0,4.61280672339091,0.331,0.076,0,Positive,APOC1
6,0,4.33138691086979,0.344,0.042,0,Positive,RNASE1
7,0,4.26263378192735,0.287,0.038,0,Positive,CD14
8,0,4.17689176161433,0.306,0.036,0,Positive,AIF1
9,0,3.97640243372491,0.554,0.199,0,Positive,APOE
10,0,3.92162383129906,0.251,0.018,0,Positive,ANPEP
11,0,3.91599425509077,0.283,0.026,0,Positive,FCGR2A
12,0,3.83168367850585,0.253,0.034,0,Positive,MMP9
13,0,3.65309704934754,0.385,0.062,0,Positive,IL1B
14,0,3.62278793215882,0.338,0.051,0,Positive,LYZ
15,0,3.53726429876729,0.315,0.035,0,Positive,IL1RN
16,0,3.42507337696374,0.306,0.043,0,Positive,SERPINA1
17,0,3.42368794204654,0.43,0.183,0,Positive,WFDC2
18,0,3.4143038005087,0.336,0.084,0,Positive,BCAM
19,0,3.35220383450888,0.43,0.11,0,Positive,FCER1G
20,0,3.29609943541611,0.391,0.063,0,Positive,CDKN2A
21,7.58895584696802e-21,1.46385183047453,0.587,0.436,1.15359717829761e-16,Neutral,IL32
22,5.0125454058869e-20,1.20272394432488,0.413,0.232,7.61957027148868e-16,Neutral,IL2RG
23,1.31023669554701e-18,1.15705491714123,0.473,0.303,1.99169080090101e-14,Neutral,CD2
24,3.53181039197122e-18,-0.705699853192632,0.666,0.83,5.36870497683545e-14,Neutral,LRRC75A-AS1
25,3.37151275906737e-17,1.11970982878526,0.436,0.272,5.1250365450583e-13,Neutral,TRAC
26,7.3318772751861e-16,-0.919310386414481,0.303,0.508,1.11451866460104e-11,Neutral,YBX3
27,2.30913923980891e-15,1.12070363632022,0.423,0.267,3.51012255843352e-11,Neutral,LSP1
28,1.06689142635695e-14,-0.794931090418017,0.334,0.553,1.6217816572052e-10,Neutral,SNHG8
29,3.24152022802207e-14,1.05411621105168,0.46,0.314,4.92743489861635e-10,Neutral,CD3D
30,3.79969497568499e-14,1.00428300658912,0.441,0.283,5.77591633253875e-10,Neutral,TRBC2
31,4.69594375979429e-14,-1.73659632104986,0.183,0.352,7.13830410926329e-10,Neutral,TM4SF1
32,4.89425691501114e-14,0.839438067782203,0.608,0.47,7.43975993650844e-10,Neutral,ISG15
33,7.14489766404836e-14,1.01392646010143,0.433,0.287,1.08609589391199e-09,Neutral,LIMD2
34,1.56976423793546e-13,1.27572182760572,0.439,0.305,2.3861986180857e-09,Neutral,PSMB9
35,2.12256329880792e-12,-1.47097545767846,0.117,0.278,3.22650847051791e-08,Neutral,PLK2
36,2.87514761725883e-12,0.988845561706725,0.342,0.205,4.37051189299514e-08,Neutral,APOBEC3G
37,4.09584270347329e-12,1.61216005420998,0.274,0.16,6.22609049354975e-08,Neutral,IFI35
38,9.73935811951566e-12,-1.37260535014924,0.225,0.399,1.48047982774757e-07,Neutral,FOS
39,9.84203515518537e-12,-0.962107878216019,0.24,0.411,1.49608776393973e-07,Neutral,MAFF
40,1.004423177039e-11,0.889518001980289,0.595,0.469,1.52682367141698e-07,Neutral,ISG20
41,0,-6.08479140852835,0.016,0.302,0,Negative,C1QC
42,0,-5.99160726218724,0.025,0.312,0,Negative,C1QB
43,0,-5.66036256641,0.032,0.322,0,Negative,C1QA
44,0,-4.96376384323474,0.052,0.297,0,Negative,SPP1
45,0,-4.61532820150032,0.076,0.325,0,Negative,APOC1
46,0,-4.35765504578981,0.041,0.339,0,Negative,RNASE1
47,0,-4.25257594293103,0.038,0.282,0,Negative,CD14
48,0,-4.18014629285917,0.036,0.301,0,Negative,AIF1
49,0,-3.95639875414921,0.198,0.547,0,Negative,APOE
50,0,-3.92767179062682,0.026,0.278,0,Negative,FCGR2A
51,0,-3.65498424267011,0.062,0.379,0,Negative,IL1B
52,0,-3.63963770698236,0.05,0.333,0,Negative,LYZ
53,0,-3.55505274909309,0.035,0.31,0,Negative,IL1RN
54,0,-3.41122603834962,0.043,0.3,0,Negative,SERPINA1
55,0,-3.38818923077896,0.183,0.424,0,Negative,WFDC2
56,0,-3.373465467507,0.084,0.329,0,Negative,BCAM
57,0,-3.3547980340924,0.109,0.425,0,Negative,FCER1G
58,0,-3.30656816700672,0.062,0.453,0,Negative,C15orf48
59,0,-3.27956868955353,0.063,0.384,0,Negative,CDKN2A
60,0,-3.27825640019379,0.166,0.576,0,Negative,CTSL
