"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EPCAM,0,2.84795254582174,0.961,0.146,0
CLDN3,0,2.79831352394298,0.953,0.143,0
MAL2,0,2.54576185035735,0.934,0.135,0
BCAM,0,3.06203596713537,0.927,0.132,0
C19orf33,0,2.63036859650782,0.944,0.153,0
CLDN7,0,2.78656292620689,0.907,0.117,0
CLDN4,0,2.46873416839788,0.951,0.173,0
ELF3,0,2.52260191951174,0.914,0.137,0
MSLN,0,2.80022407324522,0.916,0.141,0
DSP,0,2.61021703693451,0.914,0.146,0
CD24,0,2.93263567857102,0.969,0.201,0
ASS1,0,2.90698910395825,0.907,0.14,0
TACSTD2,0,2.29597186992486,0.949,0.182,0
KRT7,0,2.55194035092098,0.938,0.176,0
KRT19,0,2.82036321883015,0.961,0.206,0
FOLR1,0,3.11003522542593,0.857,0.104,0
LAPTM4B,0,2.8238132637812,0.965,0.214,0
SLC39A4,0,2.6882240696942,0.888,0.144,0
GIPC1,0,2.36774048596024,0.929,0.187,0
SMIM22,0,2.9908277768378,0.833,0.096,0
S100A1,0,2.78200751731417,0.842,0.108,0
PAX8,0,2.55800233092088,0.829,0.095,0
PCBD1,0,2.27023922361097,0.961,0.227,0
CRIP2,0,2.53517106650066,0.898,0.164,0
C6orf132,0,2.41016460472417,0.845,0.115,0
WFDC2,0,2.65298410916879,0.952,0.233,0
KRT8,0,2.4973947710281,0.968,0.251,0
KRT18,0,2.59831877576991,0.97,0.254,0
LSR,0,1.82103087091225,0.914,0.199,0
JUP,0,2.55476044570254,0.82,0.105,0
PPP1R16A,0,2.70992162099139,0.827,0.113,0
ARHGAP29,0,2.35742819374007,0.842,0.13,0
SPINT2,0,2.45400158503565,0.976,0.265,0
S100A14,0,2.5431252451679,0.807,0.097,0
PAFAH1B3,0,2.25387507113488,0.846,0.139,0
NAXE,0,1.83891785344723,0.926,0.225,0
CITED4,0,2.14956593420344,0.867,0.169,0
MUC16,0,2.74424025029068,0.787,0.09,0
ABHD11,0,2.34328967591809,0.82,0.124,0
TATDN1,0,2.28288212487539,0.879,0.184,0
BEX3,0,2.02477883255427,0.941,0.246,0
MUC1,0,2.65311477934065,0.813,0.119,0
DMKN,0,2.32036828673598,0.839,0.145,0
AP1M2,0,3.0031487548012,0.768,0.075,0
CXADR,0,2.53457129399438,0.787,0.095,0
TSTA3,0,1.84416605769203,0.889,0.197,0
FAM213A,0,2.29661918916599,0.8,0.111,0
TSTD1,0,1.64496557628677,0.942,0.254,0
NUDT14,0,2.03649185575293,0.838,0.15,0
SPINT1,0,2.33850385343512,0.798,0.113,0
SLPI,0,2.4690679752769,0.959,0.275,0
UQCC3,0,1.82218078828036,0.862,0.179,0
CRABP2,0,2.34425523197354,0.856,0.175,0
PDLIM1,0,1.89242481782235,0.88,0.199,0
KLK6,0,2.65945172029646,0.769,0.088,0
DUSP23,0,1.59041745964953,0.916,0.236,0
SLC25A39,0,1.68275292264741,0.935,0.255,0
KLK7,0,2.42866247352097,0.772,0.093,0
LSM4,0,1.61615893979061,0.945,0.27,0
PNKD,0,1.6517099909287,0.895,0.221,0
ECHS1,0,1.72754603357687,0.897,0.224,0
PTRHD1,0,1.64921504576452,0.923,0.251,0
MRPL11,0,1.47560140522938,0.909,0.239,0
C8orf82,0,2.14299799865519,0.821,0.151,0
EHF,0,2.60815352797823,0.764,0.095,0
NAA38,0,1.61968557504593,0.929,0.26,0
KRTCAP3,0,2.74477086113447,0.747,0.079,0
MRPS16,0,1.41917800696699,0.902,0.238,0
NDUFV1,0,1.54394102697693,0.9,0.236,0
LCN2,0,2.31314532420027,0.782,0.119,0
KCNK15,0,2.95023631184474,0.748,0.086,0
HMGN3,0,1.92210351637914,0.945,0.284,0
MRPL3,0,1.51192685738503,0.877,0.217,0
S100A13,0,2.4627702228595,0.966,0.306,0
SOX17,0,2.50357138836523,0.743,0.086,0
KLF5,0,1.81631428069994,0.818,0.162,0
C1orf186,0,2.61870443689218,0.749,0.094,0
MRPL12,0,1.62956019531248,0.902,0.247,0
FAM162A,0,1.66760640290048,0.926,0.272,0
NR2F6,0,2.65327771053889,0.75,0.096,0
GPAA1,0,1.8194213642253,0.848,0.194,0
CKB,0,1.38158949884372,0.852,0.199,0
ECI1,0,2.06339259871526,0.789,0.136,0
NME1,0,1.47946431126451,0.939,0.287,0
RAB25,0,2.75232101485532,0.732,0.081,0
LYRM4,0,1.64987018340835,0.878,0.228,0
NME4,0,1.7844891323988,0.847,0.197,0
POLR2H,0,1.38971457739468,0.898,0.249,0
MDK,0,2.31309351258538,0.933,0.284,0
MYL6B,0,1.71653771506093,0.841,0.193,0
PHB,0,1.663408570634,0.962,0.315,0
ZNF593,0,1.31632326965553,0.902,0.256,0
DPY30,0,1.21242028010442,0.902,0.257,0
BOLA3,0,1.6221842888921,0.824,0.179,0
TPD52,0,1.75820619032435,0.766,0.121,0
CTTN,0,1.82622608905291,0.822,0.177,0
IGF2BP2,0,2.06668692324423,0.793,0.149,0
