gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
TM2D2,2.27047098928237,0.554013979567933,1.91337588667134e-05,9.68396078187974,3.26939054325539,28.6839688266815,0.188429257319394,TRUE,risk,2.27047098928237
TANC1,-2.05935506226921,0.560355074059746,7.22156405824557e-05,0.127536196281545,0.0425255159706028,0.382487572242714,0.196861114689453,TRUE,protective,2.05935506226921
PTGFRN,1.64849981954113,0.417124977492059,9.20261698648854e-05,5.19917427412634,2.29546368306598,11.7760142894668,0.196861114689453,TRUE,risk,1.64849981954113
ATP8A1,-1.5994341528401,0.42512373980491,9.6595227686144e-05,0.202010792893971,0.0878015009962677,0.464779758689838,0.196861114689453,TRUE,protective,1.5994341528401
ANXA2,3.36008234786075,0.927326921191776,0.000110565443665144,28.7915617051391,4.67636726145347,177.264525875408,0.196861114689453,TRUE,risk,3.36008234786075
RAB28,-4.09489653478267,1.11625172963505,0.000119939753060186,0.0166574696624711,0.00186825596026227,0.148518886843102,0.196861114689453,TRUE,protective,4.09489653478267
HNRNPD,-4.02562292070942,1.13186974690785,0.000149694298494963,0.0178523001215224,0.00194190151292692,0.16411986782406,0.210598493082628,TRUE,protective,4.02562292070942
CNOT6L,-2.23885423668809,0.616304726626254,0.00017612874885061,0.106580550532462,0.0318470188549416,0.356686878716752,0.216814489835101,TRUE,protective,2.23885423668809
ADAM10,1.83945811433937,0.488008300681212,0.000208977273818286,6.29312718152239,2.41805100295632,16.3782524332185,0.228667576951387,TRUE,risk,1.83945811433937
FBRS,-3.68034386557801,1.0346919469981,0.000258186144067676,0.0252143030134624,0.0033181758769752,0.191599571579747,0.252764289765647,TRUE,protective,3.68034386557801
S100A9,0.599223897870448,0.173805862179474,0.000376609248990723,1.82070519872981,1.29506956000521,2.55968291052137,0.252764289765647,TRUE,risk,0.599223897870448
SLC6A8,0.688983135812876,0.210797401557414,0.000417776318506917,1.99168922573239,1.31761097417674,3.01062001580322,0.252764289765647,TRUE,risk,0.688983135812876
CUL7,2.14706796457542,0.577117499547511,0.000418587474057576,8.55972415349499,2.76189673206307,26.5284638391224,0.252764289765647,TRUE,risk,2.14706796457542
ZNF652,-1.82858638183283,0.528639030011492,0.000431715565915394,0.160640491662916,0.0569991524443586,0.452732478555609,0.252764289765647,TRUE,protective,1.82858638183283
KLHDC1,-1.62683044087333,0.471218089753511,0.000434703263793398,0.196551569701925,0.0780490427406099,0.494977493582887,0.252764289765647,TRUE,protective,1.62683044087333
KRT17,0.516901211852937,0.149782673866828,0.000499190856982289,1.67682346984481,1.25022954577361,2.24897656476561,0.252764289765647,TRUE,risk,0.516901211852937
CABLES1,-1.5418712786708,0.464585816130203,0.00056022475201115,0.213980309757861,0.0860816100797099,0.531908881835176,0.252764289765647,TRUE,protective,1.5418712786708
RCCD1,1.45432915650003,0.446656106100093,0.000625972879038876,4.28161021157813,1.78404487598909,10.2756305352054,0.252764289765647,TRUE,risk,1.45432915650003
CENPV,-1.7411317057616,0.541505056985413,0.000661206788112532,0.175321875525524,0.0606593424048032,0.50672755125933,0.252764289765647,TRUE,protective,1.7411317057616
SPOP,-2.43705830095069,0.747832778237566,0.000689666866489304,0.0874176299532148,0.020185100488869,0.378588257752359,0.252764289765647,TRUE,protective,2.43705830095069
HMOX1,0.784902779469926,0.240275099222601,0.000754630219190582,2.19219380412909,1.3688398893265,3.51079312659899,0.252764289765647,TRUE,risk,0.784902779469926
ACADS,-2.12640403266917,0.644536342031646,0.000827130712931744,0.119265398141989,0.0337189507442494,0.421846910417077,0.252764289765647,TRUE,protective,2.12640403266917
VEGFA,1.11153131711646,0.356543318568453,0.000870128070260237,3.03900851888145,1.51090137938983,6.11262449278042,0.252764289765647,TRUE,risk,1.11153131711646
WDR33,-2.34982984982137,0.753213927105126,0.000885692251220458,0.0953853906761354,0.0217938132148882,0.417475026730224,0.252764289765647,TRUE,protective,2.34982984982137
USP53,-1.37793270992414,0.445387194533107,0.000909972279788235,0.25209917686059,0.105305291314013,0.603521382266282,0.252764289765647,TRUE,protective,1.37793270992414
ESYT2,1.28674766713,0.413537674873956,0.000992765740891685,3.62099071702256,1.6099672293964,8.14400040780906,0.252764289765647,TRUE,risk,1.28674766713
ZNF721,-2.0700715847231,0.648050209122906,0.00102089161891035,0.1261767490541,0.0354280997806511,0.449376966318591,0.252764289765647,TRUE,protective,2.0700715847231
HNMT,-2.23682943529817,0.710117718594861,0.00104820935178215,0.106796573607425,0.0265517355651791,0.429557913692232,0.252764289765647,TRUE,protective,2.23682943529817
RUFY3,-1.89519448255612,0.605139439329893,0.00104999337836784,0.150289103594964,0.0459010271742205,0.492076453401536,0.252764289765647,TRUE,protective,1.89519448255612
ARL3,-3.07735891022744,0.968134721808248,0.00105635715053084,0.0460807996040119,0.00690918934031167,0.307335634841542,0.252764289765647,TRUE,protective,3.07735891022744
TPBG,1.34375998909301,0.418709789235963,0.00105806129042457,3.83343009705696,1.68723113251529,8.70964625167558,0.252764289765647,TRUE,risk,1.34375998909301
AHCTF1,-2.5170398304608,0.766224228726488,0.00108881943151655,0.0806981336924875,0.0179738147066519,0.362315339716977,0.252764289765647,TRUE,protective,2.5170398304608
ATG9A,3.53604794348497,1.09509679601787,0.00109316042973895,34.3309727891902,4.01347810521497,293.664413198284,0.252764289765647,TRUE,risk,3.53604794348497
LRSAM1,-2.48838804155946,0.80583059709983,0.00109356080416997,0.0830437217705439,0.017114726078754,0.402943038280024,0.252764289765647,TRUE,protective,2.48838804155946
CLIC1,2.510489047508,0.807931899900881,0.00114186253192394,12.310949227602,2.52677181031699,59.9814634094639,0.252764289765647,TRUE,risk,2.510489047508
FAM117A,-1.6582679031812,0.534160381540761,0.00115048739370969,0.190468604612456,0.0668554635015997,0.542637616178491,0.252764289765647,TRUE,protective,1.6582679031812
PDP2,-1.98525265235529,0.594734017208504,0.00115734126285369,0.13734590896558,0.0428122361420554,0.440619327777904,0.252764289765647,TRUE,protective,1.98525265235529
RCHY1,-2.56203984727427,0.800466189324343,0.00117466989665197,0.0771472113015363,0.0160675498473888,0.370416912854396,0.252764289765647,TRUE,protective,2.56203984727427
IER5L,1.17035143624191,0.366996722272831,0.00117929116421594,3.22312516250616,1.56994071984548,6.61715164264475,0.252764289765647,TRUE,risk,1.17035143624191
AKR1C2,0.304779052904059,0.0988642763563988,0.00119649052709422,1.35632529376269,1.11740057345274,1.64633735314461,0.252764289765647,TRUE,risk,0.304779052904059
SRD5A3,0.85053097000613,0.278070184919945,0.00123602853379755,2.340889464095,1.35732168336815,4.0371884942655,0.252764289765647,TRUE,risk,0.85053097000613
COX6B1,1.69357156336305,0.54938621617886,0.00123961888726314,5.43887133067595,1.85294187665478,15.9645166015966,0.252764289765647,TRUE,risk,1.69357156336305
CYB5B,-2.29134368740478,0.721046936849391,0.0012738748534596,0.101130482761719,0.0246101656492267,0.415575201296533,0.252764289765647,TRUE,protective,2.29134368740478
IGFBP3,0.96663676362031,0.312022014390681,0.00131317116028048,2.62908733123745,1.4262856470261,4.84622432377794,0.252764289765647,TRUE,risk,0.96663676362031
TALDO1,1.81907294923248,0.584407820998978,0.00135588866497448,6.16613947507016,1.96135119332266,19.3852463319473,0.252764289765647,TRUE,risk,1.81907294923248
PYCARD,1.70542955616832,0.544166774694356,0.00142062495684768,5.50374932898553,1.89432519552309,15.990526203155,0.252764289765647,TRUE,risk,1.70542955616832
RILP,-1.93384308023009,0.627409592046771,0.00147405149688918,0.144591452805978,0.0422747253637105,0.494543442794074,0.252764289765647,TRUE,protective,1.93384308023009
MOCS2,-2.94478469771034,0.928724874105658,0.00151462489845933,0.0526133863794667,0.00852215998455589,0.324820049298723,0.252764289765647,TRUE,protective,2.94478469771034
TSKU,1.2778867802954,0.421975723513303,0.00156053295325014,3.5890472607295,1.56958987984885,8.20676815334102,0.252764289765647,TRUE,risk,1.2778867802954
MARK3,-2.65089623449137,0.853675190636941,0.00156722504332576,0.070587921372761,0.013245470843196,0.376177993422303,0.252764289765647,TRUE,protective,2.65089623449137
CSTF2T,-3.52841501015556,1.15257602237742,0.00157204165230124,0.029351400690337,0.00306574701796737,0.281009723710308,0.252764289765647,TRUE,protective,3.52841501015556
RPGR,-1.04311798006785,0.334706081402339,0.0015829656804235,0.352354333629072,0.18284035213229,0.679027222269615,0.252764289765647,TRUE,protective,1.04311798006785
RAB10,1.93795297673502,0.659242465413374,0.001587476120469,6.94452081520385,1.90758442848285,25.2813813285084,0.252764289765647,TRUE,risk,1.93795297673502
MED16,-4.24303173884972,1.32363025879278,0.00158943223329389,0.0143639779335889,0.00107294610375889,0.192296576085049,0.252764289765647,TRUE,protective,4.24303173884972
AASDH,-3.15694556295478,1.04946023637335,0.0015981866310089,0.0425555259446838,0.00544048196110908,0.332869918763498,0.252764289765647,TRUE,protective,3.15694556295478
POLR3F,-1.87568969346932,0.621136614552492,0.00160403493649992,0.153249235391146,0.0453603248499983,0.517750439963432,0.252764289765647,TRUE,protective,1.87568969346932
TTYH3,2.20573688864243,0.745574731259159,0.00160497174214453,9.07693779642114,2.10519987553425,39.1368063040522,0.252764289765647,TRUE,risk,2.20573688864243
PRPSAP2,-2.52183126553351,0.813936430255602,0.00162091807901215,0.0803123986745284,0.016290931611562,0.395930787425236,0.252764289765647,TRUE,protective,2.52183126553351
EGLN3,0.606220236233675,0.207119520434291,0.00164008832406492,1.83348813308448,1.22172766540992,2.75157781012816,0.252764289765647,TRUE,risk,0.606220236233675
TFG,1.53442295276839,0.507166533665732,0.00166963754983844,4.6386480384997,1.71665314071879,12.5343059204538,0.252764289765647,TRUE,risk,1.53442295276839
OTUD3,-1.67624681167712,0.538943386219227,0.00168013641094966,0.187074786985038,0.0650515108270055,0.537988672062767,0.252764289765647,TRUE,protective,1.67624681167712
CAMTA2,-2.55712166897799,0.856998667915009,0.00169228979137128,0.0775275696100769,0.0144532054569838,0.41586097060158,0.252764289765647,TRUE,protective,2.55712166897799
SREK1,-2.99103936728804,0.978850878373806,0.00170005278439947,0.0502351967598198,0.00737553314220437,0.342154925595464,0.252764289765647,TRUE,protective,2.99103936728804
UBC,2.9886495908721,0.940924290239846,0.00171475380151874,19.8588468080677,3.14067574443841,125.569727229775,0.252764289765647,TRUE,risk,2.9886495908721
PTP4A2,3.50467195606128,1.17864720020429,0.00176708346929507,33.2705278670353,3.30198381417368,335.23120852371,0.252764289765647,TRUE,risk,3.50467195606128
SLC30A9,-2.77730174575368,0.890377228159073,0.00178633217982185,0.062206129084618,0.0108624747495525,0.356235810430914,0.252764289765647,TRUE,protective,2.77730174575368
ZNF185,1.27244658984092,0.395262148907492,0.00184463521685121,3.56957517403515,1.64498748779084,7.74587467543597,0.252764289765647,TRUE,risk,1.27244658984092
PANX1,1.79703719583802,0.607927565554309,0.00187869229125646,6.03175007005639,1.83216653838369,19.8573700291028,0.252764289765647,TRUE,risk,1.79703719583802
EPN2,-2.34871619110961,0.772739291601401,0.00189119358369059,0.0954916766195843,0.020998900439605,0.434244656278336,0.252764289765647,TRUE,protective,2.34871619110961
PTPN4,-1.34025575234456,0.448118269355975,0.00190483421728027,0.261778709499511,0.108764796305991,0.630057657207734,0.252764289765647,TRUE,protective,1.34025575234456
SPATA24,-1.49595083692724,0.491590365087075,0.00191918726320632,0.224035482214711,0.0854804185139492,0.587174210933318,0.252764289765647,TRUE,protective,1.49595083692724
SLC16A3,1.17281911095314,0.406396480593231,0.00192135657117382,3.23108860851692,1.45685792287725,7.16606158510589,0.252764289765647,TRUE,risk,1.17281911095314
