gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
CRNDE,-0.245002928836802,0.0459366680561885,1.12316550509503e-07,0.782702245831368,0.715310333041546,0.856443388738082,0.000719625680341381,TRUE,protective,0.245002928836802
SFTA3,-0.136664861717265,0.0262703610847386,1.55121652436215e-07,0.872262505710594,0.828486472919321,0.918351601067861,0.000719625680341381,TRUE,protective,0.136664861717265
SLC47A1,-0.210742199312993,0.0407601234318876,2.32471505752945e-07,0.809982854103627,0.747790783571079,0.877347298677286,0.000719625680341381,TRUE,protective,0.210742199312993
ZC3H12D,-0.292752689563502,0.0574305559046123,2.89967937109521e-07,0.746206662574627,0.666765693335064,0.835112527289173,0.000719625680341381,TRUE,protective,0.292752689563502
IRX5,-0.172649643668101,0.0338134423342449,3.21566010035723e-07,0.841432364364648,0.787474735546087,0.899087160312898,0.000719625680341381,TRUE,protective,0.172649643668101
ANKRD65,-0.211481228837443,0.0417333543861839,3.72895248471223e-07,0.809384473997664,0.745814325317096,0.878373080954092,0.000719625680341381,TRUE,protective,0.211481228837443
NKX2-1,-0.133314701620047,0.0272330775398181,7.4985812419449e-07,0.875189625173209,0.829699631375828,0.923173701717444,0.00115504797964834,TRUE,protective,0.133314701620047
ZNF682,-0.231427430265279,0.0468332609382344,7.98029522168296e-07,0.793400270261147,0.723814147640388,0.869676271046316,0.00115504797964834,TRUE,protective,0.231427430265279
FAM117A,-0.360565596337498,0.0738948856090798,1.31886137850658e-06,0.697281834468265,0.603264479588816,0.805951573695876,0.00152764723034585,TRUE,protective,0.360565596337498
CERS4,-0.252354013737355,0.0519637639910276,1.31932570200004e-06,0.776969631453016,0.701732507401302,0.860273397388738,0.00152764723034585,TRUE,protective,0.252354013737355
PLEKHB1,-0.222249793166917,0.0460441233411625,1.46223178848798e-06,0.800715326134498,0.731618354281687,0.876338093152624,0.00153919835262748,TRUE,protective,0.222249793166917
CLIC6,-0.148742456265718,0.0316066855869554,2.18627177158547e-06,0.861791035202017,0.810023872104366,0.916866544223124,0.00210957007026568,TRUE,protective,0.148742456265718
