gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
RNF6,0.79748068298939,0.179687196889351,8.88694316059024e-06,2.2199411421538,1.56094869944117,3.15714326575333,0.102448680755284,TRUE,risk,0.79748068298939
SNRPB2,0.904218127169989,0.2179540053784,3.19574418778213e-05,2.46999994202936,1.61127900494764,3.78637076191736,0.184202694983762,TRUE,risk,0.904218127169989
CENPJ,0.573300565077955,0.140885643391197,4.85841701315424e-05,1.77411297402919,1.34603697890843,2.3383286595671,0.18669277109214,TRUE,risk,0.573300565077955
KCMF1,0.92668216339201,0.232445567556117,6.67395028910926e-05,2.52611402485883,1.60173729728394,3.98395671837642,0.192343247332129,TRUE,risk,0.92668216339201
YIPF4,0.698311029350943,0.177968759811068,8.90801688534439e-05,2.01035440887423,1.4183472142949,2.8494608432599,0.194338152395893,TRUE,risk,0.698311029350943
RAB10,0.870130879403547,0.226311783653836,0.000130601116735962,2.38722327143719,1.53197811112977,3.71991930321292,0.194338152395893,TRUE,risk,0.870130879403547
NINJ1,-0.473451783707317,0.123397226748481,0.000135115332739488,0.622848614747463,0.489040315493171,0.793268744114924,0.194338152395893,TRUE,protective,0.473451783707317
PTPN7,-0.325709579122482,0.0851738026849306,0.00013913615085367,0.722014845170665,0.61100494143702,0.853193487143922,0.194338152395893,TRUE,protective,0.325709579122482
KYNU,-0.258185258974469,0.0685209961556708,0.000177158606365209,0.772452115163806,0.675375523671338,0.883482224788776,0.194338152395893,TRUE,protective,0.258185258974469
CTSC,-0.424023152353999,0.114759135141064,0.000211046227795036,0.654408730630874,0.522593660202858,0.819471836990283,0.194338152395893,TRUE,protective,0.424023152353999
IL18BP,-0.567713866673156,0.153293791918081,0.000213223984079338,0.566819784211601,0.419719058929984,0.765475526874469,0.194338152395893,TRUE,protective,0.567713866673156
CD83,-0.413051023033607,0.111177711384559,0.000237713077513335,0.66162852367221,0.532081110802563,0.822717240753736,0.194338152395893,TRUE,protective,0.413051023033607
STAT4,-0.320682562124988,0.0885310794319031,0.000263445567650834,0.725653564358579,0.610056637471174,0.863154440297671,0.194338152395893,TRUE,protective,0.320682562124988
HNRNPH3,0.669012620319407,0.183515043652702,0.000271413753279469,1.95230869871222,1.36250257131903,2.79743270603703,0.194338152395893,TRUE,risk,0.669012620319407
NUFIP1,0.582290054183152,0.161338745486479,0.000303352346277791,1.79013324241042,1.30482132152607,2.45595084377904,0.194338152395893,TRUE,risk,0.582290054183152
UBA6,-0.72069532533204,0.199554406763258,0.000304313725957586,0.486413922425545,0.328959063638853,0.71923388069086,0.194338152395893,TRUE,protective,0.72069532533204
SLC22A4,-0.275646709345915,0.0758172860414037,0.000308129758683054,0.759081059638803,0.654261218903554,0.880694191332326,0.194338152395893,TRUE,protective,0.275646709345915
ARHGAP12,0.692435053941684,0.191503952910532,0.000325643851087236,1.99857625376744,1.37312244884639,2.90892268601308,0.194338152395893,TRUE,risk,0.692435053941684
PNRC2,0.653545027508508,0.182263341748441,0.000332392192433906,1.92234352469383,1.3448854977985,2.7477466542553,0.194338152395893,TRUE,risk,0.653545027508508
IGSF6,-0.245066151025738,0.0686542207941019,0.000363262177479286,0.782652763246317,0.684115563064145,0.895382857646905,0.194338152395893,TRUE,protective,0.245066151025738
LCP1,-0.266633803844406,0.0752660147594857,0.000407767054593007,0.765953509345089,0.660898376654956,0.887708003532222,0.194338152395893,TRUE,protective,0.266633803844406
KIF3C,0.380339800306766,0.108237611299156,0.000418771301463679,1.46278155861665,1.18316621982165,1.80847783885472,0.194338152395893,TRUE,risk,0.380339800306766
MATK,-0.252736217762305,0.0722113989406145,0.000475617595764209,0.776672727275211,0.674171627898786,0.89475810065338,0.194338152395893,TRUE,protective,0.252736217762305
SPAST,0.537835116453028,0.154221527282288,0.000485349520896693,1.71229592548467,1.26561848415779,2.31662019252388,0.194338152395893,TRUE,risk,0.537835116453028
TBX21,-0.210703054554914,0.0606821307299209,0.000496665198489729,0.81001456130708,0.719182570427373,0.912318535666961,0.194338152395893,TRUE,protective,0.210703054554914
CD274,-0.254866445355356,0.073395628872193,0.00050261331048932,0.775019998569935,0.671177344619891,0.894928893232402,0.194338152395893,TRUE,protective,0.254866445355356
ASAP2,0.395399593089413,0.114567705917386,0.000535847472174495,1.48497745911068,1.18630909872624,1.85883936693609,0.194338152395893,TRUE,risk,0.395399593089413
CDK8,0.540265875129215,0.156210042371491,0.000536391444677367,1.71646316638836,1.26376352311806,2.33132682473596,0.194338152395893,TRUE,risk,0.540265875129215
CRNKL1,0.596116834505396,0.17284337621267,0.000544773279954717,1.81505693161415,1.29348977425627,2.54693290242268,0.194338152395893,TRUE,risk,0.596116834505396
RPIA,0.617557494040785,0.179591341304536,0.000564374826727247,1.85439313954387,1.30415909976459,2.63677485101939,0.194338152395893,TRUE,risk,0.617557494040785
SLC25A17,-0.79323836216063,0.230287061749781,0.000574072621309648,0.452377458636578,0.288055818557447,0.710436491466588,0.194338152395893,TRUE,protective,0.79323836216063
SAP18,0.673035556502767,0.196732718429463,0.000607064005660115,1.96017853132075,1.33300984715324,2.88242422428938,0.194338152395893,TRUE,risk,0.673035556502767
LRP5L,-0.382693672426031,0.112244482308194,0.000655841666170273,0.682021789370093,0.547335752490592,0.849850789134369,0.194338152395893,TRUE,protective,0.382693672426031
CD300C,-0.265238246633126,0.0777110442127008,0.000685541933348052,0.767023187513495,0.658657311066301,0.893218006235934,0.194338152395893,TRUE,protective,0.265238246633126
POLR3F,0.639809800615674,0.188693748800131,0.000687411659815016,1.89612020411051,1.30992522177256,2.7446389829574,0.194338152395893,TRUE,risk,0.639809800615674
