nfeature,imputation,independent
700,KNN,TRUE
2500,ALRA,TRUE
2700,ALRA,FALSE
1300,KNN,TRUE
800,ALRA,FALSE
800,ALRA,FALSE
4200,None,FALSE
4900,None,TRUE
2700,ALRA,FALSE
1900,None,FALSE
3600,None,TRUE
2600,ALRA,TRUE
1700,ALRA,TRUE
3900,None,TRUE
2500,KNN,TRUE
1000,None,FALSE
1800,None,TRUE
2800,None,TRUE
500,KNN,TRUE
3500,KNN,TRUE
800,KNN,FALSE
2200,None,TRUE
800,None,FALSE
1700,KNN,FALSE
3000,ALRA,TRUE
4800,KNN,TRUE
1500,KNN,FALSE
1300,None,TRUE
3400,ALRA,TRUE
5000,ALRA,FALSE
4100,None,FALSE
1200,ALRA,FALSE
2200,None,TRUE
2800,ALRA,FALSE
1300,ALRA,TRUE
1400,None,FALSE
1400,KNN,TRUE
1100,KNN,FALSE
2000,None,FALSE
900,None,TRUE
3900,KNN,FALSE
4900,None,FALSE
4600,ALRA,TRUE
1700,KNN,TRUE
3900,ALRA,TRUE
2200,None,FALSE
2600,KNN,FALSE
700,None,TRUE
2100,ALRA,TRUE
1400,KNN,TRUE
2000,None,TRUE
