"",lamb1,lamb2,lamb3,TPR,FPR,TNR,FNR,F1,Accuracy,Precision,P_pos
1,4,2,10,0,0,1,0,0,1,0,0
2,4,3,8,0,0,1,0,0,1,0,0
3,3,5,3,0,0,1,0,0,1,0,0
4,7,6,4,0,0,1,0,0,1,0,0
5,6,7,9,0,0,1,0,0,1,0,0
6,5,4,5,0,0,1,0,0,1,0,0
7,7,10,8,0,0,1,0,0,1,0,0
8,10,5,5,0,0,1,0,0,1,0,0
9,6,7,2,0,0,1,0,0,1,0,0
10,4,10,9,0,0,1,0,0,1,0,0
11,10,10,5,0,0,1,0,0,1,0,0
12,10,8,10,0,0,1,0,0,1,0,0
13,10,4,9,0,0,1,0,0,1,0,0
14,4,9,7,0,0,1,0,0,1,0,0
15,9,10,5,0,0,1,0,0,1,0,0
16,8,4,9,0,0,1,0,0,1,0,0
17,10,8,4,0,0,1,0,0,1,0,0
18,4,4,5,0,0,1,0,0,1,0,0
19,5,8,5,0,0,1,0,0,1,0,0
20,2,7,7,0,0,1,0,0,1,0,0
21,8,6,2,0,0,1,0,0,1,0,0
22,6,6,5,0,0,1,0,0,1,0,0
23,8,9,10,0,0,1,0,0,1,0,0
24,10,4,8,0,0,1,0,0,1,0,0
25,10,3,9,0,0,1,0,0,1,0,0
26,8,3,6,0,0,1,0,0,1,0,0
27,6,7,3,0,0,1,0,0,1,0,0
28,8,5,7,0,0,1,0,0,1,0,0
29,6,2,10,0,0,1,0,0,1,0,0
30,7,7,9,0,0,1,0,0,1,0,0
31,10,4,5,0,0,1,0,0,1,0,0
32,3,9,6,0,0,1,0,0,1,0,0
33,6,4,8,0,0,1,0,0,1,0,0
34,9,9,2,0,0,1,0,0,1,0,0
35,3,2,9,0,0,1,0,0,1,0,0
36,2,8,9,0,0,1,0,0,1,0,0
37,10,8,10,0,0,1,0,0,1,0,0
38,10,8,9,0,0,1,0,0,1,0,0
39,7,7,3,0,0,1,0,0,1,0,0
40,6,8,6,0,0,1,0,0,1,0,0
41,10,6,10,0,0,1,0,0,1,0,0
42,5,7,8,0,0,1,0,0,1,0,0
43,7,9,8,0,0,1,0,0,1,0,0
44,9,6,9,0,0,1,0,0,1,0,0
45,7,8,7,0,0,1,0,0,1,0,0
46,7,5,8,0,0,1,0,0,1,0,0
47,8,4,2,0,0,1,0,0,1,0,0
48,2,10,10,0,0,1,0,0,1,0,0
49,7,8,4,0,0,1,0,0,1,0,0
50,3,7,6,0,0,1,0,0,1,0,0
51,3,3,3,0,0,1,0,0,1,0,0
