"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,700,KNN,TRUE,0,0,1,1,0,0.441390562248996
2,2500,ALRA,TRUE,0,0,1,1,0,0.441390562248996
3,2700,ALRA,FALSE,0,0,1,1,0,0.441390562248996
4,1300,KNN,TRUE,0,0,1,1,0,0.441390562248996
5,800,ALRA,FALSE,0,0,1,1,0,0.441390562248996
6,800,ALRA,FALSE,0,0,1,1,0,0.441390562248996
7,4200,None,FALSE,0,0,1,1,0,0.441390562248996
8,4900,None,TRUE,0,0,1,1,0,0.441390562248996
9,2700,ALRA,FALSE,0,0,1,1,0,0.441390562248996
10,1900,None,FALSE,0,0,1,1,0,0.441390562248996
11,3600,None,TRUE,0,0,1,1,0,0.441390562248996
12,2600,ALRA,TRUE,0,0,1,1,0,0.441390562248996
13,1700,ALRA,TRUE,0,0,1,1,0,0.441390562248996
14,3900,None,TRUE,0,0,1,1,0,0.441390562248996
15,2500,KNN,TRUE,0,0,1,1,0,0.441390562248996
16,1000,None,FALSE,0,0,1,1,0,0.441390562248996
17,1800,None,TRUE,0,0,1,1,0,0.441390562248996
18,2800,None,TRUE,0,0,1,1,0,0.441390562248996
19,500,KNN,TRUE,0,0,1,1,0,0.441390562248996
20,3500,KNN,TRUE,0,0,1,1,0,0.441390562248996
21,800,KNN,FALSE,0,0,1,1,0,0.441390562248996
22,2200,None,TRUE,0,0,1,1,0,0.441390562248996
23,800,None,FALSE,0,0,1,1,0,0.441390562248996
24,1700,KNN,FALSE,0,0,1,1,0,0.441390562248996
25,3000,ALRA,TRUE,0,0,1,1,0,0.441390562248996
26,4800,KNN,TRUE,0,0,1,1,0,0.441390562248996
27,1500,KNN,FALSE,0,0,1,1,0,0.441390562248996
28,1300,None,TRUE,0,0,1,1,0,0.441390562248996
29,3400,ALRA,TRUE,0,0,1,1,0,0.441390562248996
30,5000,ALRA,FALSE,0,0,1,1,0,0.441390562248996
31,4100,None,FALSE,0,0,1,1,0,0.441390562248996
32,1200,ALRA,FALSE,0,0,1,1,0,0.441390562248996
33,2200,None,TRUE,0,0,1,1,0,0.441390562248996
34,2800,ALRA,FALSE,0,0,1,1,0,0.441390562248996
35,1300,ALRA,TRUE,0,0,1,1,0,0.441390562248996
36,1400,None,FALSE,0,0,1,1,0,0.441390562248996
37,1400,KNN,TRUE,0,0,1,1,0,0.441390562248996
38,1100,KNN,FALSE,0,0,1,1,0,0.441390562248996
39,2000,None,FALSE,0,0,1,1,0,0.441390562248996
40,900,None,TRUE,0,0,1,1,0,0.441390562248996
41,3900,KNN,FALSE,0,0,1,1,0,0.441390562248996
42,4900,None,FALSE,0,0,1,1,0,0.441390562248996
43,4600,ALRA,TRUE,0,0,1,1,0,0.441390562248996
44,1700,KNN,TRUE,0,0,1,1,0,0.441390562248996
45,3900,ALRA,TRUE,0,0,1,1,0,0.441390562248996
46,2200,None,FALSE,0,0,1,1,0,0.441390562248996
47,2600,KNN,FALSE,0,0,1,1,0,0.441390562248996
48,700,None,TRUE,0,0,1,1,0,0.441390562248996
49,2100,ALRA,TRUE,0,0,1,1,0,0.441390562248996
50,1400,KNN,TRUE,0,0,1,1,0,0.441390562248996
51,2000,None,TRUE,0,0,1,1,0,0.441390562248996
