"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,700,KNN,TRUE,0.0262695862457349,0.00220741528021911,0.997792584719781,0.973730413754265,0.0511052394148353,0.461152790484904
2,2500,ALRA,TRUE,0,0,1,1,0,0.447630375114364
3,2700,ALRA,FALSE,0.0113293801967734,0.000122634182234395,0.999877365817766,0.988670619803227,0.0224027250098258,0.453833485818847
4,1300,KNN,TRUE,0.0572100573094378,0.0105874177329028,0.989412582267097,0.942789942690562,0.107357100674479,0.474492223238792
5,800,ALRA,FALSE,0.0415741875641833,0.0206434206761231,0.979356579323877,0.958425812435817,0.0785676276332676,0.46135407136322
6,800,ALRA,FALSE,0.0399178454301521,0.0206025426153783,0.979397457384622,0.960082154569848,0.0755580637070479,0.460457456541629
7,4200,None,FALSE,0,0,1,1,0,0.447630375114364
8,4900,None,TRUE,0,0,1,1,0,0.447630375114364
9,2700,ALRA,FALSE,0.0122238049491503,0.000122634182234395,0.999877365817766,0.98777619505085,0.0241500049085376,0.454327538883806
10,1900,None,FALSE,0,0,1,1,0,0.447630375114364
11,3600,None,TRUE,0,0,1,1,0,0.447630375114364
12,2600,ALRA,TRUE,0.0750322986716136,0.000122634182234395,0.999877365817766,0.924967701328386,0.139577877060545,0.489021043000915
13,1700,ALRA,TRUE,0,0,1,1,0,0.447630375114364
14,3900,None,TRUE,0,0,1,1,0,0.447630375114364
15,2500,KNN,TRUE,0,0,1,1,0,0.447630375114364
16,1000,None,FALSE,0.0282240699638917,0.00764419735927728,0.992355802640723,0.971775930036108,0.0545699096906424,0.459798719121683
17,1800,None,TRUE,0,0,1,1,0,0.447630375114364
18,2800,None,TRUE,0,0,1,1,0,0.447630375114364
19,500,KNN,TRUE,0.0494583761221718,0.000531414789682378,0.999468585210318,0.950541623877828,0.0942163884769507,0.474711802378774
20,3500,KNN,TRUE,0,0,1,1,0,0.447630375114364
21,800,KNN,FALSE,0.0422035975751151,0.0123860524056739,0.987613947594326,0.957796402424885,0.0802165974058683,0.465397987191217
22,2200,None,TRUE,0.0561499983436579,0.000613170911171974,0.999386829088828,0.943850001656342,0.106279587422015,0.478371454711802
23,800,None,FALSE,0.0212674330009607,0.0118546376159915,0.988145362384009,0.978732566999039,0.0412609659693435,0.454071363220494
24,1700,KNN,FALSE,0,0,1,1,0,0.447630375114364
25,3000,ALRA,TRUE,0,0,1,1,0,0.447630375114364
26,4800,KNN,TRUE,0,0,1,1,0,0.447630375114364
27,1500,KNN,FALSE,0,0,1,1,0,0.447630375114364
28,1300,None,TRUE,0.0188491734852751,0.00927931978906921,0.990720680210931,0.981150826514725,0.0367298195784785,0.453888380603843
29,3400,ALRA,TRUE,0.0677112664391957,0.000163512242979193,0.999836487757021,0.932288733560804,0.126818675352877,0.484958828911253
30,5000,ALRA,FALSE,0,0,1,1,0,0.447630375114364
31,4100,None,FALSE,0,0,1,1,0,0.447630375114364
32,1200,ALRA,FALSE,0,0,1,1,0,0.447630375114364
33,2200,None,TRUE,0.0561499983436579,0.000613170911171974,0.999386829088828,0.943850001656342,0.106279587422015,0.478371454711802
34,2800,ALRA,FALSE,0,0,1,1,0,0.447630375114364
35,1300,ALRA,TRUE,0.00106005896577997,0.0264889833626293,0.973511016637371,0.99893994103422,0.00207341173421453,0.436358645928637
36,1400,None,FALSE,0,0,1,1,0,0.447630375114364
37,1400,KNN,TRUE,0,0,1,1,0,0.447630375114364
38,1100,KNN,FALSE,0,0,1,1,0,0.447630375114364
39,2000,None,FALSE,0.000265014741444993,0.00441483056043821,0.995585169439562,0.999734985258555,0.000528000528000528,0.44580054894785
40,900,None,TRUE,0.0219630966972538,0.0094428320320484,0.990557167967952,0.978036903302746,0.0426627199897043,0.455535224153705
41,3900,KNN,FALSE,0,0,1,1,0,0.447630375114364
42,4900,None,FALSE,0,0,1,1,0,0.447630375114364
43,4600,ALRA,TRUE,0,0,1,1,0,0.447630375114364
44,1700,KNN,TRUE,0,0,1,1,0,0.447630375114364
45,3900,ALRA,TRUE,0,0,1,1,0,0.447630375114364
46,2200,None,FALSE,0.0534667240865273,0.000531414789682378,0.999468585210318,0.946533275913473,0.101464763940404,0.476925892040256
47,2600,KNN,FALSE,0.0437274323384238,0.000122634182234395,0.999877365817766,0.956272567661576,0.0837829260552206,0.471729185727356
48,700,None,TRUE,0.0182860171597045,0.0117320034337571,0.988267996566243,0.981713982840296,0.035583059369561,0.452479414455627
49,2100,ALRA,TRUE,0,0,1,1,0,0.447630375114364
50,1400,KNN,TRUE,0,0,1,1,0,0.447630375114364
51,2000,None,TRUE,0.00112631265114122,0.0261210808159261,0.973878919184074,0.998873687348859,0.00220349967595593,0.436559926806953
