"",prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,F1,Accuracy
1,0.45,0.488,0,0,1,1,0,0.447630375114364
2,0.32,0.072,0,0,1,1,0,0.447630375114364
3,0.38,0.311,0,0,1,1,0,0.447630375114364
4,0.43,0.373,0,0,1,1,0,0.447630375114364
5,0.35,0.343,0,0,1,1,0,0.447630375114364
6,0.11,0.716,0,0,1,1,0,0.447630375114364
7,0.19,0.315,0,0,1,1,0,0.447630375114364
8,0.48,0.649,0,0,1,1,0,0.447630375114364
9,0.04,0.538,0,0,1,1,0,0.447630375114364
10,0.29,0.858,0,0,1,1,0,0.447630375114364
11,0.49,0.824,0,0,1,1,0,0.447630375114364
12,0.07,0.916,0,0,1,1,0,0.447630375114364
13,0.39,0.248,0,0,1,1,0,0.447630375114364
14,0.26,0.433,0,0,1,1,0,0.447630375114364
15,0.02,0.169,0,0,1,1,0,0.447630375114364
16,0.05,0.776,0,0,1,1,0,0.447630375114364
17,0.25,0.701,0,0,1,1,0,0.447630375114364
18,0.04,0.08,0,0,1,1,0,0.447630375114364
19,0.11,0.016,0,0,1,1,0,0.447630375114364
20,0.03,0.776,0,0,1,1,0,0.447630375114364
21,0.26,0.696,0,0,1,1,0,0.447630375114364
22,0.36,0.532,0,0,1,1,0,0.447630375114364
23,0.06,0.581,0,0,1,1,0,0.447630375114364
24,0.01,0.388,0,0,1,1,0,0.447630375114364
25,0.07,0.614,0,0,1,1,0,0.447630375114364
26,0.47,0.221,0,0,1,1,0,0.447630375114364
27,0.47,0.211,0,0,1,1,0,0.447630375114364
28,0.43,0.27,0,0,1,1,0,0.447630375114364
29,0.02,0.174,0,0,1,1,0,0.447630375114364
30,0.46,0.465,0,0,1,1,0,0.447630375114364
31,0.43,0.845,0,0,1,1,0,0.447630375114364
32,0.09,0.545,0,0,1,1,0,0.447630375114364
33,0.3,0.765,0,0,1,1,0,0.447630375114364
34,0.33,0.204,0,0,1,1,0,0.447630375114364
35,0.35,0.636,0,0,1,1,0,0.447630375114364
36,0.25,0.755,0,0,1,1,0,0.447630375114364
37,0.45,0.134,0,0,1,1,0,0.447630375114364
38,0.49,0.642,0,0,1,1,0,0.447630375114364
39,0.39,0.056,0,0,1,1,0,0.447630375114364
40,0.07,0.277,0,0,1,1,0,0.447630375114364
41,0.45,0.157,0,0,1,1,0,0.447630375114364
42,0.3,0.009,0,0,1,1,0,0.447630375114364
43,0.08,0.725,0,0,1,1,0,0.447630375114364
44,0.36,0.168,0,0,1,1,0,0.447630375114364
45,0.26,0.475,0,0,1,1,0,0.447630375114364
46,0.31,0.988,0,0,1,1,0,0.447630375114364
47,0.07,0.562,0,0,1,1,0,0.447630375114364
48,0.09,0.544,0,0,1,1,0,0.447630375114364
49,0.09,0.353,0,0,1,1,0,0.447630375114364
50,0.29,0.227,0,0,1,1,0,0.447630375114364
51,0.2,0.585,0,0,1,1,0,0.447630375114364
