"",arch,ff_depth,bag_depth,TPR,FPR,TNR,FNR,F1,Accuracy
1,DenseNet,6,4,0,0,1,1,0,0.844156099479013
2,DenseNet,8,8,0,0,1,1,0,0.844156099479013
3,DenseNet,6,9,0,0,1,1,0,0.844156099479013
4,Standard,7,6,0,0,1,1,0,0.844156099479013
5,DenseNet,10,6,0,0,1,1,0,0.844156099479013
6,Standard,3,8,0,0,1,1,0,0.844156099479013
7,Standard,6,3,0,0,1,1,0,0.844156099479013
8,Standard,9,8,0,0,1,1,0,0.844156099479013
9,DenseNet,3,8,0,0,1,1,0,0.844156099479013
10,DenseNet,2,8,0,0,1,1,0,0.844156099479013
11,Standard,10,5,0,0,1,1,0,0.844156099479013
12,Standard,10,10,0,0,1,1,0,0.844156099479013
13,Standard,7,8,0,0,1,1,0,0.844156099479013
14,DenseNet,6,5,0,0,1,1,0,0.844156099479013
15,Standard,10,8,0,0,1,1,0,0.844156099479013
16,DenseNet,5,9,0,0,1,1,0,0.844156099479013
17,Standard,7,10,0,0,1,1,0,0.844156099479013
18,DenseNet,9,3,0,0,1,1,0,0.844156099479013
19,DenseNet,7,9,0,0,1,1,0,0.844156099479013
20,DenseNet,7,5,0,0,1,1,0,0.844156099479013
21,DenseNet,8,9,0,0,1,1,0,0.844156099479013
22,Standard,2,7,0,0,1,1,0,0.844156099479013
23,DenseNet,7,9,0,0,1,1,0,0.844156099479013
24,DenseNet,3,9,0,0,1,1,0,0.844156099479013
25,DenseNet,2,4,0,0,1,1,0,0.844156099479013
26,DenseNet,3,8,0,0,1,1,0,0.844156099479013
27,Standard,5,8,0,0,1,1,0,0.844156099479013
28,Standard,6,9,0,0,1,1,0,0.844156099479013
29,DenseNet,7,10,0,0,1,1,0,0.844156099479013
30,Standard,4,9,0,0,1,1,0,0.844156099479013
31,DenseNet,10,5,0,0,1,1,0,0.844156099479013
32,Standard,5,4,0,0,1,1,0,0.844156099479013
33,DenseNet,7,7,0,0,1,1,0,0.844156099479013
34,Standard,10,8,0,0,1,1,0,0.844156099479013
35,Standard,10,10,0,0,1,1,0,0.844156099479013
36,DenseNet,8,10,0,0,1,1,0,0.844156099479013
37,DenseNet,4,10,0,0,1,1,0,0.844156099479013
38,DenseNet,9,7,0,0,1,1,0,0.844156099479013
39,DenseNet,10,9,0,0,1,1,0,0.844156099479013
40,Standard,4,5,0,0,1,1,0,0.844156099479013
41,DenseNet,8,6,0,0,1,1,0,0.844156099479013
42,Standard,4,6,0,0,1,1,0,0.844156099479013
43,Standard,8,8,0,0,1,1,0,0.844156099479013
44,DenseNet,7,6,0,0,1,1,0,0.844156099479013
45,DenseNet,6,7,0,0,1,1,0,0.844156099479013
46,DenseNet,6,5,0,0,1,1,0,0.844156099479013
47,DenseNet,9,3,0,0,1,1,0,0.844156099479013
48,Standard,4,9,0,0,1,1,0,0.844156099479013
49,DenseNet,3,8,0,0,1,1,0,0.844156099479013
50,DenseNet,3,4,0,0,1,1,0,0.844156099479013
51,DenseNet,3,5,0,0,1,1,0,0.844156099479013
