"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,1400,None,FALSE,0,0.000209604546089711,0.99979039545391,1,0,0.843979160522953
2,4700,ALRA,TRUE,0.0185442159707329,0.0240579440122968,0.975942055987703,0.981455784029267,0.03228285933897,0.826737442249091
3,800,None,FALSE,0.0505866027500946,0.0793236759979505,0.920676324002049,0.949413397249905,0.0683483892960627,0.785078148038927
4,1100,KNN,TRUE,0.0910811151759808,0.325096650985141,0.674903349014859,0.908918884824019,0.0638711960368011,0.583918214882532
5,3200,KNN,TRUE,0.0147596820991548,0.0595509804834878,0.940449019516512,0.985240317900845,0.022073389302896,0.796185982502703
6,3800,KNN,TRUE,0.0254825280686262,0.0493502259071219,0.950649774092878,0.974517471931374,0.0394223263075722,0.806468101838199
7,1000,None,TRUE,0.0465497666204113,0.147049233778937,0.852950766221063,0.953450233379589,0.0505133470225873,0.727278089059275
8,1500,KNN,FALSE,0,0.000163025758069775,0.99983697424193,1,0,0.844018480290966
9,2000,None,TRUE,0,0.00232893940099679,0.997671060599003,1,0,0.842190111078345
10,4800,ALRA,FALSE,0,2.32893940099679e-05,0.99997671060599,1,0,0.844136439595006
11,2400,None,FALSE,0,0.000209604546089711,0.99979039545391,1,0,0.843979160522953
12,1900,None,TRUE,0,0.00223578182495691,0.997764218175043,1,0,0.842268750614371
13,4800,None,FALSE,0,0.00116446970049839,0.998835530299502,1,0,0.843173105278679
14,4200,ALRA,FALSE,0.00126151129052605,0.00887325911779776,0.991126740882202,0.998738488709474,0.00240442414041837,0.836862282512533
15,2700,None,FALSE,0.00113536016147345,0.00256183334109647,0.997438166658904,0.998864639838527,0.00223713646532438,0.842170451194338
16,3100,ALRA,FALSE,0.0145073798410496,0.0520285062182682,0.947971493781732,0.98549262015895,0.0223822499026859,0.802496805268849
17,1100,KNN,TRUE,0.0910811151759808,0.325096650985141,0.674903349014859,0.908918884824019,0.0638711960368011,0.583918214882532
18,4300,ALRA,FALSE,0.00025230225810521,0.00503050910615306,0.994969490893847,0.999747697741895,0.00049109883364027,0.839948884301583
19,600,KNN,FALSE,0.0769521887220891,0.0457170804415669,0.954282919558433,0.923047811277911,0.116190476190476,0.817556276417969
20,3700,None,TRUE,0.00075690677431563,0.0110391727607248,0.988960827239275,0.999243093225684,0.00142738194361841,0.834955273763885
21,2500,KNN,TRUE,0.010848997098524,0.0126694303414225,0.987330569658577,0.989151002901476,0.0201005025125628,0.835151872603952
22,4200,None,TRUE,0.000126151129052605,0.0102007545763659,0.989799245423634,0.999873848870947,0.00023906287353574,0.835564730168092
