"",prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,F1,Accuracy
1,0.32,0.449,0,0,1,1,0,0.844156099479013
2,0.15,0.81,0,0,1,1,0,0.844156099479013
3,0.14,0.812,0,0,1,1,0,0.844156099479013
4,0.03,0.794,0,0,1,1,0,0.844156099479013
5,0.43,0.44,0,0,1,1,0,0.844156099479013
6,0.44,0.754,0,0,1,1,0,0.844156099479013
7,0.38,0.629,0,0,1,1,0,0.844156099479013
8,0.14,0.71,0,0,1,1,0,0.844156099479013
9,0.26,0.001,0,0,1,1,0,0.844156099479013
10,0.27,0.475,0,0,1,1,0,0.844156099479013
11,0.28,0.22,0,0,1,1,0,0.844156099479013
12,0.05,0.38,0,0,1,1,0,0.844156099479013
13,0.28,0.613,0,0,1,1,0,0.844156099479013
14,0.29,0.352,0,0,1,1,0,0.844156099479013
15,0.09,0.111,0,0,1,1,0,0.844156099479013
16,0.3,0.244,0,0,1,1,0,0.844156099479013
17,0.36,0.668,0,0,1,1,0,0.844156099479013
18,0.08,0.418,0,0,1,1,0,0.844156099479013
19,0.27,0.788,0,0,1,1,0,0.844156099479013
20,0.07,0.103,0,0,1,1,0,0.844156099479013
21,0.43,0.435,0,0,1,1,0,0.844156099479013
22,0.09,0.985,0,0,1,1,0,0.844156099479013
23,0.19,0.893,0,0,1,1,0,0.844156099479013
24,0.37,0.886,0,0,1,1,0,0.844156099479013
25,0.14,0.175,0,0,1,1,0,0.844156099479013
26,0.17,0.131,0,0,1,1,0,0.844156099479013
27,0.44,0.653,0,0,1,1,0,0.844156099479013
28,0.4,0.344,0,0,1,1,0,0.844156099479013
29,0.12,0.657,0,0,1,1,0,0.844156099479013
30,0.15,0.32,0,0,1,1,0,0.844156099479013
31,0.33,0.188,0,0,1,1,0,0.844156099479013
32,0.43,0.782,0,0,1,1,0,0.844156099479013
33,0.46,0.094,0,0,1,1,0,0.844156099479013
34,0.07,0.467,0,0,1,1,0,0.844156099479013
35,0.09,0.512,0,0,1,1,0,0.844156099479013
36,0.42,0.6,0,0,1,1,0,0.844156099479013
37,0.1,0.333,0,0,1,1,0,0.844156099479013
38,0.23,0.489,0,0,1,1,0,0.844156099479013
39,0.28,0.954,0,0,1,1,0,0.844156099479013
40,0.07,0.483,0,0,1,1,0,0.844156099479013
41,0.28,0.89,0,0,1,1,0,0.844156099479013
42,0.33,0.914,0,0,1,1,0,0.844156099479013
43,0.39,0.609,0,0,1,1,0,0.844156099479013
44,0.26,0.411,0,0,1,1,0,0.844156099479013
45,0.35,0.147,0,0,1,1,0,0.844156099479013
46,0.3,0.935,0,0,1,1,0,0.844156099479013
47,0.05,0.301,0,0,1,1,0,0.844156099479013
48,0.08,0.061,0,0,1,1,0,0.844156099479013
49,0.12,0.948,0,0,1,1,0,0.844156099479013
50,0.13,0.721,0,0,1,1,0,0.844156099479013
