"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,700,KNN,TRUE,0,0,1,1,0,0.441390562248996
2,2500,ALRA,TRUE,0,0,1,1,0,0.441390562248996
3,2700,ALRA,FALSE,0,0,1,1,0,0.441390562248996
4,1300,KNN,TRUE,0.00881824309144013,7.10833096388968e-05,0.999928916690361,0.99118175690856,0.0174813495156441,0.446285140562249
5,800,ALRA,FALSE,0.0181419905639182,0.000284333238555587,0.999715666761444,0.981858009436082,0.0356295846892063,0.451399347389558
6,800,ALRA,FALSE,0.0166254774208043,0.000284333238555587,0.999715666761444,0.983374522579196,0.0326999558108705,0.450552208835341
7,4200,None,FALSE,0.0394293417209616,0.00717941427352858,0.992820585726471,0.960570658279038,0.0754554737464395,0.460247238955823
8,4900,None,TRUE,0,0,1,1,0,0.441390562248996
9,2700,ALRA,FALSE,0.0390923388002696,0.00902758032413989,0.99097241967586,0.96090766119973,0.0747302303108391,0.459243222891566
10,1900,None,FALSE,0.00966075039317007,0.00234574921808359,0.997654250781916,0.99033924960683,0.0191015603309456,0.445751757028112
11,3600,None,TRUE,0,0,1,1,0,0.441390562248996
12,2600,ALRA,TRUE,0.0966636710851494,0.00241683252772249,0.997583167472277,0.903336328914851,0.175980367094432,0.494321034136546
13,1700,ALRA,TRUE,0.0105594248483487,0.00263008245663918,0.997369917543361,0.989440575151651,0.0208552887015364,0.446128263052209
14,3900,None,TRUE,0.0566164906762525,0.00774808075063975,0.99225191924936,0.943383509323747,0.106548279689234,0.469597138554217
15,2500,KNN,TRUE,0,0,1,1,0,0.441390562248996
16,1000,None,FALSE,0.0380813300381937,0.00852999715666761,0.991470002843332,0.961918669961806,0.072895387592732,0.458898092369478
17,1800,None,TRUE,0.0332509548416086,0.00824566391811203,0.991754336081888,0.966749045158391,0.0639585133967156,0.456325301204819
18,2800,None,TRUE,0.0696472702763424,0.00206141597952801,0.997938584020472,0.930352729723658,0.13002673936979,0.479386295180723
19,500,KNN,TRUE,0.0639182206245788,0.00511799829400057,0.994882001705999,0.936081779375421,0.119701272746397,0.474836847389558
20,3500,KNN,TRUE,0.0266232307346664,0.000852999715666761,0.999147000284333,0.973376769265334,0.0518316019682887,0.455886044176707
21,800,KNN,FALSE,0.037519658503707,0.00831674722775092,0.991683252772249,0.962480341496293,0.0718704610253376,0.458678463855422
22,2200,None,TRUE,0.0352729723657605,0.00135058288313904,0.998649417116861,0.964727027634239,0.0680721912091486,0.460498242971888
23,800,None,FALSE,0.04285553808133,0.0155672448109184,0.984432755189082,0.95714446191867,0.0812307037155328,0.458458835341365
24,1700,KNN,FALSE,0,0,1,1,0,0.441390562248996
25,3000,ALRA,TRUE,0,0,1,1,0,0.441390562248996
26,4800,KNN,TRUE,0.0419006964727028,0.0162780779073074,0.983721922092693,0.958099303527297,0.079450449970712,0.457611696787149
27,1500,KNN,FALSE,0.00224668613794653,7.10833096388968e-05,0.999928916690361,0.997753313862053,0.00448304847296161,0.442614206827309
28,1300,None,TRUE,0.111604133902494,0.00270116576627808,0.997298834233722,0.888395866097506,0.200413535730496,0.502541415662651
29,3400,ALRA,TRUE,0.000842507301729948,0,1,0.99915749269827,0.00168359616140075,0.441861194779117
30,5000,ALRA,FALSE,0.0266232307346664,0.000852999715666761,0.999147000284333,0.973376769265334,0.0518316019682887,0.455886044176707
31,4100,None,FALSE,0.037519658503707,0.00831674722775092,0.991683252772249,0.962480341496293,0.0718704610253376,0.458678463855422
32,1200,ALRA,FALSE,0,0,1,1,0,0.441390562248996
33,2200,None,TRUE,0.04285553808133,0.0155672448109184,0.984432755189082,0.95714446191867,0.0812307037155328,0.458458835341365
34,2800,ALRA,FALSE,0,0,1,1,0,0.441390562248996
35,1300,ALRA,TRUE,0.00174118175690856,0.00398066533977822,0.996019334660222,0.998258818243091,0.00346542954558158,0.440606174698795
36,1400,None,FALSE,0.0137047854414738,0.00021324992891669,0.999786750071083,0.986295214558526,0.0270345133233616,0.448952058232932
37,1400,KNN,TRUE,0.0324646146933273,0.000852999715666761,0.999147000284333,0.967535385306673,0.0628465804066544,0.459149096385542
38,1100,KNN,FALSE,0.0395978431813076,0.00902758032413989,0.99097241967586,0.960402156818692,0.0756600128783001,0.459525602409639
39,2000,None,FALSE,0,0,1,1,0,0.441390562248996
40,900,None,TRUE,0.0290945854864076,0.00206141597952801,0.997938584020472,0.970905414513592,0.0564546891177593,0.456733182730924
41,3900,KNN,FALSE,0.044203549764098,0.00810349729883424,0.991896502701166,0.955796450235902,0.0841486233627372,0.462506275100402
42,4900,None,FALSE,0.0549314760727926,0.000639749786750071,0.99936025021325,0.945068523927207,0.104092384652227,0.471793423694779
43,4600,ALRA,TRUE,0.05504381037969,0.008956497014501,0.991043502985499,0.94495618962031,0.103648863035431,0.468185240963855
44,1700,KNN,TRUE,0.0260615592001797,0.00021324992891669,0.999786750071083,0.97393844079982,0.0507908707788298,0.455854668674699
45,3900,ALRA,TRUE,0.0390923388002696,0.008956497014501,0.991043502985499,0.96090766119973,0.0747342424567808,0.459274598393574
46,2200,None,FALSE,0.0457762300606605,0.0124395791868069,0.987560420813193,0.954223769939339,0.0867298073853358,0.461470883534137
47,2600,KNN,FALSE,0.00881824309144013,0.0169178276940574,0.983082172305943,0.99118175690856,0.0172536952579812,0.438849146586345
48,700,None,TRUE,0,0,1,1,0,0.441390562248996
49,2100,ALRA,TRUE,0.0137047854414738,0.00021324992891669,0.999786750071083,0.986295214558526,0.0270345133233616,0.448952058232932
50,1400,KNN,TRUE,0.0376319928106044,0.00852999715666761,0.991470002843332,0.962368007189396,0.0720662579326665,0.458647088353414
51,2000,None,TRUE,0,0,1,1,0,0.441390562248996
