"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.01,0.01,0.000280835767243316,0,1,0.999719164232757,0.000561513841316188,0.441547439759036
process_0.02,0.02,0.000786340148281285,0.00021324992891669,0.999786750071083,0.999213659851719,0.00157118006845856,0.441735692771084
process_0.03,0.03,0.00140417883621658,0.000710833096388968,0.999289166903611,0.998595821163783,0.00280284769325635,0.441861194779117
process_0.04,0.04,0.00235902044484386,0.00106624964458345,0.998933750355416,0.997640979555156,0.00470298415542243,0.442237700803213
process_0.05,0.05,0.00387553358795776,0.0022746659084447,0.997725334091555,0.996124466412042,0.00770734431722982,0.442551455823293
process_0.06,0.06,0.00499887665693103,0.00326983224338925,0.996730167756611,0.995001123343069,0.00992251519036735,0.442739708835341
process_0.07,0.07,0.00707706133453157,0.0044782485072505,0.995521751492749,0.992922938665468,0.0140054465625521,0.443367218875502
process_0.08,0.08,0.00921141316558077,0.00632641455786181,0.993673585442138,0.990788586834419,0.0181647006701002,0.443743724899598
process_0.09,0.09,0.0111210963828353,0.00796133067955644,0.992038669320444,0.988878903617165,0.0218615435574694,0.444088855421687
process_0.1,0.1,0.0132554482138845,0.0100938299687233,0.989906170031277,0.986744551786115,0.025959740402596,0.444339859437751
process_0.11,0.11,0.0155583015052797,0.0120841626386125,0.987915837361388,0.98444169849472,0.0303545011232261,0.444747740963855
process_0.12,0.12,0.0181981577173669,0.0145009951663349,0.985499004833665,0.981801842282633,0.0353480253109317,0.44515562248996
process_0.13,0.13,0.0212311840035947,0.0164202445265852,0.983579755473415,0.978768815996405,0.0410579481887797,0.446002761044177
process_0.14,0.14,0.0246012132105145,0.0191924936025021,0.980807506397498,0.975398786789486,0.0473206568712187,0.446661646586345
process_0.15,0.15,0.0282520781846776,0.0223912425362525,0.977608757463748,0.971747921815322,0.0540221243690259,0.447289156626506
process_0.16,0.16,0.032183778926084,0.0253056582314473,0.974694341768553,0.967816221073916,0.0611754657556184,0.448199046184739
process_0.17,0.17,0.0352729723657605,0.0292863235712255,0.970713676428774,0.964727027634239,0.0666525153895139,0.448167670682731
process_0.18,0.18,0.0392046731071669,0.0319164060278647,0.968083593972135,0.960795326892833,0.0736636589098201,0.449203062248996
process_0.19,0.19,0.044035048303752,0.0350440716519761,0.964955928348024,0.955964951696248,0.0821759865835124,0.450520833333333
process_0.2,0.2,0.0486407548865424,0.0398066533977822,0.960193346602218,0.951359245113458,0.0900676027041082,0.450991465863454
process_0.21,0.21,0.0538081330038194,0.0432186522604493,0.956781347739551,0.946191866996181,0.0989158492514197,0.452371987951807
process_0.22,0.22,0.0591440125814424,0.0479812340062553,0.952018765993745,0.940855987418558,0.107823059594512,0.453250502008032
process_0.23,0.23,0.0641428892383734,0.0516064827978391,0.948393517202161,0.935857110761627,0.116104107360716,0.454442771084337
process_0.24,0.24,0.0709952819591103,0.0564401478532841,0.943559852146716,0.92900471804089,0.127278219716041,0.456137048192771
process_0.26,0.26,0.0834643900247136,0.0660363946545351,0.933963605345465,0.916535609975286,0.146990454522973,0.45886671686747
process_0.27,0.27,0.0893057739833745,0.0707989764003412,0.929201023599659,0.910694226016625,0.155958803334968,0.460027610441767
