"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.01,0.01,0.000695663696293106,0,1,0.999304336303707,0.00139036016949153,0.448014638609332
process_0.02,0.02,0.00241825951568556,0,1,0.997581740484314,0.00482485128883014,0.44896614821592
process_0.03,0.03,0.00463775797528738,0,1,0.995362242024713,0.00923269693672305,0.450192131747484
process_0.04,0.04,0.00857985225428165,0,1,0.991420147745718,0.017013729225514,0.452369624885636
process_0.05,0.05,0.0127538344320403,4.08780607447983e-05,0.999959121939255,0.98724616556796,0.0251856212998397,0.454656907593779
process_0.06,0.06,0.0168946897671183,4.08780607447983e-05,0.999959121939255,0.983105310232882,0.0332269203205421,0.456944190301921
process_0.07,0.07,0.0226918872362275,4.08780607447983e-05,0.999959121939255,0.977308112763773,0.0443753441518479,0.460146386093321
process_0.08,0.08,0.0283234504919336,4.08780607447983e-05,0.999959121939255,0.971676549508066,0.0550848822600908,0.463257090576395
process_0.09,0.09,0.0349156921853778,4.08780607447983e-05,0.999959121939255,0.965084307814622,0.0674732731579284,0.466898444647759
process_0.1,0.1,0.0424686123165601,8.17561214895965e-05,0.99991824387851,0.95753138768344,0.0814718312096851,0.471052150045746
process_0.11,0.11,0.0492927419087687,8.17561214895965e-05,0.99991824387851,0.950707258091231,0.093948290557818,0.474821591948765
process_0.12,0.12,0.0573094378374797,0.000122634182234395,0.999877365817766,0.94269056216252,0.108395989974937,0.479231473010064
process_0.13,0.13,0.0665187001026932,0.000122634182234395,0.999877365817766,0.933481299897307,0.12472824399031,0.484318389752974
process_0.14,0.14,0.0753635670984199,0.000122634182234395,0.999877365817766,0.92463643290158,0.140150931772678,0.489204025617566
process_0.15,0.15,0.0849040977904396,0.000122634182234395,0.999877365817766,0.91509590220956,0.156504747656703,0.494473924977127
process_0.16,0.16,0.0948090237519462,0.00024526836446879,0.999754731635531,0.905190976248054,0.173165935561942,0.499890210430009
process_0.17,0.17,0.105442740252427,0.000408780607447983,0.999591219392552,0.894557259747574,0.190713001797484,0.505690759377859
process_0.18,0.18,0.115480173584656,0.000408780607447983,0.999591219392552,0.884519826415344,0.206988688655999,0.511235132662397
process_0.19,0.19,0.12790273958989,0.000449658668192781,0.999550341331807,0.87209726041011,0.226724213864177,0.51807868252516
process_0.2,0.2,0.139828402954914,0.000449658668192781,0.999550341331807,0.860171597045086,0.245271507016473,0.524666056724611
process_0.21,0.21,0.152416603173552,0.000572292850427176,0.999427707149573,0.847583396826449,0.264410091374059,0.53156450137237
process_0.22,0.22,0.164574154437341,0.000694927032661571,0.999305072967338,0.835425845562659,0.282497441146366,0.538225068618481
process_0.23,0.23,0.177957398880313,0.000776683154151167,0.999223316845849,0.822042601119687,0.301984372364945,0.545580969807868
process_0.24,0.24,0.190379964885547,0.00094019539713036,0.99905980460287,0.809620035114453,0.319659593403232,0.552369624885636
process_0.26,0.26,0.218835922748203,0.00114458570085435,0.998855414299146,0.781164077251797,0.35881697944108,0.567996340347667
process_0.27,0.27,0.234306158280054,0.00126721988308875,0.998732780116911,0.765693841719946,0.379340859724867,0.576486733760293
process_0.28,0.28,0.249743266969225,0.00130809794383354,0.998691902056166,0.750256733030775,0.399332591768632,0.584995425434584
process_0.29,0.29,0.26594229304005,0.00151248824755754,0.998487511752442,0.73405770695995,0.419742758548573,0.593851784080512
process_0.3,0.3,0.282605094908404,0.00175775661202633,0.998242243387974,0.717394905091596,0.440184721756405,0.602946020128088
process_0.31,0.31,0.298472852552423,0.00204390303723991,0.99795609696276,0.701527147447577,0.459143374015848,0.611582799634035
process_0.32,0.32,0.314903766522013,0.0023709275231983,0.997629072476802,0.685096233477987,0.47827727604337,0.620512351326624
process_0.33,0.33,0.331831583131812,0.00269795200915669,0.997302047990843,0.668168416868188,0.497491929476037,0.62971637694419
process_0.34,0.34,0.350018219763474,0.00318848873809427,0.996811511261906,0.649981780236526,0.517547941515025,0.639542543458371
process_0.35,0.35,0.366912909530593,0.00371990352777664,0.996280096472223,0.633087090469407,0.535667650045945,0.648636779505947
process_0.36,0.36,0.385430814589062,0.00421044025671422,0.995789559743286,0.614569185410939,0.555038759689922,0.65864592863678
process_0.37,0.37,0.403683704906085,0.00453746474267261,0.995462535257327,0.596316295093915,0.573674795217023,0.668581884720951
process_0.38,0.38,0.422102229436512,0.00502800147161019,0.99497199852839,0.577897770563488,0.59193533401468,0.678536139066789
process_0.39,0.39,0.439460695001159,0.00576380656501656,0.994236193434983,0.560539304998841,0.608615864568519,0.68779505946935
process_0.4,0.4,0.458243614801073,0.00654048971916772,0.993459510280832,0.541756385198927,0.626210955183341,0.697822506861848
process_0.41,0.41,0.475999602477888,0.00731717287331889,0.992682827126681,0.524000397522112,0.642405275511345,0.707282708142726
process_0.42,0.42,0.495014410176566,0.00838000245268365,0.991619997547316,0.504985589823434,0.659225763758685,0.717310155535224
process_0.43,0.43,0.513499188392354,0.00985161263949638,0.990148387360504,0.486500811607646,0.674998367044787,0.726861848124428
process_0.44,0.44,0.53128830291185,0.0110370764010955,0.988962923598904,0.468711697088151,0.689880632326057,0.73615736505032
process_0.45,0.45,0.549011163745983,0.0122634182234395,0.987736581776561,0.450988836254017,0.704334891627709,0.745397987191217
process_0.46,0.46,0.567860337231259,0.0134897600457834,0.986510239954217,0.432139662768742,0.719360456576932,0.755260750228728
process_0.47,0.47,0.58651074966045,0.0149204921718514,0.985079507828149,0.41348925033955,0.733779555297677,0.764922232387923
process_0.48,0.48,0.604929274190877,0.0162694681764297,0.98373053182357,0.395070725809123,0.747696843139663,0.774492223238792
process_0.49,0.49,0.623811574518833,0.0182724931529248,0.981727506847075,0.376188425481167,0.761386839179218,0.784025617566331
process_0.5,0.5,0.640408122701825,0.0205207864938887,0.979479213506111,0.359591877298175,0.772955358749325,0.792186642268985
