"",nfeature,imputation,independent,TPR,FPR,TNR,FNR,F1,Accuracy
1,1800,None,FALSE,0.00102693212309935,0.0455790377304501,0.95442096226955,0.998973067876901,0.00197874445472824,0.42779505946935
2,2000,KNN,TRUE,0,0.0102195151861996,0.9897804848138,1,0,0.443055809698079
3,3000,KNN,TRUE,0.0154702355318515,0.00273883006990148,0.997261169930099,0.984529764468149,0.0304026561635363,0.454949679780421
4,3200,ALRA,FALSE,0.0467419750223606,0.0047418550463966,0.995258144953603,0.953258024977639,0.0889827836286813,0.471326623970723
5,2800,ALRA,TRUE,0.000761917381654355,0.00126721988308875,0.998732780116911,0.999238082618346,0.0015211137197844,0.447483989021043
6,3300,None,FALSE,0.0117600291516216,0.00257531782692229,0.997424682173078,0.988239970848378,0.0231988237216141,0.452973467520586
7,1500,ALRA,FALSE,0.00248451320104681,0.116134570575972,0.883865429424028,0.997515486798953,0.00453131136150802,0.397017383348582
8,3600,ALRA,FALSE,0.0511809719415643,0.000490536728937579,0.999509463271062,0.948819028058436,0.0973412298387097,0.475681610247027
9,2800,None,TRUE,0.00596283168251234,0.013367125863549,0.986632874136451,0.994037168317488,0.011728676614322,0.444940530649588
10,600,KNN,FALSE,0.00112631265114122,0.0620937742713486,0.937906225728651,0.998873687348859,0.0021424070573409,0.420457456541629
11,2600,ALRA,TRUE,0.000198761056083745,0.0228099578955974,0.977190042104403,0.999801238943916,0.000390231211993106,0.437529734675206
12,1500,None,TRUE,0.00122569317918309,0.0185586395781384,0.981441360421862,0.998774306820817,0.00241215203077124,0.44
13,4200,ALRA,FALSE,0.0493921224368106,0,1,0.95060787756319,0.09413473072795,0.474913083257091
14,4300,KNN,FALSE,0.040447874913042,0.000122634182234395,0.999877365817766,0.959552125086958,0.0777434656648945,0.469917657822507
15,3400,ALRA,FALSE,0.0513466061549674,0.00899317336385562,0.991006826636144,0.948653393845033,0.0970053509403261,0.471967063129003
16,1400,None,TRUE,0.000463775797528738,0.0223602992274047,0.977639700772595,0.999536224202471,0.00091062833355015,0.437877401646844
17,2100,KNN,TRUE,0,0.00919756366757961,0.99080243633242,1,0,0.443513266239707
18,3600,ALRA,TRUE,0.0268327425713055,0.000204390303723991,0.999795609696276,0.973167257428694,0.0522546932455971,0.462360475754803
19,4400,ALRA,TRUE,0.132507370722496,0.000327024485958386,0.999672975514042,0.867492629277504,0.233952332212312,0.52067703568161
20,4300,KNN,TRUE,0.122834332659754,0.00147161018681274,0.998528389813187,0.877165667340246,0.218561197724794,0.514821591948765
21,4200,ALRA,FALSE,0.0504853082452712,0,1,0.949514691754729,0.0961180662861468,0.47551692589204
22,3400,ALRA,TRUE,0,4.08780607447983e-05,0.999959121939255,1,0,0.447612076852699
23,500,ALRA,TRUE,3.31268426806241e-05,0.00318848873809427,0.996811511261906,0.999966873157319,6.60807506773277e-05,0.446221408966148
24,1600,KNN,FALSE,0.000993805280418723,0.0627069451825205,0.937293054817479,0.999006194719581,0.00188970426128311,0.420109789569991
25,2400,ALRA,FALSE,0.00503528008745487,0.108204226791481,0.891795773208519,0.994964719912545,0.00921603104347299,0.401976212259835
26,1200,ALRA,TRUE,3.31268426806241e-05,0.00118546376159915,0.998814536238401,0.999966873157319,6.61879074693054e-05,0.44711802378774
27,1600,ALRA,FALSE,0.00374333322291052,0.114213301720966,0.885786698279034,0.99625666677709,0.00682903245301263,0.398572735590119
28,700,None,TRUE,0.000331268426806241,0.0224011772881495,0.977598822711851,0.999668731573194,0.000650512278419255,0.437785910338518
29,1300,KNN,TRUE,9.93805280418723e-05,0.0137350284102522,0.986264971589748,0.999900619471958,0.000196553757452663,0.441537053979872
30,1800,ALRA,FALSE,0.00347831848146553,0.2117892327188,0.7882107672812,0.996521681518534,0.00591999548952725,0.354748398902104
31,1700,KNN,FALSE,0.00159008844866996,0.164779462862282,0.835220537137718,0.99840991155133,0.00280161092628261,0.374748398902104
32,2400,None,TRUE,0.00231887898764369,0.0215018599517639,0.978498140048236,0.997681121012356,0.00454796478575837,0.439286367795059
33,4600,ALRA,FALSE,0.0420048365190314,0,1,0.957995163480969,0.080623112382769,0.470832570905764
34,2000,None,FALSE,0.00159008844866996,0.0354821567264849,0.964517843273515,0.99840991155133,0.00308651898530688,0.432625800548948
35,2000,ALRA,TRUE,0.000331268426806241,0.0294322037362548,0.970567796263745,0.999668731573194,0.000646893294950998,0.434638609332113
36,3600,None,FALSE,0.0538973730413754,0.00163512242979193,0.998364877570208,0.946102626958625,0.102153575689081,0.476669716376944
37,3800,ALRA,TRUE,0.160598933315666,0.000367902546703184,0.999632097453297,0.839401066684334,0.276680744207282,0.536175663311985
38,4500,None,TRUE,0.0636366647894789,0.00143073212606794,0.998569267873932,0.936363335210521,0.119528357651744,0.482140896614822
39,3600,ALRA,TRUE,0.0279921820651274,0.00024526836446879,0.999754731635531,0.972007817934873,0.054449384625298,0.462982616651418
40,2900,KNN,TRUE,0.00503528008745487,0.00306585455585987,0.99693414544414,0.994964719912545,0.00999539685671072,0.44903934126258
41,4000,ALRA,TRUE,0.111504952462981,0.00024526836446879,0.999754731635531,0.888495047537019,0.200601924967967,0.509112534309241
42,4400,ALRA,TRUE,0.133434922317554,0.000327024485958386,0.999672975514042,0.866565077682446,0.235397247465155,0.521189387008234
43,1500,KNN,TRUE,3.31268426806241e-05,0.00547766013980297,0.994522339860197,0.999966873157319,6.59587098476354e-05,0.4451967063129
44,4200,KNN,TRUE,0.118130320999106,0.00118546376159915,0.998814536238401,0.881869679000895,0.211118347048724,0.512351326623971
45,1300,ALRA,TRUE,9.93805280418723e-05,0.0258758124514573,0.974124187548543,0.999900619471958,0.000194659831943678,0.436102470265325
46,900,KNN,FALSE,0.000828171067015603,0.118955156767363,0.881044843232637,0.999171828932984,0.00150957067809915,0.39483989021043
47,1900,None,FALSE,0.00175572266207308,0.0354004006049953,0.964599599395005,0.998244277337927,0.00340770269401402,0.432753888380604
48,2300,None,FALSE,0.00433961639116176,0.0375260597637248,0.962473940236275,0.995660383608838,0.00838775771545653,0.433229643183897
49,2100,KNN,FALSE,0.00208699108887932,0.0838817806483261,0.916118219351674,0.997913008911121,0.0039006872639465,0.411235132662397
50,2100,KNN,TRUE,0,0.00919756366757961,0.99080243633242,1,0,0.443513266239707
51,2000,None,TRUE,0.000795044224334979,0.0193762007930344,0.980623799206966,0.999204955775665,0.00156428222258432,0.43939615736505
