"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.01,0.01,0.000554631170271769,0.0101728395061728,0.989827160493827,0.999445368829728,0.000946521533364884,0.934396171297159
process_0.02,0.02,0.00277315585135885,0.0199506172839506,0.980049382716049,0.997226844148641,0.00414250207125104,0.925290571197713
process_0.03,0.03,0.00443704936217415,0.0299917695473251,0.970008230452675,0.995562950637826,0.00587803085966201,0.915905276897259
process_0.04,0.04,0.00942872989462008,0.0395390946502058,0.960460905349794,0.99057127010538,0.0112545514730222,0.907172602399155
process_0.05,0.05,0.0166389351081531,0.049119341563786,0.950880658436214,0.983361064891847,0.0180451127819549,0.898533159301386
process_0.06,0.06,0.0205213533000555,0.0587654320987654,0.941234567901235,0.979478646699945,0.0204137931034483,0.889645099136056
process_0.07,0.07,0.0299500831946755,0.0686090534979424,0.931390946502058,0.970049916805324,0.0274042121289013,0.880881347504506
process_0.08,0.08,0.0382695507487521,0.0781234567901235,0.921876543209877,0.961730449251248,0.0325088339222615,0.872366212940518
process_0.09,0.09,0.0482529118136439,0.0877695473251029,0.912230452674897,0.951747088186356,0.0381913959613696,0.863820001243085
process_0.1,0.1,0.0610094287298946,0.0969876543209877,0.903012345679012,0.938990571270105,0.0452768059271455,0.855833177947666
process_0.11,0.11,0.0748752079866889,0.106139917695473,0.893860082304527,0.925124792013311,0.0523053080201472,0.847970663186028
process_0.12,0.12,0.0848585690515807,0.115127572016461,0.884872427983539,0.915141430948419,0.0561158995048597,0.840045994157499
process_0.13,0.13,0.0981697171381032,0.124312757201646,0.875687242798354,0.901830282861897,0.061501042390549,0.83212132512897
process_0.14,0.14,0.110371602884082,0.133300411522634,0.866699588477366,0.889628397115918,0.0657742521897207,0.824320964634222
process_0.15,0.15,0.130892956184138,0.141662551440329,0.858337448559671,0.869107043815862,0.0744244717754652,0.817577226676611
process_0.16,0.16,0.148641153632834,0.150518518518519,0.849481481481482,0.851358846367166,0.0806864368508204,0.810211946050096
process_0.17,0.17,0.163616195230172,0.158814814814815,0.841185185185185,0.836383804769828,0.0852354810748339,0.803219591024924
